"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-2.29193086862109,-2.72620021573759,-3.69832518282518,-2.49197197151666,-2.62619927772369,-4.45037526686682,-2.76896102066732,-2.34064439272882,-2.46486465211869,-2.17951210322166,-4.74027617863454,-3.18512327711307,-4.74504383233912,-1.69334734248489,-1.1351510082035,-5.11922464164385,-2.55017365811605,-2.26696783187606,-3.85078283022949,-2.91131508006355,-2.14462950744815,-2.86112924968872,NA,-2.62648898982799,-3.014725604431,-1.24029008836122,-4.26379193774045,-2.60431966448318,-3.02843738548075,-3.619013243504,-4.01096107180309,-2.54789496386862,-3.12845536968546,-3.66650451462541,-4.09609400647965,-3.67631670187623,-3.83753727766809,-1.33717234677288,-3.51898496159227,-3.45373124866771,-0.426097353331027,-2.50143201085854,-3.23570133940475,-5.01501588788728,-3.49094840495005,-2.87750533492049,-3.15118893885204,-2.87875595357288,-4.26382172311703,-2.64303322785423,-3.53212868492742,-1.80957655497388,-2.06141054562281,-3.90982194279196,-2.81837807331335,-4.9461561483742,-2.26997246806308,-2.36382182672254,-2.43995970150457,-3.83385207747922,-2.70131000805105,-1.98275897570405,-3.08479395941206,-4.88804173067722,-1.41828128874202,-2.83875957244755,-3.33023094662573,-3.95936886584393,-3.20538285666127,-4.73015898401286,-2.84939918759886,2.12971221783056,-3.71143283339243,-2.86771059022956,-0.688644326225324,-4.07027271422551,-1.38640406698721,-0.86959614543409,-2.33600179724042,-2.38810275590656,-3.30592090500352,-3.08168399836975,-1.7662973660502,-3.20543475315405,-2.46655754203809,-2.69262201143616,-3.28693655604721,-3.7085968012862,-2.68421218732881,-3.20839732948736,-3.45851615421766,-3.51724615069734,-3.03343538928494,-2.5982735736561,-4.80194316156663,-3.53317938147643,-5.09109186775449,-5.07183715481939,-1.85202494453578,-2.25831653580641
-1.95959595959596,-2.22490009651718,-2.73365747699128,-3.62798470097085,-2.4319398942523,-2.56094264127273,-4.37003079437717,-2.69343529408464,-2.27652044698289,-2.38364274560777,-2.12297353694399,-4.65571876985614,-3.10458100520562,-4.63065351604831,-1.65439736138379,-1.15381376715607,-5.01945846328559,-2.50723124547746,-2.13407620107735,-3.78033590875196,-2.83535654405993,-2.07310476972674,-2.81609062766668,-1.93520261078001,-2.56792289241625,-2.99281130275781,-1.1392354655708,-4.14994566769384,-2.59180290659967,-2.98010253405983,-3.5273383802512,-3.88684663212692,-2.50456747815233,-3.06433320758067,-3.5951802527027,-3.9876933809527,-3.60197644379587,-3.74906080591089,-1.30181236205115,-3.47033758454224,-3.35130853588134,-0.480993007280498,-2.44046932462228,-3.123250653772,-4.90975414445116,-3.40610947052237,-2.73029604790289,-2.9377783459283,-2.80635054360828,-4.16990040997942,-2.56331038873924,-3.42344479604632,-1.76354046795858,-2.01707746317882,-3.84425222084156,-2.69775143416089,-4.82638266718781,-2.20611951656995,-2.31776978719443,-2.36340787832936,-3.74410807720379,-2.67093054483904,-1.93083968987355,-3.0190567436724,-4.77037556394265,-1.3761343168412,-2.79610706851948,-3.25876253662175,-3.85460927919606,-3.14710578788531,-4.66449071082865,-2.76169601518983,2.10379216934468,-3.67600192083574,-2.84888228184034,-0.65214181517302,-4.02585195166108,-1.36077517756152,-0.758002932440031,-2.28540301149117,-2.30744662229278,-3.22228003733194,-3.01630404147964,-1.70035306260378,-3.14104342300878,-2.3575525271036,-2.62649847538125,-3.22663660583004,-3.61670739966754,-2.62150530852859,-3.17054674339382,-3.38620407565427,-3.41972614186845,-3.00942709863215,-2.52421924045635,-4.71375508260781,-3.40083076152567,-4.9873725270321,-4.98370647329606,-1.84428704351,-2.15991604580319
-1.91919191919192,-2.15774006755053,-2.72853557817876,-3.55766146594674,-2.37178376610814,-2.49576818125755,-4.28999687216682,-2.61835197836933,-2.21666271446765,-2.30294083846197,-2.0660113758787,-4.56399527311999,-3.02389480556308,-4.5151549006251,-1.6140551900112,-1.16950121554947,-4.92401727582372,-2.45829946189432,-1.98868774100714,-3.70571347207363,-2.75950195434095,-2.00173954211396,-2.75191819567475,-1.87403445154557,-2.50935391769961,-2.96327622369309,-1.04619341523771,-4.03660746842327,-2.57172972568108,-2.92429680496925,-3.43611057115142,-3.76308589643177,-2.45196425219837,-3.00017939092743,-3.52386454837875,-3.87829422091766,-3.52605102630924,-3.66042330415423,-1.26572582631776,-3.42290767586218,-3.24961932415473,-0.511213152667295,-2.37949235997639,-3.00495916949775,-4.80474816019371,-3.32313010156073,-2.56703409065952,-2.71280697454585,-2.74569132815698,-4.07521039673736,-2.48392555543445,-3.31765867913061,-1.71667862649167,-1.97224347065712,-3.77868571469708,-2.60592307967489,-4.71098057550303,-2.13710784488947,-2.27152997358567,-2.30533164239583,-3.65241884699381,-2.63904531674848,-1.87831362912962,-2.95059998807336,-4.64363665966374,-1.33641695174667,-2.74579527135385,-3.18756734734825,-3.74292278308659,-3.08916819459848,-4.60538379124601,-2.70142906061123,2.08054328708849,-3.64022058245784,-2.84653089298143,-0.615418973826675,-3.9796971610849,-1.33790927620738,-0.657951247681693,-2.23170908326542,-2.22773255115037,-3.1370277302224,-2.95010126690937,-1.6338449095362,-3.07678188813132,-2.25135142582463,-2.54737753781037,-3.16640962518801,-3.52740053120148,-2.55856379243648,-3.13157532131101,-3.31385529833109,-3.32220372288568,-2.98467558769996,-2.43900368501433,-4.62734106338873,-3.26455740785329,-4.88390043843168,-4.8952707484656,-1.83058363899608,-2.08953103293421
-1.87878787878788,-2.09045677954605,-2.70901626013226,-3.48735728432564,-2.31149949475089,-2.43069456486039,-4.21025573779974,-2.54369565448519,-2.16063880980247,-2.22273581432352,-2.00863707027979,-4.46328377408322,-2.94299926518218,-4.39861406759034,-1.57266326209972,-1.17206346611947,-4.83358091869852,-2.40283258426108,-1.82997593004617,-3.62685464016821,-2.68374685480598,-1.93053058574569,-2.66704423220485,-1.81278243509822,-2.45078075179407,-2.92248225247781,-0.960938065635876,-3.92414984967269,-2.54410643052077,-2.86045882375275,-3.34532883180457,-3.639862868416,-2.39026578761938,-2.93599659154238,-3.45255874149831,-3.76856018591735,-3.44857053832381,-3.57165036452831,-1.22896369023986,-3.37506488687478,-3.14861882116022,-0.518338930785245,-2.31850382472299,-2.88005230134529,-4.70001185206723,-3.24231430388221,-2.39363696866854,-2.48206619575187,-2.6946308330665,-3.97960900496802,-2.40488784207168,-3.2156850600745,-1.6690144429118,-1.92655874656269,-3.71312378739024,-2.5360007632973,-4.60058248081543,-2.06260663450472,-2.22595062612615,-2.26006926861249,-3.55916606884115,-2.60570790772557,-1.82519599030822,-2.87961559484433,-4.50857853423761,-1.29849436521995,-2.68718175963999,-3.11665478813574,-3.62399150928429,-3.03155426970957,-4.55302716472814,-2.66910947469583,2.05932649936052,-3.60202286851086,-2.8547448333768,-0.578465067333825,-3.92958756739512,-1.31559256605399,-0.564490144557574,-2.1750198418864,-2.148937966038,-3.04990376943823,-2.88315434474165,-1.5681242391746,-3.0126401348049,-2.15136690184223,-2.45780849270612,-3.10625288033737,-3.44478864141065,-2.49538149233198,-3.0889892032971,-3.24121074386865,-3.22458696893689,-2.95789708732892,-2.33938991986403,-4.54223504120943,-3.12680901564165,-4.78068907528187,-4.80648782851734,-1.81173527383464,-2.04730115604671
-1.83838383838384,-2.02305644025334,-2.67370917025128,-3.41707402620071,-2.25109553125531,-2.36560704352448,-4.13081660013295,-2.4694511656347,-2.10800442810878,-2.14301238448408,-1.95085160145089,-4.3523777495717,-2.86188431902048,-4.28111758664759,-1.53029430090191,-1.15634045303078,-4.74805123899414,-2.33999849985652,-1.65798348710024,-3.54366856382043,-2.60808832620806,-1.85947467176842,-2.55995870861777,-1.75151304493589,-2.39220203189093,-2.86790071382661,-0.883537259557092,-3.81318844064038,-2.50881437392007,-2.78860534352309,-3.25500222263535,-3.51733247685969,-2.32081054349057,-2.87178658439361,-3.38126430487272,-3.65919486730236,-3.36955028813973,-3.48278697266104,-1.19154754454766,-3.32497892271925,-3.04833323712998,-0.50312229898197,-2.25750751914576,-2.74790692232018,-4.59556096952411,-3.1638437555515,-2.21757979297744,-2.25160870589046,-2.65100406647477,-3.88316621012268,-2.32619982946829,-3.11812471826133,-1.62057098560024,-1.87972026577597,-3.64756771646677,-2.47846158204653,-4.49594828611133,-1.98310102795187,-2.18108604240753,-2.22128232986899,-3.46475083948486,-2.57097041983035,-1.77150181336947,-2.80585157832797,-4.36710602258181,-1.26173659541739,-2.61977140995783,-3.04602467018998,-3.49967690579103,-2.97425943691591,-4.50648911615096,-2.66308925462714,2.04001384937676,-3.55936699043608,-2.8671498212289,-0.541290665798291,-3.87406641112507,-1.29310484989171,-0.475242632665686,-2.11541193294503,-2.07104075116416,-2.96055553276968,-2.81549912156716,-1.50422956933383,-2.94860849104061,-2.06073590261598,-2.36009635691548,-3.04616388029784,-3.37086598886129,-2.43197863124895,-3.04094696818156,-3.16805507044298,-3.12677477996987,-2.92801051750324,-2.22565325895349,-4.45771419398934,-2.98927321729493,-4.67775545614768,-4.71734581402879,-1.78825838775075,-2.02853959862728
-1.7979797979798,-1.95553639583372,-2.62213835724678,-3.34681344372242,-2.19056551925894,-2.30057690943576,-4.05166418429605,-2.39561460202783,-2.05825514357506,-2.06376990666579,-1.89267107274118,-4.23153753624834,-2.78058039297435,-4.16271185946466,-1.48709063662304,-1.1218315553115,-4.66654237561638,-2.2701121406986,-1.47548621492513,-3.45625549716274,-2.53252298040704,-1.78856858321019,-2.4327302056812,-1.69018099561062,-2.33361604782445,-2.79937191943335,-0.814128135698623,-3.70324840109968,-2.46575439719972,-2.70898173129934,-3.16511092269936,-3.39561772124224,-2.24367259630468,-2.80755277182606,-3.30998283800816,-3.55088882445064,-3.28903105672391,-3.39388169473892,-1.15349858531533,-3.27067519227497,-2.94871517792191,-0.469808092287724,-2.19650622188936,-2.60825694067613,-4.4913915599592,-3.0878221253742,-2.04557745855494,-2.02825584362491,-2.61218899034768,-3.78577784058378,-2.24787370416169,-3.02530166586609,-1.57137097678293,-1.83140860190978,-3.5820188593719,-2.42585015565824,-4.39791600168413,-1.89904930993668,-2.13630765815671,-2.18400919832894,-3.36965250408302,-2.53488349847876,-1.71724597929774,-2.72932571242796,-4.22314714770452,-1.22567075436307,-2.54341018584452,-2.97567673108667,-3.37337472029878,-2.91725558610979,-4.46399004228505,-2.67871513785194,2.02234868824139,-3.51084173140998,-2.87707869680986,-0.503883264222242,-3.81255317879134,-1.27106635705163,-0.389065645273084,-2.05301178384556,-1.99401925127701,-2.86895549298912,-2.74724006630052,-1.44286335100939,-2.88467761940131,-1.98218699458641,-2.25636912441273,-2.98614037332671,-3.30485993320632,-2.36836179771524,-2.9868738247261,-3.09414289611707,-3.02866867958502,-2.89419071604952,-2.10065232535521,-4.37317272352086,-2.85323999720782,-4.57509924512532,-4.62778261462439,-1.76089820945004,-2.02319327417742
-1.75757575757576,-1.8879050443584,-2.55516912940092,-3.27657753907569,-2.12991953652812,-2.23549766701298,-3.97280564411118,-2.32216249838511,-2.01075338646227,-1.98498669666572,-1.83411374977896,-4.10236330060823,-2.69914019690801,-4.04350677113939,-1.44313198051358,-1.0712546119668,-4.58834685195067,-2.19294562924361,-1.286508879915,-3.36486486141483,-2.45704424890064,-1.71780911680542,-2.28981477236184,-1.62882096919228,-2.27502159742517,-2.71823815506523,-0.753639553444122,-3.59484515941216,-2.41449727360153,-2.6222756103119,-3.0756513510701,-3.27498350167905,-2.16009348529062,-2.7432961869162,-3.23871617434493,-3.44426592940076,-3.20695000654046,-3.30496425583443,-1.11483150633018,-3.21012827679493,-2.84975842337414,-0.423754736458415,-2.13550332296629,-2.46179011256991,-4.38752115909606,-3.01422530270943,-1.88190936427218,-1.81948721970458,-2.57479565254057,-3.68752250753199,-2.16992601204303,-2.93716682305711,-1.52143679076568,-1.78141052562056,-3.51647867780469,-2.3737030172682,-4.30728255412492,-1.81095316731983,-2.09068837497277,-2.14439937843393,-3.27431819529134,-2.49749635785453,-1.66244320813089,-2.65012601873386,-4.07989172268955,-1.18983240500131,-2.45853533949623,-2.90561385375935,-3.24900725528849,-2.86052608792737,-4.42325675579033,-2.70857894935179,2.00613411936208,-3.45582564281803,-2.87762987994862,-0.466249992394233,-3.74513950937386,-1.2505580333229,-0.305969038499707,-1.98794666986009,-1.91785227123753,-2.77539941843234,-2.67839858824961,-1.38459931157006,-2.82083851001426,-1.91747908920045,-2.14922725432725,-2.92618034338204,-3.24393281617598,-2.30452829671443,-2.92745686589195,-3.01924505589547,-2.93002462013319,-2.85583351889643,-1.96968169196989,-4.28779625906742,-2.71954315560089,-4.47273000728573,-4.53779579482381,-1.73010393713779,-2.01812790755815
-1.71717171717172,-1.82016691279236,-2.47523241460301,-3.20636821366378,-2.06915145185798,-2.17033671125314,-3.89422807423371,-2.24907735175067,-1.96463544448308,-1.90664046148375,-1.77519111321907,-3.96803017024593,-2.61762672864516,-3.9235652322322,-1.39845861561436,-1.00802960421014,-4.51209960555715,-2.10956697770388,-1.09657184242004,-3.26988103531066,-2.38164823279398,-1.64719308477054,-2.13863333921322,-1.56743502509299,-2.216417435598,-2.62705809776926,-0.701923968432115,-3.4882385437855,-2.35419883009342,-2.52947083598763,-2.98662003801284,-3.15556577469989,-2.07041796144622,-2.67902046189717,-3.16746656255554,-3.33984006665407,-3.12338414159212,-3.21608386490674,-1.07555451185335,-3.1414144628129,-2.75146632178426,-0.372166352421075,-2.07450190008147,-2.31092209410055,-4.28395846375154,-2.94302335035262,-1.72809227448798,-1.63267637953985,-2.53447364150189,-3.58816118988668,-2.09235235116131,-2.85318556217079,-1.47079045259792,-1.7294112255714,-3.45094796402004,-2.31952205832365,-4.22471565262756,-1.719738621678,-2.04267601279032,-2.10012446402706,-3.1791069455977,-2.45885680645436,-1.60710805712202,-2.56830480235011,-3.94010579484575,-1.15379836402397,-2.36652360587457,-2.8358470273987,-3.12957756360906,-2.80406046762562,-4.38192931910907,-2.74377463435465,1.99108979951112,-3.39422961430972,-2.86271864098496,-0.42838693880872,-3.67304755339614,-1.2321998184734,-0.22730302886469,-1.92059467753824,-1.84251907528301,-2.68025257112062,-2.6090749913199,-1.32992217607318,-2.75708247377451,-1.86738893422166,-2.04044289594415,-2.86628200661992,-3.18384012732745,-2.24049725086259,-2.86392224070052,-2.94316479367122,-2.83076998120835,-2.81246816131963,-1.83751290142947,-4.20089540761118,-2.58877455022034,-4.3706648843756,-4.44733147001452,-1.69639160803245,-2.00121529343746
-1.67676767676768,-1.75231881312743,-2.38624517341084,-3.13618626532288,-2.00827012823935,-2.1051436330499,-3.81593667138102,-2.17634505593345,-1.9187118563681,-1.82871758459661,-1.71591463785611,-3.83304631439314,-2.53613911232945,-3.80295069244062,-1.35335240904317,-0.934973838032533,-4.43641139423152,-2.02068057272209,-0.912476516989077,-3.17185975822771,-2.30633117738739,-1.57671731652827,-1.98886503196609,-1.50599012084284,-2.15780205783131,-2.52910673018666,-0.658633378665186,-3.38346923306437,-2.2832131396745,-2.43173307732214,-2.89802019957833,-3.03750216203299,-1.97592614919769,-2.61472678017786,-3.0962355494839,-3.23802450218654,-3.03842810632208,-3.12728986015413,-1.03570745101059,-3.06290859943174,-2.65379506698394,-0.321939436532831,-2.01350497805034,-2.15933634307944,-4.18070141984125,-2.87411964081392,-1.5843331588584,-1.47401408952922,-2.48764720477081,-3.48769780534184,-2.01516782279737,-2.77245772708072,-1.41945363715917,-1.67526711868968,-3.38542773536677,-2.26198545806535,-4.15064917031176,-1.62682233085561,-1.9905455779119,-2.05046426635785,-3.08436103940319,-2.41901127273104,-1.55125491903604,-2.48442805429744,-3.80556592730995,-1.11725326423673,-2.26984627167659,-2.76637305295826,-3.01678316166868,-2.74783984885648,-4.33759035281617,-2.77576289795185,1.9769320774299,-3.32625747517355,-2.82800351786304,-0.390290345351656,-3.59741073239749,-1.21626833232211,-0.155347445735165,-1.85128278072595,-1.76799938598838,-2.58338762984602,-2.53930376422562,-1.27905185396641,-2.6934011357399,-1.8302688769861,-1.93159107532727,-2.80644380793108,-3.11983320224285,-2.17627161035097,-2.79786935091914,-2.86573650507989,-2.73073734890975,-2.76373805395166,-1.70937926472614,-4.11181817654405,-2.46151528629229,-4.26891459450904,-4.35637646176736,-1.66007608308511,-1.96547004676814
-1.63636363636364,-1.68437089439,-2.29276495956981,-3.06603301993602,-1.9472717289685,-2.03998929970533,-3.73792078946936,-2.10395175383191,-1.87143400549446,-1.75121583539902,-1.65628242944831,-3.70210055141802,-2.45479142294714,-3.68167789015723,-1.30782367885449,-0.854128967484411,-4.36000302276192,-1.92849545671441,-0.739094514961201,-3.07169796141957,-2.23109079534663,-1.50637866037816,-1.85010469801031,-1.44450859618014,-2.09917377212169,-2.42766377800451,-0.622905845112645,-3.28074300710221,-2.19996321893147,-2.33047131762873,-2.80985345335521,-2.92091631748628,-1.87788716631883,-2.55041815021651,-3.02502518976835,-3.13899264411362,-2.95216613738627,-3.03862467100102,-0.995309876846706,-2.97359022968469,-2.55676512767173,-0.278910777761017,-1.95251556340861,-2.0119707517837,-4.07777169894865,-2.8074516393369,-1.44898570173119,-1.34699829800711,-2.431624068588,-3.38590713383792,-1.93838311855933,-2.6939278676319,-1.36744766866217,-1.61876016758322,-3.3199194150487,-2.2000962147431,-4.08496354499706,-1.53386222609572,-1.93214792184094,-1.99602285280326,-2.99036257433678,-2.37798859857038,-1.49489448789776,-2.39897824962317,-3.67684400788551,-1.07993564321182,-2.17178202887978,-2.69719269146545,-2.91089478694255,-2.69184285605566,-4.28815102559124,-2.79766664905538,1.96363650337958,-3.25312401129271,-2.77179996284895,-0.351967499237493,-3.51935021808865,-1.20267429442333,-0.0928881838629496,-1.78032985191191,-1.69427338293343,-2.48533182514535,-2.46915822318737,-1.23202979697995,-2.62978642871904,-1.80338490881716,-1.82428626469594,-2.74666441752168,-3.04745562863581,-2.11185443196151,-2.73078555332058,-2.78685652757428,-2.62978361036802,-2.70941135128732,-1.58967604006594,-4.01956063179435,-2.33843097780151,-4.16748034116766,-4.26489317132834,-1.62134477389096,-1.91046146607049
