"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,0.532575182372285,-1.39827468155078,-3.41960872307862,-1.70912360175066,-1.62187265707025,-3.8992725998757,-1.54153714943466,0.654779400038703,-0.858824387679017,-0.641555628898651,-3.91417654992218,-2.19439431352769,-2.66890964476227,-1.56744547075839,-0.484504673126234,-4.00118672459283,-1.77001883171242,1.64301060023914,-3.5960385457091,-0.482813315929787,-0.377774696193581,-0.919623688337672,NA,-2.31643171278197,-1.4727868728672,0.0115279784048874,-3.11984009920709,-2.64519657204066,-1.09115745239011,-2.86785532749237,-2.45564524065803,-1.02369344764286,-2.75911040175896,-3.09014476904133,-2.6922790752829,-2.55407585218289,-2.38168049665751,-1.1292239073958,-1.29235598301074,-1.68087038286453,-0.720294072084933,-2.17934022984435,-0.0715928117240121,-4.88149418773003,-2.92709258335192,0.0135537525225907,-0.314537298788336,-1.4762993878824,-2.47380425427338,-0.200140550938309,-2.82108159896547,-1.30815250217047,-2.13399939503242,-3.36100041819967,-1.50685333370964,-2.66923673645541,0.906609918440065,-2.10847217579632,-1.68531140155076,-2.36206773205717,-2.92887401835264,-1.1546726284095,-1.32083252073346,-1.81103617343946,-0.192425799110642,-2.54675866417869,-2.97799572764194,-2.53144635071799,-3.29830836319518,-5.02194262623898,-1.47000616040685,2.02549212639707,-2.97075057896304,-1.06747655553089,0.0267107550066989,-3.51244196785151,-0.804103605676182,-0.255607630602284,-1.68882578086779,-1.49149576323572,-2.35846389750406,-2.10527500337678,-0.899916566458255,-2.36628331785951,-1.36525767296195,-2.39980099702283,-3.21760677517473,-1.7279712512663,-1.4446501362247,-2.95262854086052,-2.65392833924334,-1.93829264829877,-2.1496616867637,-1.27445125464427,-3.85590478821809,-0.827076515906181,-4.31382065080512,-3.17084118413345,-0.45553846627783,-0.0153639963017828
-1.95959595959596,0.224056239925731,-1.34164675219327,-3.19610377784096,-1.66841997764989,-1.58095703012614,-3.84375987145783,-1.50059251941226,0.69036373340616,-0.776609073305352,-0.625188932159174,-3.85192272225295,-2.12455734017419,-2.60415826382062,-1.51232010650872,-0.443268891322454,-3.93945087514106,-1.77694410518563,1.71428903454571,-3.59365754224802,-0.441914253636806,-0.341762997712269,-0.876782825496178,0.281222177060342,-2.1416217689377,-1.433053155564,-0.0767625648526152,-3.0644092833032,-2.57932726380274,-1.01188197382142,-2.8078473729167,-2.38779662075883,-0.997364095282616,-2.70979266893295,-3.04475812587608,-2.6471780377627,-2.49526436656559,-2.34100927912944,-1.08514464934299,-1.25155843691966,-1.61208937084063,-0.815747036849548,-2.12141088463823,0.029580208379793,-4.83268327005249,-2.86288032337143,0.0607073146118577,-0.232368414435194,-1.41880930191018,-2.4232985041678,-0.187931131793295,-2.73299153277406,-1.26816932606609,-2.06289664475943,-3.31570275098408,-1.46331240946794,-2.63249363098222,0.964905511596358,-2.0521917971944,-1.6419071138303,-2.30780074439119,-2.87735840898876,-1.10870467293956,-1.26534318975941,-1.73572136295311,-0.151895420149169,-2.4792349298748,-2.93319186436821,-2.46518381436616,-3.24423675175382,-4.94631966666795,-1.41344974038912,2.04918659868864,-2.92465662470746,-1.01025379795969,0.0542336540278548,-3.43769734295449,-0.765165984502285,-0.202259169416709,-1.64250272317267,-1.44426500577996,-2.3665975720586,-2.0716763552214,-0.863311082436852,-2.32041123983413,-1.30649832352903,-2.33224429128309,-3.17325978935379,-1.68761532693659,-1.40591191417408,-2.90971853064186,-2.60591566167099,-1.89035928011059,-2.10606077735903,-1.217903822543,-3.78202467180624,-0.775151881761161,-4.25753127762337,-3.12731658548545,-0.431235505845637,0.0299320020169116
-1.91919191919192,-0.0428827768182688,-1.28476085796735,-3.01968709798514,-1.62751156911951,-1.53998232277724,-3.78854384245025,-1.45969489743003,0.725742498827859,-0.694618521988364,-0.60890144410745,-3.78971992401312,-2.05748126508054,-2.53905798274666,-1.45650856236888,-0.402055953496509,-3.87814956612254,-1.77755279774435,1.78394375681436,-3.58478220599168,-0.401579956985971,-0.305653986411734,-0.834042942424011,0.299807093440247,-1.98421959187999,-1.39262462881673,-0.175234237022929,-3.01020614360749,-2.51099356088224,-0.928321943833937,-2.74836150052971,-2.32050871865596,-0.97065204881853,-2.66040698049263,-2.99746572382937,-2.6020749611694,-2.4357634954732,-2.29985423321587,-1.04104034632734,-1.2104723276212,-1.54410357983349,-0.886663476197989,-2.06310422391919,0.12337501168737,-4.78149016327731,-2.79804604920195,0.107560522597923,-0.154628091606145,-1.36132760466354,-2.37288437153602,-0.174561905545003,-2.64988926467683,-1.2279188937896,-1.99159818821342,-3.27045573651695,-1.41981239524876,-2.59594482089905,1.02748624253839,-1.9963413059441,-1.59820150144712,-2.25380892853713,-2.82541608048712,-1.06289634819505,-1.20457867570906,-1.66073177923934,-0.111395762968157,-2.39461079929585,-2.88363992100881,-2.39920137955706,-3.19003307337567,-4.87151502674407,-1.37758161992033,2.07308879459152,-2.87768756102188,-0.953034727316136,0.081853061292025,-3.36129826884918,-0.726288170903141,-0.14934582622255,-1.59620358990819,-1.39692992748467,-2.34100934035245,-2.03598259448642,-0.826644285665597,-2.27454569247867,-1.25164250648873,-2.25182486448432,-3.12853463619861,-1.64732123404709,-1.36698776044669,-2.86770447980865,-2.55802051842999,-1.84263060530352,-2.06232027243008,-1.16161120481032,-3.70878676463096,-0.724518911697526,-4.20115242894584,-3.08644799753279,-0.406828151028637,0.0747675187738676
-1.87878787878788,-0.264968846998432,-1.22693812064833,-2.88549833350884,-1.5863949093347,-1.49895171482371,-3.73360757936086,-1.41884556931723,0.760918729224784,-0.613408568211113,-0.59259958936706,-3.72756741824541,-1.99303508454713,-2.47364669749543,-1.39991714503468,-0.360868186012989,-3.81728861198362,-1.77155967420083,1.85177315035754,-3.56774867011041,-0.361803924748302,-0.269451148898152,-0.791401064118434,0.306029906268727,-1.84231070915182,-1.35155618366965,-0.283160037149809,-2.95720543156446,-2.4404307261885,-0.84076133640842,-2.6893908659429,-2.25381447679749,-0.943541876579872,-2.61095654687286,-2.94840139247596,-2.55697460083495,-2.37547754415902,-2.25823801832128,-0.997109774170037,-1.16911148278887,-1.47686364909652,-0.937456985267957,-2.00440558561289,0.209850437993582,-4.72691106092164,-2.73297059851533,0.154111879985533,-0.0813950115437059,-1.30384542605616,-2.32256501132518,-0.160064975206345,-2.57205907247646,-1.18741458957717,-1.92013810442533,-3.225256321135,-1.37635624716231,-2.55959098132355,1.09518783522341,-1.94090186072736,-1.55420981616363,-2.20008801795593,-2.77308139219365,-1.01725034515182,-1.13754444420983,-1.58610514271631,-0.0709282656072932,-2.29485520817158,-2.82923598871545,-2.33351884991418,-3.13570683839225,-4.79752021721409,-1.36267561595034,2.09721068427558,-2.82992524546582,-0.895861121705794,0.109574472255607,-3.28364263097433,-0.687248348947999,-0.0968603088853466,-1.54993970192873,-1.34951946823216,-2.28695135986638,-1.99845327018533,-0.789974389381592,-2.22868858465471,-1.20123094324932,-2.1603365993695,-3.08345019990023,-1.60708685704597,-1.32785910841179,-2.82478813267266,-2.51024476202791,-1.79511676036475,-2.01844383806584,-1.1056100185792,-3.63623156651598,-0.675178439237916,-4.14468393705955,-3.04823776670825,-0.382316049402045,0.11918578404736
-1.83838383838384,-0.440080690562358,-1.16752261448626,-2.7884903088499,-1.54508675703047,-1.45787056042729,-3.67895978356988,-1.37804577036099,0.795895397366948,-0.536111369669756,-0.576143155304206,-3.66546420286155,-1.93102996055859,-2.40794130455983,-1.34254129014141,-0.31970787772312,-3.75685219946659,-1.75811086707792,1.91787732332236,-3.54041416609924,-0.322587842232479,-0.233157933818924,-0.748857572902212,0.302118318297345,-1.71433892640259,-1.30983435839579,-0.39972816670617,-2.9054625090906,-2.36787130406575,-0.749907432651535,-2.63093732580626,-2.18774576043082,-0.916067667155526,-2.56144253077059,-2.89773085179746,-2.51188147767678,-2.31431419024808,-2.21618279674254,-0.953321730816655,-1.12748935663568,-1.41039714078543,-0.969717060059492,-1.94544056660499,0.288964932500706,-4.66785316966101,-2.66799573716012,0.200358796700559,-0.0127927598367128,-1.24647005059903,-2.27233325407794,-0.14448055014228,-2.49900769044044,-1.14666960164292,-1.84858720090422,-3.18010256543938,-1.33294550329051,-2.52343273602856,1.16836075180198,-1.88587941967456,-1.50996103857943,-2.14663976758819,-2.72040239826683,-0.971769182022366,-1.06329868455455,-1.51189586749467,-0.0304947727328477,-2.18325206458076,-2.77014439635359,-2.26814062190622,-3.08126359459697,-4.72433202031505,-1.36843334465649,2.12154104453201,-2.78140606782539,-0.838756342503979,0.137393988652526,-3.20513233333381,-0.648155418857888,-0.0448160676320555,-1.5037220266655,-1.3020295929553,-2.20888755689747,-1.95923049354982,-0.753305365975726,-2.18284179148098,-1.15583224023501,-2.05955419333629,-3.03802508023011,-1.56691077885302,-1.28853779425931,-2.77930435553616,-2.46259015525323,-1.74780409960141,-1.97443533718471,-1.04989629409151,-3.5643100080716,-0.627048954922813,-4.08812472805767,-3.01236237798537,-0.357694845814146,0.163101882749626
-1.7979797979798,-0.564419823784975,-1.10596165036708,-2.7236910545508,-1.50358018662942,-1.41674282208731,-3.62458564935691,-1.33729817255751,0.830675418183803,-0.465157091318765,-0.559404559728485,-3.60340725862867,-1.87121105231472,-2.34198568389936,-1.28452096671137,-0.278577277319373,-3.69679440858285,-1.73729208494896,1.98241112165617,-3.5003684787113,-0.283930469275935,-0.196777749720632,-0.706406591187692,0.291668026434446,-1.59946131430655,-1.26750438154801,-0.521919120484706,-2.8548637338439,-2.29357673985329,-0.656597620899544,-2.57296955259172,-2.12233212942021,-0.888211012649244,-2.51187011238737,-2.84558007994844,-2.46679988195427,-2.25219237360117,-2.17370959356308,-0.909613272969198,-1.08561903272208,-1.34465202591121,-0.986489161610032,-1.88623585507525,0.36053867274488,-4.60362993559517,-2.60342142088103,0.246297388013467,0.0512048918385293,-1.18922884561255,-2.22219287043831,-0.127856454709211,-2.42945051819399,-1.10569692091458,-1.7769539264716,-3.13499360007779,-1.28958129219723,-2.48747314833784,1.24669089607501,-1.83126774423925,-1.46547477869073,-2.09346543862327,-2.66740888305254,-0.926455204229867,-0.980792252255923,-1.43812195855247,0.00990289761273731,-2.06401485690246,-2.70667438623987,-2.20307877441828,-3.02671751083075,-4.65186079923163,-1.39256475273965,2.14609048688274,-2.73220704832041,-0.781769700901062,0.165318008155055,-3.12616978856961,-0.609008713781979,0.00680339048886527,-1.45756147732247,-1.25445509877148,-2.11042299713509,-1.91860057417459,-0.71667194373841,-2.1370071541961,-1.11584781646356,-1.95133530089574,-2.99227758760504,-1.52679162071501,-1.24901771129836,-2.73008556362397,-2.41505836879746,-1.70070267712713,-1.93029882873717,-0.994457793006776,-3.4930414471885,-0.58006331389371,-4.03147930199864,-2.97879526571176,-0.33296761289797,0.206574859192935
-1.75757575757576,-0.640703377983703,-1.04217855423898,-2.68633270684958,-1.46189403313407,-1.37557237551064,-3.57049165389468,-1.29660289558814,0.86526165104331,-0.401734458349526,-0.542290663048538,-3.54139511752471,-1.81329900788344,-2.27581025398882,-1.22605731886214,-0.237478590755002,-3.63712079080226,-1.70829613001921,2.04496199193841,-3.44505024311554,-0.245809905524388,-0.160313962999918,-0.664045462229737,0.278616024682086,-1.49639708742411,-1.22454292940774,-0.639693440107949,-2.80531565149953,-2.21776142002734,-0.56180454801628,-2.51547647337391,-2.05759483830019,-0.860003907891433,-2.46223862177665,-2.79211818979763,-2.42173387705585,-2.18899958350178,-2.13083178740672,-0.866203750045592,-1.04351322690761,-1.2796208676032,-0.989370566247164,-1.82681993411899,0.424476540775876,-4.53328580488205,-2.53951548554984,0.291919319899251,0.110618383294493,-1.1321713586218,-2.17213597249459,-0.110228081695656,-2.3618092711924,-1.06450934009725,-1.70529145694262,-3.08992895571534,-1.24626528300745,-2.45171034873056,1.32968813926224,-1.77706220590299,-1.42076994073199,-2.04058189852955,-2.61414606084157,-0.881310584561328,-0.888801452401348,-1.36482461367585,0.0502629553854498,-1.94171776228925,-2.63913718209361,-2.13833559889278,-2.97207832825261,-4.58013869602678,-1.43029512006631,2.17084872407437,-2.68242131697291,-0.724938432639288,0.193344182620783,-3.04717485546438,-0.569808433270794,0.0580048231563161,-1.41147084583926,-1.20678891493556,-1.99581210568272,-1.8766388450088,-0.680066832711271,-2.09118647998672,-1.08131489993145,-1.83864488322729,-2.94622573855373,-1.4867280407317,-1.2092890048332,-2.67665985070113,-2.36765097904105,-1.65382364479703,-1.88603856681336,-0.939331000820759,-3.42249096059906,-0.534185163784445,-3.97474877107022,-2.94718008609697,-0.308134381534541,0.249608243323029
-1.71717171717172,-0.674064599665628,-0.97694064934008,-2.67096937501198,-1.42002191803166,-1.33436301035564,-3.5166650463337,-1.25596060854877,0.899656901998384,-0.345971464220269,-0.524719389113774,-3.47942673246211,-1.75700597953725,-2.20944736502273,-1.16746665969884,-0.196413978729693,-3.57781133666681,-1.67142424565106,2.10556658598801,-3.37211848656696,-0.208218746720409,-0.123769895949673,-0.621771834453369,0.265859430218038,-1.40503630249378,-1.18098554219168,-0.732310740682715,-2.75670581233531,-2.14065443600707,-0.466673762560273,-2.45844819525672,-1.99355461175005,-0.831435463068338,-2.41255426862664,-2.73741528988546,-2.37668730331452,-2.12471362948063,-2.0875795378294,-0.823098707875927,-1.00118429044231,-1.21530656320624,-0.980638657640088,-1.76724949629876,0.480855741873939,-4.45616137227918,-2.47646930136384,0.337224111924881,0.165511626546326,-1.07534628179807,-2.12216686468454,-0.0916532539187612,-2.29455643540799,-1.02311945306303,-1.63369781459841,-3.04490525552523,-1.20299906791759,-2.41614471398184,1.41632726051587,-1.72326670377556,-1.37586473022698,-1.98797008826823,-2.5606366944613,-0.836337323499672,-0.786992805538347,-1.29204705789183,0.0905836398771349,-1.82079237426781,-2.56784314813972,-2.07391761025992,-2.91735384363461,-4.50914934994723,-1.47469537394602,2.19582499097866,-2.63210831993965,-0.668276291546072,0.221475139580079,-2.96853878497502,-0.530557034175716,0.108774731864263,-1.36545762506642,-1.15902000552216,-1.86823563250005,-1.83360404203054,-0.643504598609547,-2.04538154178056,-1.05188603211193,-1.72395377291034,-2.89988725158213,-1.44671873238708,-1.16935577473438,-2.61906010075406,-2.32036946601085,-1.60715154399089,-1.8416589996502,-0.884500837293228,-3.35260343280531,-0.489364432907593,-3.91793220124106,-2.91737567407959,-0.283194697603135,0.292190953314119
-1.67676767676768,-0.669365183957672,-0.911940530350925,-2.6713365682343,-1.37798026264978,-1.29311843095723,-3.46311019055647,-1.21537232874962,0.93386392599951,-0.297488507045446,-0.506601083372047,-3.4175018884589,-1.70206158966904,-2.14293807920481,-1.10910357117618,-0.155385554242504,-3.51882712666414,-1.62608938172949,2.16426695432513,-3.28034433219093,-0.171149396206241,-0.0871488249028592,-0.579583501070177,0.255521650490146,-1.32710468122881,-1.13682510996195,-0.774716558317127,-2.70891830497318,-2.06251079273802,-0.372115191954246,-2.40188397301346,-1.93023263611364,-0.802527444716419,-2.36281665513861,-2.68164008786954,-2.33166414581478,-2.05931117316037,-2.04397300626495,-0.780299151973124,-0.95864421319375,-1.15166121886693,-0.96172455277462,-1.70757265865595,0.530166394534391,-4.37207060440763,-2.4145396283113,0.382209251467336,0.215979270479651,-1.01877661436036,-2.0722770281293,-0.0721665973806296,-2.2265185341,-0.981539654564062,-1.5621793634832,-2.99992087665925,-1.15978416362823,-2.38077665740474,1.50439384977468,-1.66986632388807,-1.33077666143235,-1.93562747051171,-2.50690535166523,-0.791537249734708,-0.676325909204454,-1.21983009530691,0.130863221014065,-1.70499908246727,-2.49336204065928,-2.00982964400585,-2.86255469623138,-4.43887358406801,-1.51796364478177,2.22100995570801,-2.58131989036645,-0.611824842328996,0.249713524220968,-2.89061294406336,-0.491252089292534,0.159130016531555,-1.31953112722643,-1.11113399720164,-1.7297827273759,-1.78960571956458,-0.607004785795482,-1.99959407800452,-1.02636482949604,-1.60997766585838,-2.8532795434332,-1.40676242308731,-1.12921495370672,-2.55782610477225,-2.27321521151637,-1.56069532276545,-1.79716476853213,-0.829975606193604,-3.28339088489696,-0.445555689594485,-3.86103066193236,-2.88906344771404,-0.25814808703502,0.33433320409597
-1.63636363636364,-0.636953177063663,-0.849513031671938,-2.68095754190687,-1.3357662864866,-1.25184225703222,-3.40981631307639,-1.17483901784692,0.967885429072102,-0.255523510638644,-0.487834224473416,-3.35561753599407,-1.64822740117944,-2.07632919469457,-1.05144129235484,-0.11439561008437,-3.46017306151478,-1.57328910862431,2.22112276135709,-3.17016335999501,-0.134603368950356,-0.0504539784756277,-0.537478550856582,0.249106576111473,-1.26807321566757,-1.09207409139715,-0.750506330956533,-2.66183199077856,-1.98352481396626,-0.278660020185608,-2.34578022375283,-1.86764660326705,-0.773278632923242,-2.31303078152492,-2.62493613024011,-2.2866676243237,-1.99278132755932,-2.00003187052738,-0.737780843234158,-0.915904627005456,-1.08870623667452,-0.93436264561544,-1.64783833782175,0.573515559853089,-4.28048963633761,-2.35386016722473,0.426870941940699,0.262175301360846,-0.962515723206833,-2.02247121546703,-0.0518231823702653,-2.15701496101334,-0.939782140265734,-1.4907777115913,-2.95497554918538,-1.11662402477928,-2.34560653966112,1.59115080809075,-1.61687481758852,-1.28551803145522,-1.88355757742598,-2.45298065676925,-0.746913293390329,-0.558233751318823,-1.1481702723863,0.171100000615219,-1.59721703659215,-2.41629102182597,-1.94609084209845,-2.80769181903511,-4.36929611309942,-1.55279399775517,2.24641146641305,-2.53013951047094,-0.555620287353048,0.278056879123684,-2.81371671439492,-0.45189787023939,0.209076911061945,-1.2737002803957,-1.06312274380252,-1.58248460174053,-1.74482314826645,-0.570527738740832,-1.95382579230788,-1.00325909298902,-1.49947805529149,-2.80641972573648,-1.366857872707,-1.08886099258209,-2.49357768190508,-2.22618949747142,-1.51446711259942,-1.75256070657942,-0.77577547112689,-3.21494263107689,-0.402704022936607,-3.80404763445987,-2.86202034727897,-0.23298972736004,0.376046880754136
