"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-0.96988429078414,-1.71377582774727,-3.13477023726839,-1.63265289789487,-1.52360419610611,-3.74204825027938,-1.5991397620298,0.872766365083111,-0.832549290979522,-0.558947252446098,-4.21563970735264,-2.38997082886795,-2.55764366585414,-1.41736112599778,-0.365083768159265,-3.64115518047801,-1.71425297197847,1.28321842765531,-3.44415893944043,-0.831786436909879,-0.501359670231376,-0.960421493428893,NA,-2.05413779908348,-1.56739584260339,0.348021754833686,-3.62623864872277,-1.48427027900668,-0.483647996070449,-2.64220383176992,-2.26801506868327,-1.12854364471161,-2.64039146864611,-4.03649806662818,-2.80330176728097,-2.38578905148942,-2.61255951826557,-0.839969760864211,-1.16767676689295,-1.21824850064928,-0.557417523925591,-2.14965511252213,-1.74258987476215,-4.65775492833695,-2.73174397243705,0.396074933419339,-0.512856176593906,-1.287155401703,-2.48133438558863,-1.35944171555441,-2.56761353282892,-1.43828378745315,-1.7350427261949,-4.06738867874454,-0.983322161207599,-4.50509817516363,1.0869775287342,-2.09235896038726,-0.229996935992563,-2.48139622923921,-2.73537137695861,-1.08820357062933,-1.48112924761086,-1.27785441190249,-0.3041731627197,-2.2310472771046,-3.36167698632951,-2.29829411757925,-3.4450113272167,-5.2225755204289,-0.961912409077498,2.31487458394633,-3.2994837755928,-1.01292200562513,0.338154374102912,-3.24190484737465,-0.563744564717873,0.643208727954986,-2.05919272157124,-1.75329903787814,-2.2886602162292,-2.07734360655089,-0.857074137173989,-2.3662749008013,-1.64717417369207,-2.24645598377381,-4.06076592781661,-2.14614510858792,-1.54490956825877,-2.95641760063858,-3.25048646374503,-2.14072702929171,-2.42118168992864,-1.24814597916444,-2.55313423037029,-0.706496979315087,-4.79803197145962,-3.49431480816064,-0.809344383298458,-0.305166174885099
-1.95959595959596,-0.920955718932342,-1.63809178992726,-3.04640097952812,-1.59232588922807,-1.48550715840232,-3.71961425102855,-1.55778808507243,0.88485947927648,-0.778200380044864,-0.560945133214604,-4.13623837967882,-2.2991553689384,-2.50065963293344,-1.38347088149811,-0.357103066146454,-3.59065738545404,-1.71755437124088,1.32060992614642,-3.43528870908935,-0.773660186403558,-0.460930570907965,-0.916826393720259,-0.255627749410167,-1.88479197099597,-1.53877060118271,0.357255917612995,-3.54906924223754,-1.44651011277371,-0.444678518881393,-2.59251335496683,-2.19262296333891,-1.09346839353037,-2.59388881035987,-3.95277786606807,-2.72471571850768,-2.32834020657605,-2.55986012852276,-0.824815219541033,-1.13143045675279,-1.17075416028087,-0.674584655567856,-2.09616531006281,-1.60406776120057,-4.57788189100263,-2.68248647251602,0.422080550083075,-0.388174161021633,-1.23842239120785,-2.43548635739893,-1.24927720798579,-2.51082868630536,-1.41224365828929,-1.67408232442336,-3.98120936582026,-0.937506158638965,-4.40809392031815,1.15384696679374,-2.03586231951624,-0.244270465353374,-2.42566883859972,-2.69236944766634,-1.0447220491038,-1.42560251943791,-1.21209343001674,-0.260074978811212,-2.18460584053983,-3.28118323725086,-2.23894218521963,-3.38270403600553,-5.13905741919578,-0.955505991973875,2.34062055601226,-3.24421581032691,-0.943690339791076,0.355258076918864,-3.18849803215052,-0.528390907612504,0.694619615899272,-2.0064625063235,-1.69728607928688,-2.32594116329291,-2.03178477481554,-0.82330136548871,-2.3210065025517,-1.54461801524464,-2.19529492600902,-3.98325083339056,-2.09715150303262,-1.50011032117175,-2.91017808095061,-3.1291473211303,-2.07849707973188,-2.41005862299478,-1.1848953987053,-2.63415710059244,-0.665523221724652,-4.72847926489548,-3.43939188402601,-0.790882543995198,-0.251471753023989
-1.91919191919192,-0.872150332584985,-1.56141348351785,-2.97465175199102,-1.55187284597627,-1.44733778339897,-3.69025380418919,-1.5164229697984,0.890795718101123,-0.715857126560057,-0.562535621990924,-4.05421455352154,-2.21182290906351,-2.44317112973041,-1.34824261241718,-0.353621179083424,-3.54051400095976,-1.71711496657909,1.35855384276296,-3.41547814271834,-0.716596717928224,-0.420531843039954,-0.873372255297938,-0.152203619372704,-1.73498948036568,-1.50790897736035,0.357536185365234,-3.47369180195547,-1.40822507879241,-0.405758099775298,-2.54312317198372,-2.12035094783057,-1.05826703793065,-2.54731479026975,-3.86850069703784,-2.64688753469578,-2.27078171349263,-2.50713088089215,-0.807998265831064,-1.0947260312306,-1.12326588775215,-0.837799943615053,-2.0420200808334,-1.46789465445509,-4.49817014270987,-2.63324580679726,0.44840803455248,-0.268788392560608,-1.18963851714534,-2.38818795187072,-1.13847162202563,-2.45236885670391,-1.39194242377545,-1.61298665418582,-3.89612006384423,-0.892738737326205,-4.31224416142679,1.22617182344648,-1.97972816624929,-0.256448389144108,-2.37010112883893,-2.64931100438733,-1.0012908428854,-1.36501042674825,-1.1467788556971,-0.21606483521452,-2.13317779670241,-3.20009622240343,-2.17979287271324,-3.3204999066362,-5.05643576453123,-0.953792152874556,2.36640569323537,-3.18853174153265,-0.875008676045755,0.372632174182609,-3.13509967359971,-0.493284654954292,0.746059861161944,-1.95320751502515,-1.64152878614711,-2.32010829005861,-1.98631164076601,-0.789727350722508,-2.27577282257296,-1.44908316025335,-2.13316827689758,-3.90622711290461,-2.04824681453036,-1.45541109888584,-2.8636447622231,-3.02039659554666,-2.0166961796421,-2.39044639119742,-1.12214667475294,-2.70406498397095,-0.624687393984455,-4.65899796770811,-3.38648476250952,-0.765332732780749,-0.198385286693095
-1.87878787878788,-0.823471505485149,-1.48330993139357,-2.9182220595979,-1.51129247570337,-1.4090983650837,-3.65287994528254,-1.47504406042152,0.892490588233722,-0.645458177428114,-0.563773202099545,-3.96904815218493,-2.12814001347782,-2.38519308713144,-1.31162509465534,-0.351208633081137,-3.49072477599364,-1.71206930720372,1.3970353523228,-3.38260483923313,-0.660600495816405,-0.380166357739186,-0.830053178354017,-0.108641124774597,-1.60199587107231,-1.47459977992968,0.349881401516906,-3.39993157018032,-1.36943195382178,-0.366849266552822,-2.49402580174317,-2.05176689748972,-1.02293549345701,-2.50067158638419,-3.7837609188749,-2.57029285443456,-2.21313353729161,-2.45438200439781,-0.789570542958281,-1.05758247148747,-1.07578912475831,-1.0354405978121,-1.98722660678562,-1.33417811585737,-4.41862693753529,-2.58402153480993,0.47505665822517,-0.155596043026292,-1.14082407068705,-2.33942358869764,-1.03250566655114,-2.39281362987875,-1.37429724391826,-1.55176793465748,-3.81215825538782,-0.849028631252793,-4.21769373392199,1.30505309565481,-1.92394552348385,-0.266550731765532,-2.31468969530139,-2.60620072510491,-0.957910913942516,-1.29962330394955,-1.08193203508771,-0.172143673157107,-2.07677518826214,-3.11856098391705,-2.12085134370213,-3.25840405661,-4.97495778115087,-0.957197768430418,2.39223217180529,-3.13151925604308,-0.806883699950438,0.390288587106426,-3.08171285459546,-0.45842581053413,0.796348068316655,-1.89946886594874,-1.58606194029455,-2.27592573930839,-1.94092197482778,-0.756376429641347,-2.23057502299892,-1.36165883964513,-2.0611538731835,-3.82970090590666,-1.99943200067716,-1.41080493212047,-2.81683035125694,-2.92271392086903,-1.95539494528153,-2.36204865484053,-1.05992481785214,-2.76188026014387,-0.58398551435398,-4.58959068660363,-3.33565609473499,-0.734079014318399,-0.145874627548736
-1.83838383838384,-0.774921614683045,-1.40332621413195,-2.87538321761356,-1.47059581870185,-1.37079398266955,-3.60667219229626,-1.43365097220524,0.892320085087809,-0.570025390678491,-0.563915232054151,-3.88038590389965,-2.04816772604081,-2.32674783970187,-1.27359828135898,-0.346896999292889,-3.44127109007566,-1.70118366215125,1.43616677944167,-3.33395756020654,-0.605696842872694,-0.339836960811305,-0.786867730070229,-0.108420273244546,-1.4837815686297,-1.43871602769003,0.334491647420886,-3.32768208527519,-1.33014514438004,-0.328020927689508,-2.44522041681305,-1.98751262798831,-0.9874858531914,-2.45395915509236,-3.69857506566853,-2.49540248495688,-2.15541719983832,-2.40162349964708,-0.769548502513322,-1.02001825167269,-1.02833063046997,-1.25130911827493,-1.93183418237434,-1.20304056499907,-4.33926080598022,-2.53481322962812,0.502029568397788,-0.0494080672973215,-1.09199810530635,-2.28932707718495,-0.935774144310723,-2.3323384026988,-1.35518285637832,-1.49045330458151,-3.72938790636067,-0.806353309778873,-4.12456155452969,1.39072963196676,-1.86851694092988,-0.274702010560685,-2.2594325952191,-2.56304314680953,-0.914583208579442,-1.22983555690959,-1.01762982478347,-0.12831366652373,-2.01584000141846,-3.03675355951073,-2.06211508365053,-3.19642615805545,-4.89481144072059,-0.965952156917546,2.41809782292597,-3.07233195771767,-0.739374158455512,0.408213283746112,-3.0283406529127,-0.423794058012124,0.844378671917923,-1.84526983909743,-1.53080674473922,-2.20032111813982,-1.89561954099734,-0.723233928670081,-2.18541423069867,-1.283302340852,-1.98033079473308,-3.75367798101156,-1.95070886870854,-1.36627472164166,-2.76974410090547,-2.83437987419248,-1.89458128106095,-2.32498363915934,-0.998284732060172,-2.80837306856792,-0.543408000680507,-4.52026092494856,-3.2867141343261,-0.698994477213509,-0.0939858653651051
-1.7979797979798,-0.726513169744553,-1.32116599095518,-2.84416492513546,-1.42977954542803,-1.33242805849967,-3.55270299496187,-1.39224286053977,0.892730961229886,-0.494822479798278,-0.562951192916771,-3.78844821709295,-1.97186247079615,-2.26787077651038,-1.23425164817368,-0.338693517602741,-3.39211127347101,-1.68396669059642,1.47577327923304,-3.26683705999159,-0.55186695228436,-0.299546470354947,-0.743805938987665,-0.13602792029447,-1.37944648218975,-1.40022321449926,0.311281968853737,-3.25671356429813,-1.29038388579918,-0.289393313765774,-2.39668824701809,-1.92792762614162,-0.951913177726854,-2.40718190949609,-3.61298038054394,-2.42265855479324,-2.09766032258933,-2.34886515466949,-0.747946604247756,-0.98205134288182,-0.980895325270952,-1.46285203753909,-1.87584509644574,-1.07454768078806,-4.26006832294954,-2.48562047752353,0.529323435970374,0.0490403742641723,-1.04317903471085,-2.23789833452819,-0.850577168403896,-2.27102603063238,-1.33068583327552,-1.42904601109433,-3.64789511216458,-0.76467351229155,-4.03294279778838,1.48305376462663,-1.81344338816365,-0.28096495608858,-2.20433077703704,-2.51984266888876,-0.871308656873788,-1.15605453917407,-0.953850002174636,-0.0845769318904275,-1.95108007950469,-2.95477854993912,-2.00357743230931,-3.13456715880686,-4.81609630273761,-0.979174727716504,2.4440046015293,-3.01052723314352,-0.672516147120049,0.426420362109742,-2.97498632385363,-0.389367077808531,0.889306854074688,-1.79066754743424,-1.47573741318592,-2.10056191204791,-1.85039923847376,-0.690263623473883,-2.14029153784652,-1.21464452348404,-1.8917413005646,-3.67816373965935,-1.90207916999834,-1.32180662746574,-2.72239495802913,-2.75333203831788,-1.83431360269009,-2.27971360047962,-0.937275143614311,-2.84325235682826,-0.502949579731248,-4.45100734432398,-3.23970706588674,-0.662339195302925,-0.0426409652479286
-1.75757575757576,-0.678245623401185,-1.23706828237083,-2.82242229699439,-1.38885583850408,-1.2940039541386,-3.49279448005328,-1.35081956807933,0.896177282788063,-0.424892187527131,-0.560736781646069,-3.69421396014011,-1.89912037147081,-2.20854614985909,-1.19372505696801,-0.325541081211524,-3.34324368059724,-1.6591685691467,1.51151921178601,-3.17905035199125,-0.499092572678647,-0.259297674417797,-0.700862247324426,-0.176562100139272,-1.28789169214641,-1.35907484832766,0.281708841767175,-3.18693740946995,-1.25017703734408,-0.250919465504622,-2.34842163412597,-1.87298745431627,-0.916228743226047,-2.36033774258794,-3.52703691191274,-2.35245714575082,-2.03988994604463,-2.29611697724733,-0.724749727319256,-0.943699217347413,-0.933489116924816,-1.64451293650153,-1.81936746682201,-0.948817405632245,-4.1810595781619,-2.43644287760408,0.55694341395235,0.139128103324334,-0.994385068953853,-2.18530034311745,-0.776701232292432,-2.20880497829235,-1.29782786756498,-1.3675646073042,-3.56777947742696,-0.723968219771447,-3.94286256200285,1.58135788814116,-1.75871729532561,-0.285400928124101,-2.14938704713588,-2.47660355652711,-0.828088172117286,-1.07857141693289,-0.890625767730736,-0.0409355259963717,-1.88341572483767,-2.87276646386253,-1.94525460305116,-3.07283165196395,-4.738843510733,-0.994669086468332,2.46995055894152,-2.94607164476344,-0.606307163927559,0.444900131810661,-2.92165390584876,-0.355137800377779,0.930335289522715,-1.73567793777702,-1.42083774955228,-1.98405925798749,-1.8052671550551,-0.657460990232351,-2.09520800246117,-1.15569605445903,-1.79751279116676,-3.60316322051618,-1.85354459984395,-1.27739413705879,-2.67480178403775,-2.67757859541059,-1.77464903439461,-2.22691178264574,-0.876923434517694,-2.86555833840499,-0.462604992411072,-4.38183138930626,-3.19440647188971,-0.626034694493714,0.00830146258295612
-1.71717171717172,-0.630122280241628,-1.152277486012,-2.8073727181157,-1.3478217807613,-1.2555249704432,-3.42995661757368,-1.30938073987641,0.904954617819025,-0.363090556094978,-0.557152865619977,-3.59944223020383,-1.82978555411463,-2.14881452792913,-1.15226476380555,-0.30694565386056,-3.29464627941216,-1.62659534091224,1.54800358905776,-3.0696585808229,-0.447353876511362,-0.219093328712272,-0.658031485800919,-0.219784785171393,-1.20907050746126,-1.31527528530167,0.251279221359804,-3.11824960812524,-1.20953884585044,-0.212700971993167,-2.30041346646239,-1.82226626445134,-0.880430123435675,-2.31343238648473,-3.44079047653889,-2.28510740314056,-1.98212965848499,-2.24338826307131,-0.699941667442264,-0.904978852855548,-0.88611865294625,-1.77516737459874,-1.76237580253865,-0.825867310427547,-4.10223942537016,-2.3872800414382,0.584886715274368,0.220356098804199,-0.945635928361945,-2.13150926271826,-0.712114258890728,-2.145553622451,-1.25490567004349,-1.30602364074571,-3.48905014759198,-0.684214308828634,-3.85432588011784,1.68414431501807,-1.70434298028514,-0.288069914185619,-2.09459197101722,-2.43332994411202,-0.784922650260782,-0.998274687423331,-0.828012048674301,0.00260855669786623,-1.81399002860734,-2.79086823394007,-1.88712627190741,-3.01122749516081,-4.6630252313966,-1.00911559159477,2.49593743078559,-2.87915615419994,-0.54074191164627,0.463656338039343,-2.86834567205658,-0.321124024163502,0.966390446267732,-1.68034990510829,-1.36605134031264,-1.85604315424909,-1.76021712964995,-0.62480389960061,-2.0501646489137,-1.10595002125408,-1.69937000736478,-3.52868110448674,-1.80510679725066,-1.23302481015688,-2.62697600492201,-2.60528356179922,-1.71556990027933,-2.16754633319256,-0.817256072167521,-2.87654318966529,-0.422369001612466,-4.31273646997321,-3.15076819334447,-0.591533190271959,0.058604269687628
-1.67676767676768,-0.58215763600508,-1.06885715412681,-2.79560168766524,-1.3066879912526,-1.21699434762572,-3.36732420177709,-1.26792587849574,0.920884100320068,-0.310182037304891,-0.552071052687472,-3.50658965308139,-1.76367726620835,-2.08870030620492,-1.11004298885762,-0.282836101308862,-3.24628406952069,-1.58527273454786,1.58234782780563,-2.94029880051676,-0.396639358040859,-0.178936154393371,-0.615308657332009,-0.258834820429624,-1.14379040969547,-1.26886044497519,0.229952861106193,-3.05056790538138,-1.16848044383882,-0.174742111358438,-2.25266100569142,-1.7749646257586,-0.84452522050292,-2.2664639748017,-3.35430877942416,-2.22087323720717,-1.92440332407596,-2.19068807652481,-0.673591818170294,-0.86590673738109,-0.838787779478999,-1.83735608033698,-1.70495076693038,-0.705728454674171,-4.02360636997034,-2.33813159266491,0.613150330492876,0.292437259554008,-0.896946888707363,-2.07671038963836,-0.654116729457009,-2.08124699787645,-1.20138728262558,-1.24446471798879,-3.41179271016712,-0.645386091279007,-3.76731472083913,1.78837498895824,-1.65030874827758,-0.289030529357047,-2.03994390021861,-2.3900258386425,-0.741812969364121,-0.916063317819179,-0.76604295711676,0.046053386359139,-1.74409669371427,-2.70924096780443,-1.82921137741013,-2.94975882497267,-4.5885025816876,-1.01900681122657,2.52196348817212,-2.81014440560979,-0.475848334023553,0.482692524390488,-2.8150646770888,-0.28724870280297,0.996674080334708,-1.62473520962798,-1.31137641147092,-1.7195645596297,-1.71525350323418,-0.592250140622408,-2.00516246840439,-1.06363253885428,-1.59929870890106,-3.45472172030598,-1.75676734471608,-1.18868669699926,-2.57892873995867,-2.5346395765934,-1.65712644212763,-2.10277087637166,-0.75826854688042,-2.87639414559487,-0.382238401954176,-4.2437242019379,-3.10858554778166,-0.55966220541186,0.108444145842429
-1.63636363636364,-0.534346764286439,-0.989220575348227,-2.78342761815778,-1.26545375752118,-1.17841526530852,-3.30765073773479,-1.22645446070006,0.945019370431444,-0.265314557701919,-0.545277442237646,-3.41787057726164,-1.70060769874375,-2.02823156749202,-1.06732454100868,-0.252920608698213,-3.19815372693443,-1.53604300739056,1.61324019756593,-2.79558765452874,-0.346962705767881,-0.138828835900974,-0.572689120536863,-0.290282303471414,-1.09410563820621,-1.21984271892415,0.228054251329688,-2.9838122531017,-1.12703943004773,-0.137029800213822,-2.20516085157669,-1.73007569791071,-0.808514721202907,-2.21943701839164,-3.26763034152216,-2.15983487974853,-1.86673082872119,-2.13802525151715,-0.645659992596984,-0.826498873934359,-0.79150443706033,-1.82590404390371,-1.64720983763397,-0.588437555391115,-3.94517366343918,-2.28899716658972,0.641733695669751,0.355163183373858,-0.848333609438332,-2.02089556804739,-0.600063131040371,-2.01601538573393,-1.13765030535447,-1.18291826509524,-3.33606796617934,-0.607488968387077,-3.68176958028355,1.890305585209,-1.59662780852482,-0.288291833637715,-1.98544125560888,-2.34669479085674,-0.69876040431513,-0.832776306503011,-0.70469009451939,0.0893971000314569,-1.67504779480369,-2.62800140996897,-1.77150014243242,-2.88842791461698,-4.51517643164286,-1.02140030841739,2.54803024934794,-2.73977451088452,-0.411675935493942,0.501999088307236,-2.76181396987754,-0.253523024403764,1.02029417389268,-1.5688697681026,-1.25678985200423,-1.57819563195997,-1.67037295410168,-0.559777456276895,-1.96020241940821,-1.02666135691427,-1.49994625610797,-3.38128905067628,-1.70852776801495,-1.1443695592657,-2.53067080450111,-2.46416917277765,-1.59937961283989,-2.03397967155978,-0.700069360644688,-2.86424715147934,-0.342208536596209,-4.17479372276436,-3.06773251656378,-0.530751316949856,0.157799328920864
