"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-2.61086362633106,-3.39010594265874,-4.49150679648801,-2.83904505358263,-3.07035726253608,-5.03733422065203,-3.02426644454223,-2.80737763159697,-2.47389450735286,-2.47394936518714,-5.37455271921815,-3.42689667699789,-5.47600028713783,-1.98194730411209,-1.45616905687605,-5.92974268779363,-2.99477585538834,-2.80383255725315,-4.47359754838864,-3.24524266146616,-2.07131257608323,-3.3160317120421,NA,-2.89160883541455,-3.50395061580479,-1.5888150961236,-4.90614674297772,-3.0305905435458,-3.6552278949393,-4.19224306568373,-4.80550190826444,-2.89558879824174,-3.71397829935613,-4.08791665218548,-4.71535115807175,-4.32845509398251,-4.58396927923717,-1.49421619742776,-3.87243674856592,-3.67717911387485,-0.685644556719194,-3.18287483927536,-3.7287792720211,-5.80139661703125,-4.00119470218591,-3.02351582006481,-2.88417619856241,-3.40263163483143,-4.89257010642475,-3.16907369719798,-4.05780171612835,-1.84609354892769,-2.44643549927907,-4.55296077636376,-3.30581298160263,-5.60431356705562,-2.72089917405318,-2.80150758808428,-2.87885888940295,-4.39567875790906,-2.55905095190841,-2.15985419995142,-3.60984134793317,-5.48830027902045,-1.77560511666594,-3.31543924212635,-3.79686269694234,-4.52432453663887,-3.70701119103742,-5.35879255157677,-3.33282789772296,2.03515572537924,-4.24514253171297,-3.43923779536016,-0.892640990136316,-4.62855562196526,-1.74671238048449,-1.17290612516751,-2.76782060999475,-2.31497238905216,-3.80753067296221,-3.83129162856258,-2.18639039336676,-3.44313334185907,-2.92091711448307,-2.38093745160458,-3.61432811709031,-4.26940876752943,-2.99330493359008,-3.70583493748665,-3.93156418690051,-4.08020703234756,-3.50250272776115,-3.01131971888865,-5.45294243901808,-4.04522498869863,-5.88995700222623,-5.81225184272073,-2.68021426032638,-2.70452011743329
-1.95959595959596,-2.53573770621884,-3.34018366906378,-4.39714303175921,-2.76961147086978,-2.98974590343715,-4.9414043350076,-2.94802176069731,-2.72451186149826,-2.39583122260174,-2.45221395199884,-5.26330580473571,-3.35110267829525,-5.31259812179747,-1.93943223688983,-1.46829246063564,-5.80754983261229,-2.93296559487769,-2.66436257051161,-4.38836678121624,-3.16190561768719,-2.00684691950236,-3.25436310783884,-2.04539631660343,-2.82614688887994,-3.46296427556128,-1.46857646597802,-4.75891828918885,-2.95390302282264,-3.66651297350545,-4.08863246490536,-4.59816616965109,-2.83186399679909,-3.61060613732218,-4.00932408527223,-4.57814806001919,-4.22045079285673,-4.47922061259595,-1.46688004864235,-3.77645199909729,-3.57149837211254,-0.754479258834034,-3.143747686012,-3.58982417229599,-5.66487512649746,-3.89696154983614,-2.90297680293253,-2.79043533827272,-3.30185678831468,-4.76841228731107,-3.06891932184415,-3.92068975359188,-1.81000537647625,-2.39314178124911,-4.45674810578094,-3.16108105043378,-5.45569650507701,-2.63992172765775,-2.73800500999025,-2.78474442965327,-4.28208387521872,-2.54584615909322,-2.10648225510897,-3.52499374809796,-5.35123004810558,-1.72076561701978,-3.2509848127058,-3.71242667610056,-4.39475232960904,-3.62866186335818,-5.26696140683528,-3.21977231991208,2.00990836837654,-4.19853675521569,-3.37946991232158,-0.850070302650225,-4.56257399729161,-1.70359628832441,-1.04825062515448,-2.70162788233045,-2.24374696765533,-3.70222697662873,-3.76289538634972,-2.10248160954525,-3.3782569847593,-2.78909081400125,-2.32824949996737,-3.55256228421272,-4.14768069823692,-2.93945944143955,-3.65324457852615,-3.84737888217892,-3.95605593621061,-3.46907604085051,-2.91963408404048,-5.33774370997859,-3.89353715560608,-5.75421169177709,-5.69733793522833,-2.64508405831783,-2.57932769400738
-1.91919191919192,-2.46062676493462,-3.28254783741872,-4.30323496731068,-2.70022652607243,-2.90927862752314,-4.84596668330011,-2.87192397877303,-2.64608132717279,-2.3181198174783,-2.424152014996,-5.14474415832855,-3.27536834172471,-5.14512890130639,-1.89608388998393,-1.47704014335604,-5.68606200901818,-2.86561911787251,-2.50189827946308,-4.29787004656262,-3.07874863510749,-1.9422365639408,-3.17285486926214,-1.97929104723355,-2.76082950644021,-3.41418803462115,-1.3570020419679,-4.6139820508279,-2.87579591106891,-3.652324911856,-3.9854568201097,-4.38000187192691,-2.7621723274574,-3.5089722073428,-3.93065247856595,-4.44074734907801,-4.11256274469789,-4.3749768078524,-1.43770855868687,-3.68069772332222,-3.46651901468562,-0.788172555052107,-3.09510565899285,-3.44699203107893,-5.52899430112122,-3.79478438524669,-2.78226327886955,-2.6972281026456,-3.21441018075272,-4.64440892549833,-2.96948449501701,-3.78767285483569,-1.77233945411216,-2.33963643259836,-4.36123615922549,-3.04749671347695,-5.31169651122297,-2.55352774363108,-2.6745523615951,-2.70987731855086,-4.16712437287207,-2.53021994762921,-2.0524094312436,-3.43758019066514,-5.20343682779805,-1.66858978395441,-3.17969382610758,-3.62807566754747,-4.25857171449997,-3.55097300271709,-5.18272440078025,-3.13651659263107,1.98794600693704,-4.15466242773226,-3.33338238029961,-0.807392591359882,-4.49528863591793,-1.66533670443963,-0.935726526193446,-2.63216678100789,-2.17292887950824,-3.59647399432105,-3.69265198206792,-2.01779544632601,-3.31326252465104,-2.66063816050459,-2.27490573583735,-3.49051553324557,-4.0298989787527,-2.88361825063375,-3.59867536031456,-3.76794739514245,-3.83257773676827,-3.43332723522694,-2.81658336442573,-5.22579772093073,-3.73715741046024,-5.61937814455167,-5.58262675235325,-2.5837998964012,-2.48432887053394
-1.87878787878788,-2.38553389641325,-3.21561241961136,-4.20977331752133,-2.63089400097376,-2.82900724518874,-4.75099769772612,-2.79597151417019,-2.57165719774128,-2.2407449766138,-2.39040518465027,-5.01698618776004,-3.19969851144088,-4.97632951676902,-1.85170443836331,-1.47199658726522,-5.56529393375998,-2.7920918998804,-2.31316136087686,-4.20133771810944,-2.99576917688212,-1.87748726664321,-3.06975733144845,-1.91329289381326,-2.69565009124933,-3.3538685865864,-1.2534801266024,-4.47155398383994,-2.79639734403091,-3.59938422742925,-3.88272247582816,-4.15304683205208,-2.68640713029772,-3.40963455164331,-3.85191189928044,-4.30384462447256,-4.0047222435744,-4.27123623605862,-1.4068582883151,-3.58517402564307,-3.36220117795341,-0.792057116968258,-3.03870373611439,-3.29944077602563,-5.39380270739053,-3.69500077510456,-2.66145865847154,-2.60455119863778,-3.13797940416399,-4.52047225986873,-2.87078028213221,-3.6600114608432,-1.73315012194042,-2.28547859926694,-4.26645194727645,-2.95773100514818,-5.17315818246191,-2.46138579162306,-2.61199513639278,-2.64839255332952,-4.05120141722613,-2.51226151221435,-1.99765657646406,-3.34718995312955,-5.04592238586716,-1.6184039230799,-3.10092511194632,-3.54383115505778,-4.11532685465853,-3.47398600028613,-5.10614977080608,-3.08348482658959,1.96881416241021,-4.10888190181819,-3.29701462748495,-0.764602362586676,-4.42432848207726,-1.62968511335964,-0.830093545703126,-2.55959659823616,-2.10251700731444,-3.48967095725288,-3.61883018141772,-1.93386743079106,-3.24815391028454,-2.53918887029311,-2.22097088404618,-3.42820066410234,-3.92049026335628,-2.82580900954965,-3.53968514484465,-3.69097696676759,-3.70975182954182,-3.3942282939859,-2.69901382490555,-5.11656771314611,-3.57876311037809,-5.4854863929448,-5.46810684170131,-2.50046318308699,-2.419875620574
-1.83838383838384,-2.31046186821601,-3.1379735888646,-4.11675444106741,-2.56161253402717,-2.74888086197944,-4.65651699869449,-2.72016272457255,-2.50080729396274,-2.16369673478043,-2.35140309212781,-4.87883364197573,-3.12409780521713,-4.8092191178659,-1.80606973155681,-1.44793006549236,-5.44522651578285,-2.71153366227728,-2.09806399657693,-4.0979793697491,-2.91296744917622,-1.81260468690124,-2.94342808619397,-1.84740065436653,-2.63060750912075,-3.27944458821847,-1.15870038180217,-4.3321206056815,-2.71582138503597,-3.50651606503502,-3.78044601462519,-3.92033118001903,-2.60535600737967,-3.31313373934301,-3.77311227207466,-4.16816268905253,-3.89686464579572,-4.16799721881937,-1.37440952497445,-3.48988098546203,-3.25857321239485,-0.769018039906739,-2.97431201599554,-3.14665582879085,-5.25935392490354,-3.59782137325911,-2.5406402823546,-2.51240145139075,-3.07031863847133,-4.39648684081958,-2.77278129847244,-3.53874341138045,-1.69249070920949,-2.2301966425282,-4.17243597154913,-2.88158864921886,-5.04103056588104,-2.3640133241638,-2.55039740397743,-2.59374531018867,-3.93472139090326,-2.49205762441771,-1.94224427114335,-3.25351926677587,-4.88092110749313,-1.56956085121511,-3.01417953284459,-3.45975476792999,-3.96689476506654,-3.39774091484015,-5.03616416402119,-3.05884911807945,1.95176084550156,-4.05660436883373,-3.26590846286292,-0.721704467700016,-4.34813391546567,-1.595383109436,-0.72883167038244,-2.48405392030708,-2.032510236063,-3.38119561564301,-3.5400083546637,-1.85187053370872,-3.18293503410442,-2.42808132964352,-2.16646989768819,-3.36563037934586,-3.82161447734169,-2.76625438065417,-3.47454549646371,-3.61458598695064,-3.58745556474536,-3.35093342921959,-2.56719410078986,-5.00903287192887,-3.42026354667366,-5.35257376191228,-5.35373449354634,-2.4010249252236,-2.38127229121387
-1.7979797979798,-2.23541521517746,-3.04894850858089,-4.02417465243056,-2.49238719826075,-2.66879997589223,-4.56250458346246,-2.64449993598972,-2.43304566110418,-2.08697514295679,-2.30776948138677,-4.73065249974315,-3.04857061219308,-4.64625277928224,-1.7590158367922,-1.40439436325813,-5.32579054701864,-2.62422949506147,-1.86005160373003,-3.98704997369835,-2.83034287369669,-1.74759438389448,-2.79599279080893,-1.78162147394083,-2.56570644584906,-3.1908479879314,-1.07294742730248,-4.19508541767699,-2.63416930248636,-3.38044143266567,-3.67861468687135,-3.68622816346272,-2.5191735442154,-3.21978468521351,-3.6942633751047,-4.03442703608054,-3.7889448140848,-4.06525883447791,-1.34044047756804,-3.39481865546088,-3.15559241594226,-0.725402818665489,-2.90383404532567,-2.98851329173065,-5.12564926790798,-3.50338018244257,-2.41990287751269,-2.4207757956784,-3.00877907468593,-4.2723300538025,-2.67553172355809,-3.42445506153222,-1.65041352136655,-2.17332244707934,-4.07924244281459,-2.81106931520312,-4.91631501452126,-2.26191229598326,-2.48913466026042,-2.54083752249973,-3.81816785876468,-2.46969267373815,-1.88619282536814,-3.15636930816052,-4.71293209444676,-1.52156388444924,-2.91928893742824,-3.37586237978858,-3.81683096174069,-3.32225148235943,-4.97087042012156,-3.05766360550565,1.93683098609547,-3.99461732485062,-3.23513911889167,-0.678692453116096,-4.26608193590965,-1.56250938726212,-0.630727918761486,-2.40572196538349,-1.96290745516044,-3.27082705974868,-3.4556994951877,-1.77261912754733,-3.11760973539806,-2.33021608594094,-2.11139504219113,-3.30281727820269,-3.73243815444711,-2.7050452734262,-3.40287948889809,-3.53734436727669,-3.46564544540685,-3.30283343489919,-2.42408770394613,-4.90237735299225,-3.2631155257342,-5.22061879841678,-5.23950216565475,-2.29321012735615,-2.35820500111261
-1.75757575757576,-2.16039616285219,-2.9490256098459,-3.93203627139403,-2.42321578094837,-2.58867046212718,-4.46897709056857,-2.56897836000015,-2.36775909280448,-2.01056603062332,-2.26006982606855,-4.57423983935094,-2.97312109076472,-4.48914764994534,-1.7103824506754,-1.34422086921337,-5.20700297439971,-2.52998473591821,-1.60923710821288,-3.86788919274024,-2.74788847791967,-1.68246181464865,-2.63213815372608,-1.71595255456261,-2.50094136398873,-3.08959271760189,-0.997147525465949,-4.06086634355111,-2.55158282702135,-3.23109454856141,-3.57723165711995,-3.45646280880288,-2.42879701366947,-3.12958482870486,-3.61537463092984,-3.90328129778904,-3.68086349900366,-3.96302977426606,-1.30501312760113,-3.29998705990605,-3.05325573840449,-0.667860229354037,-2.82851044144654,-2.8256721408557,-4.99274599579772,-3.41167537085354,-2.2993761036506,-2.32967126749103,-2.9499503239463,-4.14797710508523,-2.57901603826412,-3.31703440040856,-1.60696982885409,-2.11445673534735,-3.98694449652856,-2.74137975385998,-4.79991560260486,-2.155655860482,-2.42730009437673,-2.48572633191444,-3.70199344241593,-2.44524870901309,-1.8295222765957,-3.05554313881114,-4.54556031334913,-1.47393856424655,-2.81665812964217,-3.29218553612584,-3.66925304992268,-3.24754997815054,-4.90789033937978,-3.0721177499971,1.9234519252695,-3.92169443633606,-3.19972517726927,-0.635569431674066,-4.17827665581935,-1.53164959280754,-0.535780465686651,-2.32479497013488,-1.89370756058835,-3.15872999168234,-3.3651080071016,-1.69676001541517,-3.0521818034431,-2.24745664194389,-2.05580502503003,-3.23977385089567,-3.64991367968458,-2.64224531237005,-3.32561248495288,-3.45842118554854,-3.34417325830583,-3.24950097489366,-2.27516920500689,-4.79551233610395,-3.10829117852596,-5.08963552908406,-5.12537112735216,-2.18399103318699,-2.33702469824082
-1.71717171717172,-2.08540748013293,-2.84005629273182,-3.84034031150735,-2.35410365255923,-2.50846028656189,-4.37591800422984,-2.4935950388369,-2.3041125716518,-1.93445483159809,-2.20874678543678,-4.41307275010027,-2.89775316661498,-4.33876407789751,-1.66011106839237,-1.27094169547921,-5.08883927921311,-2.42987274747084,-1.357493021246,-3.74015074321888,-2.66560203024822,-1.61721233211213,-2.45971099975295,-1.65040299375723,-2.43630941969784,-2.97845532514198,-0.931985646730987,-3.92963075373332,-2.46819209647129,-3.06775315711947,-3.47630002302652,-3.23743077567234,-2.33461903989048,-3.04251043158734,-3.53645525701509,-3.77524675320785,-3.57258532551816,-3.86129680624638,-1.26817450798777,-3.20538619297917,-2.95156955579857,-0.604570420583447,-2.74898191199072,-2.65989967471739,-4.86067768042308,-3.32269861445789,-2.17912140783601,-2.23908499576076,-2.88941618880858,-4.02333240158847,-2.48328502366738,-3.21581546712663,-1.56220985762354,-2.05306718508515,-3.89554409082846,-2.66982732726064,-4.69256214359861,-2.04626452765327,-2.36336408011776,-2.42604192563101,-3.58649536933784,-2.41880548011542,-1.77225238752135,-2.95131200269585,-4.38189582415572,-1.4262551482657,-2.70759100848503,-3.20876338654669,-3.52730656343684,-3.17367356568409,-4.84480727128547,-3.09283474550552,1.91115734702228,-3.83788169097993,-3.15505154388684,-0.592333073643843,-4.08598843493596,-1.50310669530808,-0.445384507185308,-2.24171186374773,-1.82490945708643,-3.04518985736881,-3.2686789953828,-1.62485934901551,-2.9866549806532,-2.18063624905944,-1.9997222727982,-3.17651247329462,-3.56951457514805,-2.57805041294188,-3.24417769254194,-3.37732386582656,-3.22291706599075,-3.19063287342714,-2.12540397062703,-4.68746409952371,-2.95647942373131,-4.95966250029127,-5.01131666916704,-2.0790997521871,-2.30501392181031
-1.67676767676768,-2.01045449867987,-2.72526614402685,-3.74907188559959,-2.28504900812773,-2.42816157123695,-4.28334099049051,-2.41834807631336,-2.24094697595582,-1.85863291723097,-2.15421150102417,-4.25205391255264,-2.82247053088235,-4.19502285944382,-1.60819682355909,-1.18745739950478,-4.97124148676119,-2.32466376468211,-1.11914089266319,-3.60442809447783,-2.58348137632798,-1.55185118335203,-2.28896464709496,-1.58496822098655,-2.3718113576925,-2.86093786790977,-0.877374113540331,-3.80126908128772,-2.38411410981557,-2.89745149555142,-3.37582995071267,-3.03539385521902,-2.23766388410409,-2.95846388932525,-3.45751561839391,-3.65076174723612,-3.46410004729435,-3.76005801620967,-1.23004313812473,-3.11101601713276,-2.85049392189078,-0.543014712186601,-2.66602904978473,-2.49414745992314,-4.72944772630239,-3.23637158075745,-2.05919509262552,-2.14901419423396,-2.82345874630143,-3.89833783003968,-2.38834000785926,-3.11960486879651,-1.51618278133729,-1.98893525242569,-3.80507280849386,-2.59498602325253,-4.59469977554573,-1.93528981323929,-2.29561724548076,-2.36107675975372,-3.47200312681889,-2.39044047987971,-1.71440264415907,-2.84422190559334,-4.22393639760414,-1.37819205263299,-2.59451397275582,-3.12562299852775,-3.3927851103864,-3.10063535181747,-4.77916502698827,-3.11085309130594,1.89987134074459,-3.74451225316552,-3.0973475280296,-0.548981058562182,-3.99042432051762,-1.47700950352454,-0.361925982322701,-2.15685398199113,-1.75651206036076,-2.93001915152789,-3.16641396023023,-1.55721625269693,-2.92103296572126,-2.12799731304256,-1.94314295666626,-3.11304540188406,-3.4861829964669,-2.5125409852899,-3.1603614925701,-3.29373477810335,-3.10176467229444,-3.12601722219331,-1.98029419845544,-4.57733704356073,-2.80835544680677,-4.83071661823642,-4.89731043543134,-1.98267068089877,-2.25471912722865
-1.63636363636364,-1.93553817840994,-2.60858210826185,-3.65822717585346,-2.2160564844376,-2.34790530209639,-4.19123295454964,-2.34323551003892,-2.17674476298187,-1.78309951947255,-2.09670302005844,-4.0961967203912,-2.74727663846522,-4.05697876097083,-1.55468366880286,-1.09586016186336,-4.85422826126513,-2.21658244168701,-0.905099073390671,-3.46234676065438,-2.50152740974422,-1.48638350787013,-2.13007699831717,-1.51909020242723,-2.30744907791199,-2.74052521912964,-0.832081532914517,-3.67603430671138,-2.29948893742181,-2.72480196804456,-3.27583003020051,-2.85567459984468,-2.1388258006419,-2.87703582110467,-3.37856485713061,-3.52996895673148,-3.35539822916251,-3.65931142325458,-1.19068856725507,-3.0168764614709,-2.75005204866221,-0.489410706343627,-2.5804489080026,-2.33261005327664,-4.59912429388803,-3.15265540338173,-1.93967983831428,-2.05945615349562,-2.74921279015152,-3.77290743701693,-2.29418601506674,-3.02675771974855,-1.46893671522615,-1.92170414742385,-3.71560230077122,-2.51580480148891,-4.50617858511506,-1.82453757903404,-2.22194540236276,-2.29148123108144,-3.35878473672744,-2.36020321865367,-1.65598834643583,-2.73521092073266,-4.0723292597293,-1.32948700420094,-2.48064158738065,-3.04279116972201,-3.26596506519801,-3.02842665405939,-4.70885496335292,-3.11896730293205,1.88932507204687,-3.64431369080444,-3.02419549578178,-0.505516524357779,-3.89277841376874,-1.45320742884027,-0.288332461592671,-2.07059921139263,-1.68851429931716,-2.8137139705588,-3.05904648585583,-1.49395887206048,-2.85531941676009,-2.08664439475023,-1.88611904824379,-3.04938476904668,-3.39519912187236,-2.44577633228107,-3.07580468271648,-3.20736897100305,-2.980625938921,-3.05555259629688,-1.8444432474225,-4.46384282500527,-2.6646918804867,-4.70278365111924,-4.78332440406806,-1.89743174628894,-2.18545926916125
