"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-0.79272136044909,-1.15407662921002,-4.071722539886,-2.30621160377491,-1.87738692030058,-3.97690289379435,-1.43703295543633,-0.236708424064843,-0.964578991700228,-1.55525161714631,-4.46773979177865,-2.1297006449426,-2.92882780791712,-1.38968567276707,-0.598808214165419,-3.84163374244304,-2.24022279571018,1.11365094958889,-3.26303344192897,-1.54388585127967,-0.7211491058435,-1.58291955276116,NA,-2.13967539218491,-1.22236232757383,0.151424861644745,-4.0239994067732,-2.17259367454894,-1.54750191757871,-3.2682697606808,-2.70708083591445,-1.63651002980723,-2.85095984282369,-3.0655361835449,-2.89302048878062,-2.72067282749542,-2.97316517237743,-1.24083286948478,-1.77941106241337,-1.76980937442843,-0.214355504705522,-2.34706472746118,-0.431698632460164,-4.91055534379916,-3.27937540941512,-0.646395920847912,-1.24654511748294,-1.54565685092517,-3.00614467408004,-1.48865270970263,-2.98282317061871,-1.67041521385011,-1.81016556202791,-4.13294203975468,-1.81109130693819,-4.54666058072589,0.0809013580409518,-2.06720957452216,-1.37411351050132,-2.7327131711225,-2.95697367629309,-1.54795691547543,-1.73391071678501,-2.15171303508229,-0.364195290829264,-2.44516359530166,-3.04349158842479,-2.44296635931651,-3.71065503753683,-5.07777095270374,-1.67629240335265,2.13193479616959,-3.25074122235579,-1.39278098854548,-0.0977642441687215,-3.51860119225869,-1.30830163606495,0.0121492109323782,-2.04064590305342,-1.63335308657372,-2.06558520201582,-2.75546801590232,-0.946260111041705,-2.69011724059693,-2.21879222801419,-2.25149690940688,-3.63291047955928,-2.71523589863171,-2.37893453877779,-3.03735601596446,-2.97263096814859,-2.72281288221408,-2.36847213823326,-1.13874127393526,-3.90230861403314,-1.65836247901467,-4.71957665714003,-4.0429725595568,-1.80997031990272,-0.423402963153189
-1.95959595959596,-0.755632013211459,-1.12432312919171,-3.98309206089768,-2.21210096479207,-1.84427877852008,-3.92272358905244,-1.40295038174217,-0.210652553825876,-0.911833670957269,-1.50074075359754,-4.40056559810881,-2.10905196285082,-2.85979603831253,-1.35961032795783,-0.55244589533829,-3.78382701876926,-2.20211941192843,1.1607047159568,-3.22345983909125,-1.49162728666848,-0.678812640757423,-1.52920779277755,-0.397901111006843,-2.02521351793343,-1.18824604446983,0.182044814227521,-3.92937379863814,-2.15352622209541,-1.53339493633366,-3.196201806474,-2.63976704964564,-1.58631079987555,-2.80887704872277,-3.01929069254911,-2.82180990111225,-2.65860545961865,-2.91368681489324,-1.20122692971284,-1.72808973997224,-1.70286833087774,-0.211448670933365,-2.28408160742829,-0.374044690483749,-4.79991135041266,-3.18995010590441,-0.582897370119432,-1.17659391179287,-1.49407657170751,-2.94595064585021,-1.43489994396188,-2.87830914133267,-1.61829316495363,-1.75464150280583,-4.01779573628303,-1.76750360470871,-4.47216675287029,0.13765045047908,-2.01585738998609,-1.33904624087795,-2.65845600543554,-2.89588448623116,-1.50661444361886,-1.6951553584001,-2.07788739152066,-0.33387244146812,-2.40394961685799,-2.99655526908879,-2.38550923069934,-3.62193541402112,-5.00372421634835,-1.65387450260322,2.16005460483904,-3.20393154140245,-1.36468338533185,-0.065009217979007,-3.45916453120882,-1.26049982460464,0.0695039006921878,-1.98779656769789,-1.57318074371101,-2.02075922381089,-2.7034239485721,-0.903154396439852,-2.64985299111062,-2.14848205334403,-2.19585713302834,-3.51516333253061,-2.65446539829814,-2.30369122648354,-2.98203653746612,-2.92045293605025,-2.60868552193466,-2.34543242042132,-1.10217016369502,-3.82802341381769,-1.55381721121067,-4.6415281016094,-3.99170663595103,-1.7314574195015,-0.381048621059256
-1.91919191919192,-0.717655786856451,-1.09231731423657,-3.89579427230511,-2.1222766736179,-1.80981153455017,-3.86863192514865,-1.36843928201548,-0.183629764195223,-0.859175973840065,-1.4466159197773,-4.33038545033387,-2.0861208591091,-2.79064119954212,-1.32825300865221,-0.504425414339602,-3.72639155613675,-2.15990150828145,1.20730591684959,-3.18263740999289,-1.4395682279708,-0.636217059540669,-1.47535154797946,-0.367596441898008,-1.92235215592155,-1.15296047389485,0.209339039499756,-3.83605083257497,-2.12885084804336,-1.50670750353457,-3.12452066845526,-2.57281441736564,-1.53544318102256,-2.76823138109577,-2.97268880997058,-2.75163205165937,-2.59650205746103,-2.85427522921222,-1.1606895959823,-1.67663702562404,-1.6365228042125,-0.204341275960706,-2.22049574329034,-0.317099031232436,-4.69106637036892,-3.10552662575733,-0.519761253353058,-1.10776887124961,-1.44189297051897,-2.8840875569368,-1.38281705161875,-2.77911325149106,-1.56570159815863,-1.69908619906951,-3.90553967730764,-1.72250157124959,-4.39754806192448,0.197011227213534,-1.9646277969463,-1.30352223301698,-2.58273050107611,-2.83526680466454,-1.46153861117274,-1.65382384209681,-2.00412591936061,-0.303454864232403,-2.35857771385905,-2.94612941837842,-2.32810048840885,-3.53466246506315,-4.92988598406108,-1.6325095695735,2.18820465949408,-3.15525397938984,-1.33664584054867,-0.0322385440553575,-3.4017836764279,-1.21272690480439,0.12594842630669,-1.93425550269023,-1.51337607670692,-1.97443820129332,-2.64794153567525,-0.863326640635321,-2.6084422366814,-2.0795890807208,-2.13910526916399,-3.41024911765883,-2.59382816810581,-2.2291743872872,-2.92569325451632,-2.86711740512454,-2.4985817350846,-2.31897070672924,-1.06341873432655,-3.75537372380103,-1.45586338289847,-4.56617765689508,-3.9393667162808,-1.64987025614532,-0.338722208516592
-1.87878787878788,-0.678914943690185,-1.05766947718816,-3.80978018124928,-2.03693434059841,-1.77392451120328,-3.81462469358313,-1.3335085354388,-0.155473301324109,-0.806614422440629,-1.39283957281372,-4.25625299293166,-2.06105264226286,-2.72135981991473,-1.29564431041106,-0.454773496337656,-3.66931613288088,-2.11366745978552,1.25340260642993,-3.14021058903343,-1.38770964331836,-0.593365346055708,-1.42136811385983,-0.337241717595444,-1.82937183371623,-1.11630502653239,0.233087379476776,-3.74401672073164,-2.09828896473572,-1.46512724743113,-3.0532351665084,-2.50624558771071,-1.48394052869544,-2.72812429750691,-2.92574837793947,-2.68257244658562,-2.53437648343746,-2.79494169661783,-1.11931285322616,-1.62506360923465,-1.57073460101229,-0.193689851985171,-2.15632226495769,-0.260776158447436,-4.58383543383693,-3.0255347706854,-0.456991398960052,-1.04006767778066,-1.38913467342452,-2.82055143411176,-1.33265780461296,-2.68576435861696,-1.51269509522872,-1.64352274164661,-3.79647795358863,-1.67598514828485,-4.32284156775619,0.259475657898064,-1.91352421830423,-1.26755214266805,-2.50595073316137,-2.77486964010226,-1.41262892757913,-1.60970010575709,-1.93047913960234,-0.272979375838108,-2.3080000505839,-2.89251608793623,-2.27074639115578,-3.44888716593732,-4.85612921200158,-1.61139241407733,2.21638672664718,-3.10476295593936,-1.3084277870326,0.000548300459573558,-3.34618044028455,-1.16498349126691,0.180789439009461,-1.87999536524359,-1.45398119900842,-1.92602227178649,-2.58946206680763,-0.826639067457659,-2.56625167563094,-2.01218597907873,-2.08146208317451,-3.31773083187344,-2.53332784951146,-2.15543527117091,-2.86806957904529,-2.81251038501608,-2.39275539925864,-2.28899974106124,-1.02258932025558,-3.68424301430913,-1.36450734718721,-4.49332205600854,-3.88588460241923,-1.56634930399291,-0.296427001921095
-1.83838383838384,-0.639627753764789,-1.02018949716715,-3.72501871736575,-1.95565806500312,-1.7366452321509,-3.76070652917119,-1.29816658317733,-0.126024023604061,-0.754161786359211,-1.33944923783217,-4.17716472425758,-2.03398709341883,-2.65196592038625,-1.26159562843749,-0.403766512856379,-3.61256555660657,-2.06311747859729,1.29904559125314,-3.0956917688803,-1.33605557093652,-0.550281532425997,-1.36727154483838,-0.306676038547755,-1.74503616890035,-1.07816540799698,0.25286387279754,-3.65326976005939,-2.06143604825949,-1.41007607595458,-2.98236334516466,-2.44008052464295,-1.4319055620934,-2.68694140507223,-2.87848697865754,-2.61471095541482,-2.47224225426066,-2.73569720180299,-1.07715740397939,-1.57337989942547,-1.5055231671228,-0.17977777223888,-2.09164076639488,-0.204996258908538,-4.47815855201988,-2.9493220387507,-0.394463321058239,-0.973459596565262,-1.33581758713027,-2.75552863034441,-1.28436360695356,-2.59847201976425,-1.45933029048545,-1.58797344274457,-3.69084172239327,-1.6278041843778,-4.2480768144148,0.325143970457906,-1.86255633444207,-1.23116887482112,-2.42848585180175,-2.71483941443145,-1.359931171207,-1.5626073696092,-1.85700442970321,-0.242452908201752,-2.25128954349186,-2.83633961138894,-2.21345326672278,-3.36468843142157,-4.78225595627869,-1.58974248599814,2.24459921264551,-3.05227843344947,-1.27974096790413,0.0333503847519183,-3.29165299071738,-1.11726710572112,0.233447493545712,-1.82496633311678,-1.3949808130327,-1.8751126126101,-2.52825207201623,-0.792873888493806,-2.52345826525706,-1.94636976716037,-2.02305842495867,-3.23571937427888,-2.47296922653817,-2.08247012859722,-2.80901212287169,-2.75653502978611,-2.29088847813976,-2.25557026827386,-0.979962638515865,-3.6143059444092,-1.27911963430924,-4.42265883519909,-3.83132512803095,-1.48253152825006,-0.254166264013187
-1.7979797979798,-0.60008722658311,-0.97996869436431,-3.64147973162842,-1.87853933605587,-1.69803242038939,-3.70687488639508,-1.26241225533933,-0.0951439488913614,-0.701806695893559,-1.2863966539438,-4.09252143389606,-2.00505848140914,-2.58247538724668,-1.22625419461661,-0.351759583712831,-3.55608387537041,-2.00851171767557,1.34441767899657,-3.04844138196146,-1.28460917529133,-0.506971283671295,-1.31308327519173,-0.275787246450897,-1.66880858837456,-1.03827964173531,0.268211392070112,-3.56374569854889,-2.01781811860482,-1.34456497795916,-2.9118965513718,-2.37434011083255,-1.37935147528749,-2.64325587868359,-2.83092192996922,-2.54810940406776,-2.41011254329605,-2.67655261224094,-1.03428150719796,-1.52159602627053,-1.44084875884043,-0.163091070172611,-2.0263422112489,-0.149706540042908,-4.3737887217443,-2.87621343179656,-0.332429698362982,-0.907919507769646,-1.28197293116199,-2.68902366447754,-1.23760521594901,-2.51707035368627,-1.40566020817114,-1.5324611761921,-3.5888984049038,-1.57780982654603,-4.17329938297598,0.394002875019742,-1.81172983085796,-1.1943917434997,-2.35072228659412,-2.65513460362886,-1.30366812932651,-1.51237927539219,-1.78373266697439,-0.21189400322333,-2.18784601387634,-2.77822431260523,-2.15622893694282,-3.2820465101141,-4.70801423592484,-1.56683113505235,2.27284373129772,-2.99792057310847,-1.25022194120942,0.0661684077807674,-3.23731313259517,-1.06957720855767,0.283545426569947,-1.76904337270406,-1.33637633618751,-1.82151528195541,-2.46479104242443,-0.76179750449147,-2.47991477196344,-1.88220266178756,-1.9640061111947,-3.16164810391536,-2.41275689436362,-2.01027180438433,-2.74855239072629,-2.69911961265189,-2.19310169670284,-2.21883871508607,-0.935999989638748,-3.54536595178825,-1.19917288853364,-4.35363739569385,-3.77560704940608,-1.40010753760085,-0.211942880916846
-1.75757575757576,-0.560690338453949,-0.937381932265117,-3.55915024366669,-1.804921072207,-1.65817483532877,-3.6531340517435,-1.22626639300073,-0.0627150752446254,-0.649572433819525,-1.23365749838566,-4.00219626124364,-1.97439559768252,-2.51289591625939,-1.18964511379056,-0.299174501984422,-3.49985053351583,-1.94966627077758,1.38913443257803,-2.99766833883775,-1.23336587807398,-0.463452201461492,-1.25882064699972,-0.244525083139141,-1.60014571689036,-0.996694935580402,0.27887082925235,-3.47546329167535,-1.96685302234561,-1.27193676420858,-2.84184025684676,-2.30904168150543,-1.3263696239403,-2.59562962082757,-2.78306843520246,-2.48285536724235,-2.34800142060892,-2.61752092942347,-0.990744195361033,-1.46972184409631,-1.37670506502329,-0.14388644447398,-1.96049890466732,-0.0947738499520765,-4.27069716339599,-2.80551432122185,-0.270778730267986,-0.843462171557377,-1.22766754845747,-2.62123645634654,-1.191735080246,-2.44097862580518,-1.35172973054535,-1.47700614343763,-3.49091091760643,-1.52586137905056,-4.09854122716049,0.465782087893958,-1.76105032325315,-1.15723962556805,-2.27297166240738,-2.59571137953045,-1.24422492904213,-1.45882830888016,-1.71070015269015,-0.181300379481462,-2.11754522047112,-2.71864444963418,-2.09908007827686,-3.20095944164538,-4.6330966590433,-1.54198514800252,2.30111885986216,-2.94176696113385,-1.21943303613521,0.0990017534992243,-3.18218148208352,-1.02191286610433,0.330757568241221,-1.71210030536426,-1.27817032186374,-1.76525683258121,-2.39930421924229,-0.733206407850748,-2.43507947222438,-1.8196588526116,-1.9044511824203,-3.09293223321134,-2.35269526123172,-1.93890171672774,-2.68696780244565,-2.64020963077637,-2.09939529401102,-2.17903557219943,-0.891414261947315,-3.47726657176463,-1.12421223361231,-4.28576293730128,-3.71883315129759,-1.32072801251839,-0.169759726689124
-1.71717171717172,-0.521734783937662,-0.893210772848487,-3.47801377748905,-1.73470450575826,-1.61719760339309,-3.59948214612217,-1.18974376641519,-0.0286209615351257,-0.5974542172607,-1.18121485798913,-3.90678053455415,-1.94212180905251,-2.44326031538676,-1.15185072989747,-0.246304605724377,-3.4438248866633,-1.88707740381349,1.43484929337961,-2.94248320073354,-1.18232642778237,-0.419730909181191,-1.20450073274226,-0.212847680821254,-1.53913822636772,-0.953385144507675,0.285562220970691,-3.38840581890505,-1.90791217213905,-1.19490007549059,-2.77219971887748,-2.24420786728667,-1.27299303637982,-2.54350200639604,-2.73493837974595,-2.41898623959375,-2.28592186568659,-2.55860995784853,-0.946590763126062,-1.41776693438035,-1.31309358718295,-0.122551861343215,-1.8940375174854,-0.0399901367016397,-4.16871926726173,-2.73659576005038,-0.209510120335371,-0.780029609311229,-1.17280504404338,-2.55218763615136,-1.1459795409894,-2.36929536944044,-1.29759747059055,-1.42163165518316,-3.39673119579464,-1.47184559687841,-4.02382592066587,0.5398818659712,-1.71052649145359,-1.11973096110675,-2.19547953363883,-2.53653775510783,-1.18208599402349,-1.40201830938334,-1.6379573247094,-0.150688215640965,-2.04098733178272,-2.65780434942258,-2.04201202364843,-3.12147871901668,-4.55720184119923,-1.51467914421625,2.32942605906066,-2.88389540330161,-1.18678157390583,0.131850596337242,-3.12547011105423,-0.974272159468107,0.374624400766251,-1.65404910012013,-1.22036540644707,-1.70646199097699,-2.33219536738188,-0.706924215119316,-2.38811512982185,-1.75859512097531,-1.84450064493275,-3.02736274879975,-2.2927885503851,-1.86831289731832,-2.62458707058588,-2.5797917771302,-2.00929265598478,-2.13645608542471,-0.846751861801417,-3.40967308851128,-1.05380120980856,-4.21849284249145,-3.66098522140634,-1.24576644610404,-0.127619551493107
-1.67676767676768,-0.483424635682129,-0.848439073335425,-3.39801230625845,-1.66723678860318,-1.57522849925896,-3.54592308188729,-1.15285655997149,0.00723408232822547,-0.545456085388711,-1.12905247810532,-3.80766537724833,-1.90835512647355,-2.37357010758462,-1.11299920916756,-0.193473127309226,-3.38795865542582,-1.82097405940864,1.48196853651297,-2.88212440479469,-1.13149152792778,-0.375831059063092,-1.15014049555812,-0.180753161281567,-1.48627967965195,-0.908368974369999,0.290310006716439,-3.30255950626569,-1.84043594269717,-1.115344945897,-2.70298662065571,-2.17985689805837,-1.21930277616474,-2.48627263382023,-2.68655604153434,-2.35657531447578,-2.22388570773373,-2.49982947057284,-0.901894964781777,-1.36574060874475,-1.24997830087952,-0.0992781964076299,-1.82693599819647,0.0150061050262852,-4.06779739343526,-2.66892433678554,-0.148626073274345,-0.717628127040111,-1.11751742612035,-2.48208267919227,-1.09955575814362,-2.30094249164234,-1.24330164456522,-1.36635505771245,-3.30633518472789,-1.41561104732312,-3.94919911824888,0.614951480353672,-1.66015931330169,-1.08188375418379,-2.11843774606481,-2.47758192528444,-1.1178123979075,-1.34231601648123,-1.5655500676495,-0.120044097881322,-1.95941310122627,-2.59564411015297,-1.98503136117194,-3.04359625400379,-4.4800415374793,-1.48454181915004,2.35776407724885,-2.8243408091642,-1.15151301266647,0.164715130865319,-3.06654581423044,-0.926655451207486,0.414927100050967,-1.59477560689596,-1.16296430475427,-1.64500955786128,-2.26353382286412,-0.682760366337035,-2.33816840851456,-1.69863428866815,-1.7842333985683,-2.96323950868138,-2.23304080201676,-1.798490807569,-2.56185009959872,-2.51787335899026,-1.92265628173489,-2.09143871552684,-0.802646555807323,-3.34237269486354,-0.987726648512811,-4.15126528811287,-3.60215836462217,-1.17622302881721,-0.0855249847394356
-1.63636363636364,-0.445679960851219,-0.80396881054843,-3.31911886505652,-1.60220007259731,-1.53242019923116,-3.49245565634855,-1.11561758956014,0.0449271290165122,-0.49358726270501,-1.07715159899085,-3.70705466587044,-1.87320828807079,-2.30384671828184,-1.07321958944952,-0.140927649895221,-3.33222537148362,-1.75243206154827,1.53113868290532,-2.81619573488232,-1.08086562057372,-0.331761319382629,-1.09575675726229,-0.14819854227721,-1.44238545986357,-0.861673234154442,0.295853375191391,-3.21787737931902,-1.76445434671999,-1.03443529201197,-2.6342111304973,-2.11600075369654,-1.16533675727028,-2.42424113246434,-2.63793761843957,-2.29561658385336,-2.16190470497966,-2.44118894340838,-0.856727842456361,-1.31365191204047,-1.18737474739252,-0.0743391333602864,-1.75904316706816,0.0707579288575624,-3.96792966166621,-2.60207819113297,-0.0881300971644691,-0.656218360804262,-1.06185037418361,-2.41096169175723,-1.05193169746305,-2.23475514178198,-1.18888315765518,-1.3112006936445,-3.21973969585297,-1.35688643485833,-3.8746843744546,0.689330838577684,-1.6099610939706,-1.04370639235444,-2.0420235800047,-2.4188059532339,-1.05198232250319,-1.28014292794875,-1.49349373716516,-0.0893561062808467,-1.87469983331718,-2.53162307658413,-1.9281447358329,-2.96728025249677,-4.40136637044009,-1.45129067624219,2.38613422132369,-2.76328982512334,-1.11276593898556,0.197594847130576,-3.00490770603226,-0.879060154284029,0.451416704761665,-1.5341965435456,-1.10596980494234,-1.58065686208573,-2.19343436336683,-0.660439200568391,-2.28466079376759,-1.63931009356381,-1.72374299154509,-2.89945928288808,-2.17345587523895,-1.72946663163847,-2.49917090596739,-2.45448124242362,-1.83925632469499,-2.0443872107099,-0.759628703250345,-3.27514948530051,-0.925800834919026,-4.08355224178098,-3.54239951047646,-1.11285823499501,-0.0434785381896711
