"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-0.295757130647902,-0.775284116812483,-3.22865392136321,-1.14790308077718,-0.989603948827753,-3.50448065777135,-2.17567901838808,0.288979605196456,-0.107748867107806,-0.581406346585527,-2.87186533501489,-2.25596879884152,-1.32644214088148,-1.17176559276574,-0.618430384049462,-3.9747830662307,-2.00765932604412,0.808931594773979,-2.33259995458623,0.364432837104266,-0.318501438144304,-0.085466333466459,-0.0713531378973925,0.0768332317422498,-0.596584179636288,1.13033332384296,-3.09549441880831,-1.79623170589408,2.34201248418371,-2.92435679469445,-4.83272328557355,-1.32909619885864,-2.1058437081844,-2.72700726524175,-2.65904248405118,-1.86594115282268,-2.5714217242537,-1.4943621399036,-0.137459899490386,-1.29089861206209,-0.334946500566278,-1.21938072623759,0.978784330125568,-3.94717626806513,-2.61451454308587,0.337333437888359,-0.615043769294885,-0.738577632517983,-2.21174656298936,-0.380192800505081,-1.51915335759446,-1.40060388168568,-1.32735540689539,-2.83015402604357,-1.2513445944101,-2.83481218295148,0.00832675572967972,-1.81147301278573,-1.54314287733936,-1.76907979358723,-2.29714551776283,-0.643322189179003,-1.02280173836714,-1.3811161328986,1.61741067290973,-1.90835800586786,-2.47772425047131,-1.39252235122466,-2.85782473324219,-4.09983031523527,-2.50031291372574,NA,-1.65354451244702,-1.85830729790525,-0.186475865224127,-2.65313582910754,-1.21219109406282,-1.16309074350944,-1.62306815212743,-0.72656509239679,-1.11477383150198,-1.55777185332604,-0.163092527706157,-2.03610049445303,-1.52171802329836,-1.96139448592231,-3.53320551848855,-1.63667317981948,-0.880697052817497,-2.87924016650027,-2.37306608128027,-2.05235876474538,-2.13447076026102,-0.827476676578093,-3.48237755576636,-1.5880741238006,-3.70786632403755,-3.45927433972539,-1.07480654332053,-0.17493780596786
-1.95959595959596,-0.264016788544362,-0.757293968618692,-3.24274036930911,-1.14311680797619,-0.954387221628614,-3.4323844726655,-2.16789138511482,0.318542231188233,-0.0658476548013598,-0.546227879836627,-2.82678735989802,-2.21276095303418,-1.29722101313272,-1.13268896810358,-0.627668206026474,-3.91030977172433,-1.96651015863785,0.901535111303633,-2.29141389457812,0.389582646590396,-0.270021493843174,-0.0670655865700537,-0.0333552547889157,0.106357655962668,-0.57776301555794,1.15900154856768,-3.03707541656392,-1.71182748180294,2.34038828099,-2.88461199792576,-4.69091537539602,-1.28874414540915,-2.06940213684527,-2.68389037014883,-2.61903351596101,-1.83061262391121,-2.52421286135654,-1.45754720988917,-0.114318221826435,-1.23769279037952,-0.263696829787459,-1.17252715448325,0.961124980948438,-3.88025256758614,-2.57219795589539,0.374977841523437,-0.572279109639566,-0.680284157200732,-2.16242704171459,-0.351415883510034,-1.49601974226848,-1.30097747837273,-1.2829275230052,-2.77939906694392,-1.21376072179987,-2.79985267186754,0.0827444159162149,-1.78155733048499,-1.49288469608905,-1.70343911018639,-2.25261127989984,-0.625925486022803,-0.981232400502816,-1.34008088106452,1.6377640790145,-1.87380372813089,-2.43913100700175,-1.34854933859591,-2.76714148596065,-4.05454359799823,-2.42632136370215,NA,-1.66319494426474,-1.80442121745538,-0.171281393814438,-2.61649148207662,-1.17770259103268,-1.11366160741849,-1.57334095518353,-0.668341243067585,-1.0834325605864,-1.5199935776509,-0.130096505860641,-2.06706308478693,-1.45575774027837,-1.91459607780098,-3.51411985122731,-1.59632766660549,-0.862869438855525,-2.82753017560311,-2.33102556989573,-2.00125950437603,-2.08229916652419,-0.783489588994838,-3.43303689575991,-1.5060011548415,-3.70167115576425,-3.40788721948831,-1.0324137920463,-0.140521626948524
-1.91919191919192,-0.232230130611967,-0.737082785871843,-3.25534859931292,-1.13452376112393,-0.919103001619693,-3.36095215006447,-2.14920248919664,0.34812040570499,-0.024460222218651,-0.51101874688654,-2.78191288665861,-2.16953255758579,-1.26571119999992,-1.09360573024381,-0.63989694638456,-3.8460363247847,-1.9254317014771,0.992126326608059,-2.25024904713444,0.41275832312548,-0.221601897739585,-0.0485985437173154,0.00465234869755773,0.13584280796444,-0.558758303647829,1.18771460342737,-2.97784029714987,-1.62381849264844,2.33678368785907,-2.84485502682345,-4.55060175243738,-1.24835431188278,-2.03271183041389,-2.63996410358608,-2.57902005448527,-1.79527325028377,-2.4767848532962,-1.42069255746468,-0.091145193628268,-1.18480466213142,-0.197369568359303,-1.12583110006226,0.94551087214887,-3.8144413973203,-2.53665585990356,0.412543788882581,-0.535588104705823,-0.623541039289444,-2.1227595445794,-0.322565826815354,-1.47232533604201,-1.21403303452672,-1.23871670163269,-2.72981771870889,-1.16908602669193,-2.76592854111048,0.157294135176146,-1.75118425877238,-1.44307484265522,-1.63899686358587,-2.2080871544957,-0.607690302819854,-0.939636694272388,-1.29856619519684,1.65816299390212,-1.83900432715667,-2.40045036255479,-1.30471404452577,-2.67171228145883,-4.00937971505356,-2.35197899932378,NA,-1.67250828391878,-1.75070023189069,-0.157257993119703,-2.57884267703933,-1.14318559060582,-1.06430613732917,-1.52374831442659,-0.611254449409987,-1.05091530634503,-1.48216909299768,-0.0971270339855319,-2.09912158167858,-1.37797215420128,-1.86783134753987,-3.49435789678361,-1.55597092226558,-0.844179838231617,-2.77331481567382,-2.28889743019167,-1.94744781610913,-2.02672282864721,-0.739589140631735,-3.38252721354632,-1.41216337385544,-3.69303243513892,-3.3567833939765,-0.990178070314959,-0.105982781608864
-1.87878787878788,-0.200396353836191,-0.714252967268996,-3.26517653981223,-1.12039903099414,-0.883752562742817,-3.29054420745802,-2.11883101290599,0.377713885850028,0.0164084222257489,-0.475780203651603,-2.73723949135614,-2.12628387309528,-1.23136512234388,-1.05451497658409,-0.652358653477933,-3.78202199016039,-1.88441296839807,1.08227172265361,-2.20910579023954,0.432801046434818,-0.173247046140906,-0.0300600476989995,0.0426700927033879,0.165284947842533,-0.539310272924709,1.21647190988166,-2.91808038053697,-1.53544597823694,2.33129925352777,-2.80508590987463,-4.41233109894841,-1.2079272934079,-1.99577361246453,-2.59527526882618,-2.53899034453859,-1.75992327514641,-2.42912717472428,-1.38379918793175,-0.0679395052065402,-1.13222665556791,-0.13752286849429,-1.07929745263213,0.932016171422473,-3.74976774261728,-2.51056962126118,0.450033236940498,-0.504335692834098,-0.568417937749747,-2.09299994238647,-0.293645461620699,-1.44809436447643,-1.14365475998644,-1.19476335393701,-2.68092135426345,-1.11673763717219,-2.73268971884103,0.231979326920883,-1.72036449484709,-1.39371608021899,-1.57699316004143,-2.1635735545766,-0.588628359783051,-0.898016162633575,-1.25619716367156,1.67860803340669,-1.80397083185116,-2.36168662392537,-1.26101625500118,-2.57254418657586,-3.96433044808526,-2.27735386406813,NA,-1.68101757361356,-1.69712464166616,-0.14396078240413,-2.53998682990199,-1.10863899442223,-1.01502792674185,-1.4743118547744,-0.555367914898451,-1.01723673423589,-1.44429876370654,-0.0641837072335387,-2.12801968423873,-1.29176279517111,-1.82111711618004,-3.47337131738998,-1.51560304631922,-0.824667834081532,-2.71694510048436,-2.24667872585044,-1.8908604208143,-1.96791337893468,-0.695774480390674,-3.33096553896597,-1.30992685251411,-3.68182799043666,-3.30596271911778,-0.948091368324906,-0.0713212305984025
-1.83838383838384,-0.168515863682928,-0.688574553784662,-3.27116475685684,-1.09931703944457,-0.848337170330092,-3.22148358784725,-2.07709115977536,0.407322412868206,0.0567523352478402,-0.440516876172748,-2.69276474253369,-2.08301516265157,-1.19350755453103,-1.01541579736031,-0.663338195954647,-3.71832779336467,-1.84343394679936,1.17108216005519,-2.16798451946536,0.448018879215948,-0.124959362900827,-0.0114530077208435,0.0806973551812981,0.194677816383821,-0.519568031563501,1.24527756350361,-2.85805164580305,-1.44961889947727,2.32398429663327,-2.76530418106037,-4.2768016459425,-1.16746368928696,-1.95860506009445,-2.54979908774082,-2.49893137999905,-1.72456293405256,-2.38122958981067,-1.34686577321106,-0.0446998599278444,-1.07993457667781,-0.0855160723310524,-1.03293036167531,0.920740631929528,-3.68627309496145,-2.49576412767905,0.487448177315923,-0.477163807721812,-0.515066251129767,-2.07253161809135,-0.264655287134013,-1.42331826161433,-1.09114887880497,-1.1510856891885,-2.63232397759608,-1.05640056166293,-2.69955500848634,0.306302503190889,-1.68906936391933,-1.34477535653018,-1.51859666225184,-2.11907104437259,-0.568737048675031,-0.856371248316837,-1.21263547621925,1.69909978824279,-1.76867993216954,-2.32284064744557,-1.21745579199826,-2.47048538272507,-3.91938664468559,-2.20252627067629,NA,-1.68831747523172,-1.64365965895379,-0.130930217893807,-2.49982953986083,-1.07406171793646,-0.965822767032449,-1.42505110946238,-0.50061228927791,-0.98241275092114,-1.40638210977521,-0.0312656256828017,-2.15011719713105,-1.20169913344089,-1.77446802788658,-3.45060723559446,-1.47522438726827,-0.804374686725093,-2.65877720995156,-2.2043664661744,-1.83169139486336,-1.90606959611203,-0.652045298580761,-3.27844775077793,-1.20284577980239,-3.66799708360898,-3.2554248469184,-0.906156382316226,-0.0365331508574837
-1.7979797979798,-0.13659024865119,-0.659502265310335,-3.27234357651749,-1.06999358918452,-0.812858079202809,-3.15415078698717,-2.02477011702604,0.43694587350664,0.0965664675135183,-0.405231020091295,-2.64848620195924,-2.03972625297922,-1.15173315735374,-0.976307183836257,-0.671833229698272,-3.65501615186457,-1.80249400096691,1.25918062251465,-2.12688558270166,0.457217859834711,-0.0767447969171873,0.00722563973565218,0.118734708427324,0.22401880128574,-0.500050212677217,1.27412947666599,-2.79801698697986,-1.36825665012929,2.31502963575182,-2.72550914288774,-4.14442349422966,-1.12696410281052,-1.92120458177411,-2.50356667892983,-2.45883500293146,-1.68919245544331,-2.33307485089406,-1.30989497694775,-0.0214249753643166,-1.02793789437776,-0.0419435241029543,-0.986728772827569,0.911738935077388,-3.62396371102316,-2.49210445713607,0.524790379691459,-0.452588503519241,-0.46366010444957,-2.05969402665921,-0.235597776217158,-1.39803781155705,-1.05495301476078,-1.10770970471159,-2.58383181672114,-0.989010745796933,-2.66587023091267,0.379588273220162,-1.65729523199926,-1.29623973063994,-1.46489760655919,-2.07457959311557,-0.548019527609921,-0.814703921231766,-1.167404417662,1.71963882290757,-1.73312164043031,-2.28390810472875,-1.17403251026408,-2.36693589818991,-3.87453995401735,-2.12758265571158,1.57772013875338,-1.69398690948242,-1.59029190295619,-0.117643168172231,-2.45832610136861,-1.03945269177611,-0.916693130598644,-1.37599926568132,-0.446956404405674,-0.946442398183214,-1.36841863900124,0.00162782827942756,-2.16353463823012,-1.11199217782895,-1.72789624784208,-3.42550336715154,-1.43483578504673,-0.78329247589608,-2.59916065816835,-2.16195723658875,-1.7704794172678,-1.84140205371153,-0.608401300196965,-3.22506310449698,-1.0957073934392,-3.65143322647213,-3.20516922502596,-0.864360665424263,-0.00162170300849168
-1.75757575757576,-0.104619915940309,-0.627123328935745,-3.26754785430161,-1.03147883243918,-0.777315145348176,-3.08910191771259,-1.96260036137995,0.466584093494176,0.135846685256698,-0.369924865823345,-2.60440221825087,-1.99641775326096,-1.106115306765,-0.937188178078465,-0.6767417154719,-3.59213555740875,-1.76157582350662,1.34674484969053,-2.08580928139909,0.458548178812625,-0.0286041053685247,0.0259757868983406,0.156781417403448,0.253300966483497,-0.481650219902595,1.30303119512055,-2.73831267033558,-1.29263953028316,2.30466633709491,-2.68570099621648,-4.01561857181858,-1.08642914107682,-1.88358376064274,-2.45659336625275,-2.41868870914073,-1.65381206118522,-2.28465980000774,-1.27288548825943,0.00188687081073154,-0.97624044615981,-0.00652218855203094,-0.940695298333774,0.905265757941716,-3.56283958849832,-2.49778280577067,0.562060055395449,-0.429004032971056,-0.414339452554271,-2.05226914838554,-0.206473481762019,-1.37223662244816,-1.03274376630866,-1.0646477664546,-2.53542698412424,-0.915382003857245,-2.63095866722153,0.451442172401688,-1.62503572815998,-1.24809796335961,-1.41614160292446,-2.03009951904982,-0.526511497937373,-0.773015899849732,-1.12046853420952,1.74022567460141,-1.69729548182605,-2.24489347170888,-1.13074629410071,-2.26358477128939,-3.82978215789177,-2.05261190783953,1.61882513642151,-1.69760089895261,-1.53700518692853,-0.103669670062045,-2.41540964670479,-1.00481086310945,-0.867638075627901,-1.32717388282148,-0.394388955169511,-0.909370252554864,-1.33040784811946,0.0344972865338829,-2.16646187977887,-1.0257427337221,-1.68141555335018,-3.39758648191679,-1.39443760562029,-0.761458548264319,-2.53844997714924,-2.11944922657286,-1.70805287052087,-1.77399905183951,-0.56484220709241,-3.17091123004295,-0.992261169643138,-3.63216963786749,-3.15519509650776,-0.822706254131617,0.0334123926056904
-1.71717171717172,-0.0726037602448284,-0.590921934611909,-3.25625385312983,-0.983160188860694,-0.741710922898232,-3.02664975212373,-1.89097836066457,0.496236467578919,0.174589789731428,-0.334601940050419,-2.56051495623882,-1.95309004507016,-1.05709387885744,-0.898057944170956,-0.67414331580675,-3.52973759114467,-1.72066568493729,1.43367701885009,-2.04475587182823,0.451797211141625,0.0194549059854748,0.0447976000949677,0.194838199650985,0.28252301720425,-0.465069047171001,1.33198229913754,-2.67919133188788,-1.22353311079287,2.29303486086396,-2.64587835575117,-3.890957436068,-1.04585941481674,-1.84575235639129,-2.40887473920948,-2.37848439207783,-1.61842196710515,-2.23597552626218,-1.23583816739996,0.0252368641062446,-0.924831279349423,0.0216112483324091,-0.894837153829565,0.901176185676413,-3.5029052331691,-2.50946659261624,0.599261520448608,-0.404925118887434,-0.367313092413569,-2.04768361487363,-0.177284542920029,-1.3459514483357,-1.02170798818958,-1.0219163805514,-2.48717972010123,-0.836634555444654,-2.5942361878742,0.52176789156627,-1.59225953895805,-1.20035322291799,-1.37258790850191,-1.98563114561904,-0.504241061836125,-0.731307926756418,-1.07153106858434,1.76086085216929,-1.66117969215816,-2.20579758185156,-1.08759932422907,-2.16256749528124,-3.785105170017,-1.97769497678314,1.65978667141556,-1.69880831711409,-1.4837791757408,-0.0885134360981123,-2.37099363237976,-0.970135197020233,-0.818656041027776,-1.27860676638375,-0.342926465115414,-0.871223928916229,-1.29234777312777,0.0673433948944941,-2.15854238271595,-0.944685519258227,-1.63503450824469,-3.36648602243727,-1.35403016724934,-0.738910488935738,-2.4770139948612,-2.07683996547621,-1.64550428904625,-1.70436821376372,-0.521367760211419,-3.11604183851696,-0.894585848263436,-3.61029706708971,-3.10550467474134,-0.781185171504511,0.0685690589075207
-1.67676767676768,-0.0405430165686269,-0.550923847980852,-3.23784040000114,-0.925347496353146,-0.706046740485417,-2.96720882770693,-1.81001723080499,0.525902669996787,0.212792592478102,-0.29926424674865,-2.51681640286036,-1.90974339806295,-1.00563309918039,-0.858915550363485,-0.65783342809505,-3.46787227421717,-1.67975570002352,1.51997816727514,-2.00372556635315,0.436540887800819,0.0674334798006773,0.0636939010006215,0.232904280254335,0.31167715641804,-0.450625783853683,1.36098404631752,-2.62096333809656,-1.16171068781203,2.28029529070155,-2.60604168196896,-3.77052175055374,-1.00525553822446,-1.80770742355676,-2.36046376758066,-2.33821170569448,-1.58302238352174,-2.18701311051859,-1.19875392582719,0.0486258963147084,-0.8736996002912,0.0435563481518371,-0.849154428560449,0.89945376135809,-3.44415573006967,-2.52295616654353,0.636396885389532,-0.379012296533298,-0.322613033585631,-2.04320662961388,-0.148031556316565,-1.31918090084666,-1.01838042681635,-0.979529830371977,-2.43922116956299,-0.753942344306507,-2.55518708049581,0.590505038512443,-1.55898010342111,-1.15297552733375,-1.33399074049605,-1.94117505040517,-0.48118445485285,-0.689581314105285,-1.0205895439674,1.78154483506438,-1.62477691640157,-2.1666161516633,-1.04459128889112,-2.06622370066068,-3.74050103530697,-1.90291320720594,1.70060422514553,-1.69731424000038,-1.43061911512556,-0.0716920628939976,-2.32538472549764,-0.93542467788728,-0.769750424779717,-1.23030350473203,-0.292540803787876,-0.832001116275082,-1.25423895661142,0.100166812769658,-2.13994967276966,-0.869658167559351,-1.58876854496877,-3.3318638127672,-1.31361323013995,-0.715640956665483,-2.4151714931089,-2.03412712250661,-1.58401077671893,-1.63308748462148,-0.477978551243555,-3.06050220713207,-0.804032230810178,-3.5858677299166,-3.05609905238261,-0.739793611778249,0.103848190301272
-1.63636363636364,-0.00843887890638466,-0.506942074894108,-3.21162552124026,-0.858867199575577,-0.670323791658087,-2.91132472552851,-1.71962441553763,0.555582358040554,0.250449606916178,-0.263914449590375,-2.4733040998039,-1.86637798023079,-0.953488397963849,-0.819760061300784,-0.616922899583717,-3.40658751285181,-1.63883192515007,1.60586640064388,-1.96271853471788,0.41428140943253,0.115321648932398,0.0826618331648686,0.270980320079159,0.340763577226506,-0.438319552045405,1.39003850094741,-2.56379237129219,-1.10762350823405,2.26663673566582,-2.5661899689311,-3.65470230235787,-0.964618128793797,-1.76946629363207,-2.31134817369204,-2.29786166621754,-1.54761351577313,-2.13776397346016,-1.16163065257745,0.0720551797246744,-0.822848309285434,0.0605234438300512,-0.803647982431254,0.900339971215738,-3.38658524292696,-2.53422603161553,0.67346828412623,-0.349972162466274,-0.280330903053572,-2.03580582873166,-0.118716349844399,-1.29194029061275,-1.01921159214536,-0.937501111056666,-2.39172282142313,-0.668826936193649,-2.51334518831586,0.657598524882544,-1.52516401952381,-1.10595318355216,-1.29982748311286,-1.89673162415535,-0.457340639073363,-0.647837855362344,-0.967781028816976,1.80227826344788,-1.58808604914995,-2.12735380953916,-1.0017201157328,-1.97722744695806,-3.69596192925298,-1.82834805599204,1.74128315483893,-1.6928461597564,-1.37750676561433,-0.0528053915084737,-2.27885386641336,-0.900678310766587,-0.720917055294499,-1.1823132380105,-0.243183790090331,-0.791703508328823,-1.2160812177778,0.132968051052489,-2.11086385357416,-0.801063396598336,-1.54262603998513,-3.29367178918908,-1.27318775238997,-0.691685108254762,-2.3532634222186,-1.99130851640542,-1.52467694814024,-1.56134320537438,-0.434675188562272,-3.00442508860772,-0.719885632536698,-3.55896652879471,-3.00697133299447,-0.698530364214629,0.139249691491529
