"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-0.0142028624920894,-0.139511234286422,-3.11364088531906,-0.774648814176338,-0.562258925301067,-3.77405074449191,-2.05551733683341,0.101431721818433,0.128586616840733,-0.611841134038163,-2.37590492622714,-2.05272928561942,-1.98185034009824,-1.20414174332381,-0.161738143496768,-4.38240390414097,-1.76013106637988,1.08383742178984,-2.49541923066842,-0.0367736677951833,-0.0905428188409135,-0.549270146500195,0.00318193061634239,-0.130642491760388,-0.631134075243194,1.21158701620864,-3.07041736542215,-2.38920177590013,-0.401434317245523,-2.80579268359224,-2.18244931310575,-1.05566069822815,-2.24314792802108,-3.97168731307389,-2.31139635276362,-1.73807703451063,-2.4086659603997,-1.64298675518003,-0.789723994596469,-0.638565173835927,-1.06030093888021,-1.12264103780666,2.027032970241,-4.4141248819067,-3.00458390889447,-1.34615017838422,-1.17400803009145,-0.809533891809283,-2.10807685188573,-0.199320728462215,-1.67436686614394,-0.988593461547383,-1.21858609196949,-2.34460754520864,-1.26048135785837,-2.53512983829057,0.112232255718838,-2.03128135736511,-1.4047045276482,-2.0640101016974,-2.25668175350253,-0.820196861832018,-1.35235156678516,-1.04876918961818,0.791309991392097,-1.88289267824082,-2.63332952546316,-1.45471323605796,-2.83403341054151,-4.02858758520471,-1.30227113178021,NA,-1.97363656036475,-1.30503901045774,-0.503875414887689,-3.15693306502129,-1.22544239857297,-0.973396694739338,-1.82847405662584,-0.831930881122409,-1.98712042241745,-1.66782610876068,-0.285367279366996,-2.5713944928909,-1.10670235393531,-2.33181229054101,-3.24029522411359,-1.7352974171485,-1.10629068231454,-3.01072754020044,-2.31427916273054,-2.54532231639726,-2.11141052554387,-0.649405130262627,-3.49675770755845,-1.3967879208625,-4.24448490826296,-3.80997111986916,-1.29375254341122,-0.472009890198607
-1.95959595959596,0.012824914486176,-0.10895513911585,-3.11232491468514,-0.756028781817651,-0.531209493988739,-3.7069478039565,-2.01511492826123,0.135293047706255,0.159090116777976,-0.575499350825246,-2.34385293307593,-2.01524735598981,-1.94077289910275,-1.16421250800899,-0.131637862931715,-4.30610785853914,-1.7389988214438,1.15213402347381,-2.44600383061092,-0.0393767838508557,-0.0552153990353147,-0.523233579611328,0.0267227624502006,-0.100472953385016,-0.605136429348624,1.24026504675842,-3.02079257079314,-2.29091196935357,-0.37810190955093,-2.76728671149881,-2.13955730835771,-1.01539195594005,-2.20185185916133,-3.83116828673687,-2.27110501137551,-1.7070725669316,-2.35721654173602,-1.61591861375562,-0.742289370707855,-0.597755904905164,-1.00989395786863,-1.08438421050867,1.83540604153566,-4.35133000820628,-2.95878949708762,-1.2903720803165,-1.11862143376311,-0.772165383531916,-2.06950998771236,-0.146804573767936,-1.66056095059611,-0.960592226514097,-1.17217531020228,-2.30061116250013,-1.21605692867371,-2.50455769075039,0.14971843538563,-1.98873213372021,-1.35940507009608,-2.03457101400031,-2.21168850348615,-0.783042054185175,-1.31139041985672,-0.998154521045282,0.821739843934532,-1.88161986578354,-2.5983799364447,-1.40550134496385,-2.76974257682001,-3.98568071138381,-1.26680185187605,NA,-2.01361250198079,-1.26666803889096,-0.485159477379861,-3.10229332726751,-1.18915769965612,-0.92782160311037,-1.78477865147652,-0.796862385866238,-1.8743623621954,-1.63983906573072,-0.258169858621381,-2.55643624600519,-1.06120164807837,-2.28552141553601,-3.22071660523021,-1.69589997006497,-1.07048863138474,-2.96286188707756,-2.27605921449894,-2.48508906281836,-2.0696303588674,-0.608946108809612,-3.43781522893139,-1.3475713029788,-4.19719805831884,-3.75412973245151,-1.26900711910712,-0.474177630834697
-1.91919191919192,0.0398794976316248,-0.0785539112171522,-3.11287165009527,-0.739071070401522,-0.500156930454545,-3.64006253647101,-1.97476903873512,0.168946375681177,0.189460050790824,-0.539202124440068,-2.3119825523199,-1.97766586541282,-1.8997394390305,-1.12440525065255,-0.101402510697691,-4.23042266748996,-1.71897656271599,1.21909335107651,-2.39672045450371,-0.0410420108151423,-0.0199106397021914,-0.497127629650515,0.0507854558706761,-0.0703510758465154,-0.578865083677018,1.26894502775396,-2.96810761795106,-2.17667197879397,-0.356377710737291,-2.72877853092059,-2.09654926739952,-0.975146784125439,-2.16049712239089,-3.6945956758114,-2.23085263785321,-1.67606618893041,-2.30595349827535,-1.58922539481177,-0.695405776727505,-0.557193229201703,-0.959606045205339,-1.04615237788925,1.6684944058852,-4.28857519884029,-2.91106924075728,-1.23477401059704,-1.06370966261601,-0.734838660567078,-2.03089809421531,-0.0875060610686253,-1.64623177549865,-0.93248655918933,-1.12597339797507,-2.25657742838148,-1.16856996467995,-2.47322721922254,0.187129447289725,-1.94613555471858,-1.31469868709571,-1.98934725368847,-2.16668198050384,-0.745835173652033,-1.27032958410628,-0.94773325900024,0.852139445685194,-1.88128798987679,-2.56298882433638,-1.35661151034978,-2.7039657105403,-3.94286991506342,-1.23130335030004,NA,-2.05488986324925,-1.22832975126084,-0.465657499538374,-3.04663707413156,-1.15291401817148,-0.882270421695621,-1.74113312624112,-0.7608964411512,-1.75888746506464,-1.61192829179198,-0.230008376293006,-2.54543746841226,-1.01527261213712,-2.23926991255319,-3.19999688272976,-1.65645447508325,-1.03442529051884,-2.91434524442017,-2.23782883097753,-2.42556772967795,-2.02776677329729,-0.568568840336477,-3.37650391832106,-1.29868540604954,-4.14971953650076,-3.69828867859043,-1.24294234579116,-0.470557447645432
-1.87878787878788,0.0669608753418671,-0.0483114636070585,-3.1142024370058,-0.723037879963834,-0.469103676364558,-3.57356777604438,-1.93447540764838,0.202339225283641,0.219698795034582,-0.502951571097955,-2.28029199010359,-1.93998561846923,-1.85875090580247,-1.08471848024208,-0.0712311793779251,-4.15535679779514,-1.70008098376215,1.28360853396172,-2.34757085381405,-0.0414422185732213,0.0153716443999495,-0.470948385105023,0.075495664073838,-0.0402758131442769,-0.552323032430999,1.29762715069664,-2.91218277853125,-2.05456910319547,-0.335920504004494,-2.69026751378736,-2.05342578596258,-0.934925264592599,-2.11907512152647,-3.5620058177008,-2.19064116135783,-1.64504008524644,-2.25487457988264,-1.56267015466184,-0.649065401446488,-0.516867490636983,-0.909438397834383,-1.00794603813085,1.52446892388682,-4.22586097871965,-2.86380007444362,-1.17928735514184,-1.00919288038439,-0.697548990497975,-1.99224204730931,-0.021561607624852,-1.63133908579648,-0.904275868475726,-1.08004771892872,-2.21250351018726,-1.11768786250046,-2.44113798091099,0.22446948449007,-1.90349713261825,-1.27057748082813,-1.92868824866345,-2.12166204622092,-0.708575710133695,-1.22917296563515,-0.897915557909684,0.882507614356202,-1.88152807548318,-2.5271337789475,-1.30803794591578,-2.63727815351361,-3.9001492502569,-1.19577543664051,NA,-2.09673011299465,-1.19002454964174,-0.445327705465897,-2.98977273291777,-1.11671058416048,-0.836744333042487,-1.69753713307645,-0.723911001111449,-1.64281093953687,-1.58405749790477,-0.200737409293966,-2.53625670824409,-0.968962390784727,-2.19305709614699,-3.17787253556572,-1.61696136679082,-0.99811290646299,-2.86522334886324,-2.1995881115875,-2.3667456112375,-1.98581759429193,-0.52827166776929,-3.31324561574588,-1.25009250371798,-4.10205635318483,-3.64245573939896,-1.21459601177248,-0.4603648336372
-1.83838383838384,0.0940683433477224,-0.0182186224955123,-3.11507848374634,-0.706783314806722,-0.438052146281052,-3.50762207247987,-1.89422987652274,0.235410420544738,0.249808732699384,-0.46674430357069,-2.24877936777769,-1.90220742025746,-1.81780983574708,-1.04515049698549,-0.041316597901875,-4.08092305267907,-1.68229185163845,1.3463150964902,-2.29855711925629,-0.0402932740377372,0.0506323214421713,-0.444700249345894,0.100806452611143,-0.0102489488756645,-0.525510812940294,1.3263118340177,-2.85273965321388,-1.93180387645454,-0.316376947405168,-2.65175294553672,-2.01018623559756,-0.894727469621904,-2.07757484204219,-3.43380900864781,-2.15047251986041,-1.6139814780107,-2.20397353802133,-1.53602993176507,-0.603280776537526,-0.476784948556811,-0.859392340769469,-0.969765564524348,1.39993577091051,-4.16318863964184,-2.81985422668756,-1.12402067501616,-0.955058966567829,-0.660292882097722,-1.95354221889309,0.050747299563616,-1.61580564958668,-0.875961573420183,-1.03448236178235,-2.16838418747278,-1.06328205021817,-2.40824506977369,0.261740351405969,-1.86081831549855,-1.22698477528932,-1.85447387483226,-2.07662841568431,-0.671262200212384,-1.18792026533618,-0.849106920993291,0.912843190192293,-1.88194663977658,-2.49080908098407,-1.25977521004173,-2.57029349600538,-3.85751215664811,-1.16021750038306,NA,-2.13835160449139,-1.15175215198366,-0.424270101546534,-2.93166020127828,-1.08054663367293,-0.791241978338583,-1.65398983084536,-0.685756095646577,-1.5281100367596,-1.55620284751389,-0.170109064425524,-2.52655675918886,-0.922313002402842,-2.14688358501723,-3.15405757890016,-1.5774207724743,-0.96156420957572,-2.81553497119973,-2.16133717947792,-2.30861950847205,-1.94378302497307,-0.48805342805552,-3.24841557598182,-1.20181390059095,-4.05421582762223,-3.58663894749137,-1.18282770439893,-0.443492090725629
-1.7979797979798,0.12120057141994,0.0117144787115793,-3.11409973013808,-0.689124545966361,-0.407004726302035,-3.44239112437451,-1.85402838951739,0.268109009932963,0.279792252806982,-0.430580572746405,-2.21744272352116,-1.86432990727883,-1.7769180639785,-1.00570042007862,-0.0117418116931437,-4.00713584589497,-1.66527447186047,1.40722317838173,-2.24968126382918,-0.0373683872574653,0.0858711405131161,-0.418381601983876,0.126760690092338,0.0197312521117378,-0.498426323054324,1.35499915992722,-2.79020191236578,-1.81392897918063,-0.297284013290773,-2.61323402676432,-1.96683456812889,-0.854553462099401,-2.03599232549448,-3.31002051535535,-2.11034957063176,-1.58287487045884,-2.15326162710836,-1.50908749376331,-0.558063632928498,-0.436950140790012,-0.809471329299626,-0.931610535064428,1.29336562018593,-4.10055846432989,-2.78190515682881,-1.06892180471164,-0.901300865035732,-0.623066802702571,-1.91479959428678,0.128614853825466,-1.59961563499863,-0.84754812194567,-0.98933939707156,-2.12421853842214,-1.00587732191327,-2.37458109709222,0.298949700505073,-1.81810295266419,-1.18389373710602,-1.7706586235498,-2.03158155284224,-0.633893494253798,-1.14657732661054,-0.801970343731425,0.943145036907042,-1.88211383767263,-2.45393819532041,-1.21181818992809,-2.50359271836811,-3.81495281802545,-1.12462891513358,1.71974231106395,-2.17885133544723,-1.11351317819328,-0.40246442973685,-2.87237567800705,-1.04442140894757,-0.745764161653115,-1.61049191586742,-0.646287664054614,-1.41668937028441,-1.52833541510112,-0.137914422086193,-2.51381683800884,-0.875403461003672,-2.10075043379626,-3.12825387013661,-1.53783508082449,-0.924777053914604,-2.76532485269829,-2.1230761486731,-2.2511826065247,-1.90166496051598,-0.447912948699052,-3.1823950602212,-1.15390247604542,-4.00620130300533,-3.53084656878835,-1.14711353020424,-0.420117449898555
-1.75757575757576,0.148356914332076,0.041500248976967,-3.10949022631633,-0.668756469646547,-0.375963970767703,-3.37811293757977,-1.81386699387433,0.300369283485496,0.309651749007121,-0.394460891134554,-2.18628072606825,-1.82635554637703,-1.73607537552524,-0.966366156312482,0.0173715381060055,-3.93399016789481,-1.64849692038125,1.46659736919557,-2.20094522242813,-0.0322160036027926,0.121089394262659,-0.39199400260886,0.153296675617394,0.04966257237435,-0.471056992121286,1.3836895186044,-2.72486539522131,-1.70465922386786,-0.27809164611656,-2.57471027764819,-1.9233712699246,-0.814403295661458,-1.99431913685305,-3.19073068164046,-2.07027390529875,-1.55170553514803,-2.10272827662249,-1.48159668941783,-0.51341642848014,-0.397374965721328,-0.759675909937387,-0.893481107307082,1.2044986433324,-4.03797074240684,-2.75206184839032,-1.01398049666637,-0.84791088589932,-0.585867181562688,-1.87601558317371,0.21103849449159,-1.58268354298575,-0.819037139477081,-0.944672653217662,-2.07999940029085,-0.946037660289467,-2.34015678088519,0.33610179228807,-1.77535438729695,-1.14128181410876,-1.68329368229213,-1.98652149747332,-0.59647066401908,-1.10514929626713,-0.756658424894487,0.973412042610994,-1.88160565591936,-2.4165976751193,-1.16416208588466,-2.43784884596115,-3.77246563570398,-1.08901039054824,1.75960889637743,-2.21708671326748,-1.07530826988708,-0.379815239180001,-2.81201431032481,-1.00833415859317,-0.700310570132678,-1.56704141924242,-0.605382819237331,-1.30983935106445,-1.50042589717761,-0.104050858087746,-2.49503119431719,-0.82827427578754,-2.05465936176935,-3.10019225786715,-1.49820461894772,-0.887762976853361,-2.71463014713446,-2.08480532811298,-2.19441599586003,-1.8594598178761,-0.407849048436583,-3.11553120992979,-1.10633034961403,-3.95802316095629,-3.47508708305141,-1.10690883802577,-0.389536075919827
-1.71717171717172,0.17553752857025,0.0711321349826737,-3.09965407416772,-0.644539138649338,-0.344932126518391,-3.31491772652644,-1.77374211084023,0.332161412626704,0.339389618374306,-0.358382631442131,-2.15529539641996,-1.78828569547989,-1.69528318466696,-0.927144215648652,0.0460463657070462,-3.86149200777405,-1.63117028981898,1.52427405548879,-2.1523508515053,-0.0247566536746127,0.156286429686974,-0.365538731073847,0.180459901138145,0.0795474289863915,-0.443414387305527,1.4123830566817,-2.65775930113265,-1.60624313557705,-0.258248798499765,-2.5361806191735,-1.87979446959304,-0.774277014849981,-1.95254517712565,-3.07610692531096,-2.03024703164191,-1.52045756589579,-2.0523717041875,-1.45335547668569,-0.469333104701866,-0.358051490918604,-0.710006891890432,-0.855378130071229,1.13038611512062,-3.97542619682281,-2.73114371812124,-0.959201063158848,-0.79485480361101,-0.548691161657341,-1.83719112749241,0.296699662429857,-1.56499112483363,-0.790427874473595,-0.900543981881018,-2.0357272582412,-0.884533727540139,-2.30498653857053,0.373200820719148,-1.73257449355102,-1.09913395286491,-1.59768125423885,-1.94144830179856,-0.558993227064444,-1.06363692380942,-0.713569004170087,1.00364312073028,-1.87987836354992,-2.37874861492718,-1.11680724046584,-2.37374128857011,-3.73004522442531,-1.05336177756546,1.80001473308575,-2.25168576173566,-1.03713943214908,-0.356225629834792,-2.75070812626105,-0.972284137769801,-0.6548806828841,-1.5236400494548,-0.562908522579027,-1.20846396202328,-1.47244890680584,-0.0684128350816523,-2.46750542320557,-0.78098087592188,-2.00860941123684,-3.06963339034337,-1.45852890591458,-0.85053356680653,-2.66348635187825,-2.04652498242662,-2.13829749771224,-1.81717279563007,-0.367860537921912,-3.04812305190735,-1.05911681489173,-3.90969198579134,-3.41936973678644,-1.06233786018114,-0.350053032216826
-1.67676767676768,0.202741334694501,0.10061609749205,-3.08290652564625,-0.615783340084184,-0.313911472089194,-3.25296298904769,-1.73364983236544,0.363437363213689,0.36900805678313,-0.32234661446558,-2.124479536318,-1.75012115500248,-1.65454547333689,-0.888032045020582,0.0741276211753349,-3.78964669210451,-1.61252443982638,1.5800975869419,-2.10389992877681,-0.0146011735354368,0.191463927649305,-0.339014616940799,0.208193448051463,0.109383175641281,-0.415497225812232,1.44108001506718,-2.58990853867144,-1.52020759614797,-0.237219760976402,-2.49764472890781,-1.83611362717562,-0.734174655278383,-1.91065792651741,-2.96592539813433,-1.99027090378921,-1.48911557639629,-2.00219056011556,-1.4241910331761,-0.425837532437644,-0.318982719278867,-0.66046609467721,-0.817301374764544,1.07011179487157,-3.91292561998018,-2.71834397383319,-0.904550234381415,-0.742152093538436,-0.511534112539897,-1.79832718572337,0.384079213824486,-1.54647278716997,-0.761721901615954,-0.857005231085965,-1.99139555474475,-0.822273505717544,-2.26908839878348,0.410250909742465,-1.68976773181913,-1.05740566672543,-1.51792410388371,-1.89636176838015,-0.521460473378448,-1.02203778374396,-0.672531515609945,1.0338372109144,-1.87650812980941,-2.34035308740847,-1.06974873562407,-2.31190718747073,-3.6876864082143,-1.01768293781181,1.84029911659165,-2.28101133025997,-0.999006991349128,-0.331489353669483,-2.6888764387542,-0.936270608369851,-0.609475579600887,-1.48028475034716,-0.518855687889227,-1.11305635886777,-1.44436637303991,-0.0309346116052755,-2.4289446256373,-0.733574266845693,-1.96260113985673,-3.03632330489968,-1.41880366820226,-0.813086872148503,-2.61193707944189,-2.00823541884781,-2.08280547415985,-1.77479877665259,-0.327946939326354,-2.9804391958885,-1.01231007395887,-3.86121621973467,-3.36370415103453,-1.01357455808628,-0.299171744590863
-1.63636363636364,0.229967315034359,0.129952229253391,-3.05752154737651,-0.582239010807601,-0.282904264803572,-3.1924720875351,-1.69358631276103,0.394171481517188,0.398508589023336,-0.286351869522395,-2.09383086131435,-1.71186220453682,-1.61386070923806,-0.849026882871667,0.101594665413669,-3.71845886337839,-1.59165961307245,1.63468871586166,-2.05559415297584,-0.00176798726575317,0.226620867212478,-0.312425715210109,0.236514060806167,0.139172895504618,-0.387299036998403,1.46978068685022,-2.52256859629341,-1.44671490934087,-0.21449457525982,-2.45910166428094,-1.79230709912928,-0.694096243807842,-1.86865492668917,-2.86032871472864,-1.95034747484,-1.45766041720361,-1.95218368030792,-1.39385875318645,-0.382928771813771,-0.28017583130457,-0.611055449976733,-0.779250744325392,1.02408844709965,-3.85046988227849,-2.71129853132334,-0.850043587570514,-0.689777587875684,-0.474392343439711,-1.75942473298901,0.471414301347436,-1.52709083892932,-0.732923171126681,-0.814095851671772,-1.9470033667768,-0.760265293647927,-2.23245777304972,0.447255808286209,-1.64693595721732,-1.01607169793891,-1.44601286536347,-1.85126193936093,-0.483869774124528,-0.980369319297088,-0.633188518877989,1.06399312978303,-1.87107800717351,-2.30142783313501,-1.02297825598479,-2.25298886092345,-3.64538421619468,-0.981973743875825,1.88075558666953,-2.30315159993647,-0.960910778165563,-0.305388238722874,-2.62688694944367,-0.900292839198633,-0.564093877416313,-1.43697820423504,-0.473240847982795,-1.02374055459269,-1.41614560399786,0.00845706714533436,-2.37743662665883,-0.686100466801074,-1.9166354391545,-3.00017446637105,-1.37903123651959,-0.775433747711398,-2.56001411722934,-1.96993698775578,-2.0279041554836,-1.73234279848873,-0.288107723081542,-2.91277650505744,-0.965896341434375,-3.81260454294475,-3.30809850174933,-0.960878358234694,-0.235454988105027
