"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-0.962524917811168,-1.0826105368609,-3.60533118743664,-1.47781391730505,-1.37777169695048,-3.85578018557796,-2.44303913513051,-0.292028296701166,-0.805526765352403,-0.557092324510925,-2.98719706925704,-2.31985137991981,-0.793882751226306,-1.09188702635534,-0.502838507336325,-4.35264174161492,-2.30431593095703,2.37915266082256,-2.87874351233401,-0.846341643724052,-0.298062259680538,-0.892111950850039,0.616015666325061,-1.15127438532418,-1.00392237871442,0.585883748761383,-3.4347698482934,-1.877458577736,-1.21400456950609,-3.39100443310441,-3.06210460381954,-1.31756938975333,-2.59882353093515,-2.47076634874734,-2.6125783096044,-1.70812015050418,-2.53162314920695,-0.18083402764502,-1.22700274189904,0.225292465413524,-0.128651045734291,-1.36945988533947,-0.497206939755801,-4.44601637617256,-2.94082969426175,0.00245451776617802,-1.32652268360921,-1.13453781628751,-2.65047512161892,-1.06882170843309,-1.55276494615214,-1.45960348667274,-1.32826205059034,-3.13547849183501,-2.08871537960326,-3.18578754207819,0.347453414783679,-1.81767405268441,-1.51778955615107,-1.85450527569471,-2.54334510209662,-1.30819765268516,-1.2005041840341,-0.56038278422731,-0.225432176417255,-2.0666586863468,-2.91989154661385,-1.80791293459072,-3.14432542418948,-3.94594780033963,-1.5832933312595,NA,-2.10828313823986,-2.07434142987277,-0.977086842688849,-3.07987703628001,-2.00279383083429,-0.929623740975359,-1.8838732740315,-0.943290770052445,-1.51339059757939,-1.85081993214401,-0.341529389436434,-2.30939000321128,-1.29365538003529,-2.30511979243351,-3.39674164580672,-2.24840620443047,-1.1666653033085,-2.96934918272477,-2.79131304901691,-2.50659945324509,-2.184817143012,-0.50343610239381,-3.05313168685109,-1.46145517038813,-4.40352365793753,-4.20144894113152,-1.1204802648825,-0.617026909470326
-1.95959595959596,-0.931990049840502,-1.0585429060872,-3.53402773111248,-1.45606586127406,-1.34296187812147,-3.80220169636397,-2.39062114149087,-0.252704443183799,-0.737846101381862,-0.522581207606183,-2.94955875620971,-2.25736435843368,-0.822241310181702,-1.05948986142507,-0.46377020919955,-4.28620552421915,-2.24875542026198,2.3343459933741,-2.84461586149248,-0.802720812920159,-0.263088145600472,-0.866669321286328,0.609491985776024,-1.10751859984702,-0.970072428756062,0.619596812927998,-3.37804048235357,-1.77278580468451,-1.161914188494,-3.34046940489047,-2.98331491253962,-1.27823923125837,-2.55678998963623,-2.4434876963965,-2.57183324974851,-1.68389116964753,-2.46594638007911,-0.431087320342687,-1.19882210039617,-0.0691435934693125,-0.107117601404996,-1.3382471083939,-0.441406479041675,-4.3943115808071,-2.92240377009583,0.0358529735864541,-1.27482896882059,-1.08475869975117,-2.59133822793118,-1.03397822147289,-1.539413991157,-1.41988920557635,-1.29144433283289,-3.06865108539878,-2.03333362774925,-3.15574013576706,0.389106708237994,-1.80203743945909,-1.48830148084049,-1.81352825798504,-2.47999985029489,-1.28157909691811,-1.18429740149587,-0.509180448128559,-0.191530107969907,-2.01321004051381,-2.87756699202297,-1.76170352837578,-3.06575058751885,-3.90226840004469,-1.57822137807644,NA,-2.09090068817118,-2.01430266562827,-0.947959570163317,-3.0408973745888,-1.94131130418116,-0.882722900720144,-1.8475691028858,-0.9012063022768,-1.48457956660437,-1.81060035299808,-0.323249200184456,-2.29211576299969,-1.24244052179068,-2.25654905550037,-3.35396758611879,-2.14884731214036,-1.13299218900304,-2.94538234248723,-2.74046220305907,-2.45010605326349,-2.15506712821287,-0.464913569324852,-3.02085829924626,-1.39943005757958,-4.35355608704852,-4.13171017324067,-1.08387999555027,-0.580810384347195
-1.91919191919192,-0.900779161158847,-1.03464380112512,-3.46363461738044,-1.43322280757544,-1.30737253276974,-3.7470323996419,-2.33838338683428,-0.213364617056383,-0.672242694004168,-0.488000777369055,-2.91138887066088,-2.19955991718309,-0.846670274565194,-1.02566553808803,-0.422343869605896,-4.21948017714429,-2.1964543822776,2.29753397248134,-2.80701491734082,-0.758708634114288,-0.228918206652467,-0.840351420361765,0.604239003785805,-1.06368411613743,-0.935798463242224,0.655890009014481,-3.32138065322221,-1.67798932495329,-1.10988687426825,-3.2820631682944,-2.90505951621939,-1.24196851427706,-2.51403058818595,-2.41421669392977,-2.5302963036297,-1.6593634014556,-2.40165709725199,-0.633393622162978,-1.17128101193971,-0.308527143870339,-0.0871965342579943,-1.30665344752372,-0.383226178494991,-4.34053534735821,-2.8993922783002,0.0693681097617475,-1.2282236683684,-1.0354505623976,-2.53237616021313,-0.997685112224178,-1.52226435589319,-1.38007864538328,-1.25409348437817,-3.00690609450495,-1.97679429953778,-3.12508236581255,0.431247367406459,-1.78316900106789,-1.45384194825388,-1.77247214693917,-2.41760441137931,-1.25441992748444,-1.16584182164936,-0.460729091589896,-0.157300656595403,-1.96283585891113,-2.83488924093038,-1.71549437235506,-2.98889801692742,-3.85908522539832,-1.56705868961951,NA,-2.0717198362743,-1.95540205451369,-0.917348963579317,-2.99878448735176,-1.88023522372613,-0.835852532557023,-1.80899169325449,-0.858966278953111,-1.45297937068933,-1.77009377587399,-0.303734469429269,-2.27656226506504,-1.19140291623325,-2.20820306547858,-3.31142429718912,-2.05343537628303,-1.09885492717265,-2.92139559646524,-2.68284253269035,-2.39593318748738,-2.12474057140799,-0.426520334153095,-2.98664046755803,-1.33008319138794,-4.30258552748818,-4.06232854267302,-1.04723426492376,-0.54436663565124
-1.87878787878788,-0.868889505011088,-1.0104264463857,-3.39422991597518,-1.40896418848228,-1.27141926921034,-3.69009961325851,-2.28632437545562,-0.174010890926892,-0.608621509193131,-0.453349492034062,-2.87268258178262,-2.14691070649974,-0.867208734656585,-0.990520453422344,-0.378876220353158,-4.15231688329585,-2.14690241640705,2.26809570541825,-2.76595472798588,-0.714344656384992,-0.195293967638043,-0.813141884511822,0.600349514775277,-1.01977778011829,-0.9011017708593,0.693741641272776,-3.26479235876739,-1.5928870112978,-1.05793234006849,-3.21704366796197,-2.82856185440487,-1.2084784204317,-2.47057230406826,-2.38319935388156,-2.48794403814306,-1.63462736983806,-2.33892264651582,-0.792058181579894,-1.14395281373714,-0.495246167359018,-0.0691223037632424,-1.2746751201315,-0.322525834971611,-4.28435208112164,-2.87181245747495,0.102988443115299,-1.18591075366728,-0.986438798202365,-2.47359743151698,-0.959548298042172,-1.50056802670291,-1.3401705741486,-1.21627973939628,-2.94962682316751,-1.91880515060557,-3.09368402429689,0.473742111077027,-1.76121130213061,-1.41453111098018,-1.73134124256719,-2.35680886230205,-1.22638945554148,-1.14508616979871,-0.415171024551602,-0.122756741665138,-1.91557229284291,-2.79187516636438,-1.66928601415242,-2.91370734155733,-3.81604428514128,-1.54992628947436,NA,-2.05082226397424,-1.89752547651383,-0.885173024289033,-2.95302870973775,-1.81956568851806,-0.789015357810899,-1.7682500127672,-0.816344455997891,-1.41852464112415,-1.7293029184109,-0.283200634197531,-2.26205346182294,-1.14133356686709,-2.16007265040668,-3.26915858901562,-1.96219021286287,-1.06427835550385,-2.89687712560144,-2.61976948733288,-2.34439869946652,-2.09365181275736,-0.388260383150299,-2.95055858473637,-1.2547207078229,-4.25062460339499,-3.99327466600462,-1.01054438943603,-0.507701728814648
-1.83838383838384,-0.836315926623531,-0.984814535707002,-3.32583284465247,-1.38294726649973,-1.23564994734612,-3.63140131369097,-2.23444261542871,-0.134633579324799,-0.546946480635933,-0.418634125631204,-2.83343727181278,-2.09928977177812,-0.88401168496674,-0.954157911248371,-0.333828556468105,-4.08465733118464,-2.09975873359323,2.24572629403851,-2.72144093548696,-0.669621835465536,-0.161919571429996,-0.785127525014796,0.597912332693608,-0.975801838881677,-0.866001936965183,0.732402064079058,-3.20829161779243,-1.51726500855387,-1.00606215566578,-3.14643914101699,-2.75524711613207,-1.17722492289503,-2.42648814386813,-2.35050193871697,-2.44470191822892,-1.60973303228615,-2.27784239948153,-0.909952823406395,-1.11641646192003,-0.631718601627453,-0.0530513661514581,-1.24235460191465,-0.259516068484393,-4.22557309668669,-2.83980093207036,0.136736753836089,-1.14635679152628,-0.937616289368103,-2.41500762460771,-0.919079453416281,-1.47345567073266,-1.30016561287431,-1.17805461435333,-2.89634962532416,-1.85921814246341,-3.06111327730061,0.516393150324232,-1.7361701498755,-1.37100201574225,-1.69013482248689,-2.29821422963253,-1.19726076745835,-1.12200458635425,-0.372613413060307,-0.087901891455949,-1.8715853541694,-2.74852876967572,-1.62307899854746,-2.84045422355246,-3.77283361347231,-1.52702402979834,NA,-2.02828008004596,-1.84055457780219,-0.851473645919444,-2.90356301870639,-1.75929369532324,-0.742210739735074,-1.72571167981539,-0.773327241720758,-1.3811810997015,-1.68822622800695,-0.261840569683669,-2.24787602969108,-1.09295077498693,-2.11215897690851,-3.22716163958704,-1.87494163953791,-1.02928450631362,-2.87079802515644,-2.55268607102962,-2.2954383739712,-2.06153645817419,-0.350148303869874,-2.91271227294146,-1.17471373635862,-4.19769375934564,-3.92452541281694,-0.973808492298263,-0.470815126064841
-1.7979797979798,-0.803134399419473,-0.955546117728888,-3.2584675351831,-1.35481087688131,-1.2003064976089,-3.57096024832404,-2.18273661949813,-0.095236602910874,-0.487043410996668,-0.38385590251353,-2.79365249731652,-2.05604648527386,-0.897119305722284,-0.916633444739679,-0.287511399528063,-4.01648620503818,-2.05426819171709,2.22929241556419,-2.6734989838653,-0.624601374241752,-0.128565380498162,-0.756317748170424,0.596896231730897,-0.931763401913729,-0.830503127229733,0.771114862914404,-3.15187088267468,-1.44998108912361,-0.954280959397768,-3.07130017429293,-2.68590712314602,-1.14739166393223,-2.38179579189246,-2.31628736087819,-2.40050099573244,-1.58473536072873,-2.21866824651981,-0.994185570816846,-1.08825783812994,-0.7229418701338,-0.0389685068194553,-1.20972581248512,-0.194336139726655,-4.16433720334651,-2.80373231892105,0.170605973567528,-1.10779546121536,-0.888892743315986,-2.35661332513364,-0.87590423225852,-1.4407706514529,-1.26006726585607,-1.13948075745033,-2.84628478913378,-1.79823491966056,-3.02691748264597,0.559089966261249,-1.70843643592568,-1.32375720547566,-1.64884995447041,-2.24198273511896,-1.16671883624285,-1.09681181120103,-0.333176789077994,-0.0527438439233591,-1.83084028371973,-2.70483530926397,-1.57687386701679,-2.76943149887003,-3.72934172271642,-1.49861510111657,1.79289159105531,-2.00417226857167,-1.78440262000795,-0.816202431988815,-2.85062480512403,-1.69942488569067,-0.695440975326883,-1.68183987326179,-0.729656589253055,-1.34088545380262,-1.64686238245085,-0.239688469044381,-2.23313287543786,-1.04674324946966,-2.06446350872758,-3.18534836779238,-1.79137302535184,-0.993877959623758,-2.84150444055353,-2.48278065774114,-2.24847781093771,-2.02797727263878,-0.312199784934173,-2.8732030258728,-1.09173247502667,-4.14379932661644,-3.85605236778141,-0.937029349837735,-0.433718421838096
-1.75757575757576,-0.769322706188639,-0.920171720867255,-3.19218490636533,-1.32435600441095,-1.16539391987346,-3.50879379290551,-2.13120490595358,-0.0558143542122837,-0.428752882050877,-0.349015768584214,-2.75332769934601,-2.015868624998,-0.906865861956511,-0.87807568534369,-0.240289441183278,-3.94792234480592,-2.01007678507355,2.21810181971036,-2.62212500333357,-0.579279755728447,-0.0949477437174301,-0.726758737758921,0.597090538176127,-0.887664073917925,-0.794592339005716,0.809164634965922,-3.0955350918419,-1.39011472188039,-0.902586302515741,-2.99293467156843,-2.62085512080469,-1.11789610845064,-2.33655373892601,-2.28067577558014,-2.35529980058917,-1.55967770470869,-2.16145005283616,-1.04826043095882,-1.05909504888218,-0.774546802785908,-0.0266519454257729,-1.1767925259151,-0.127051914458009,-4.10104051185769,-2.76403411085819,0.204618703798229,-1.06824425108466,-0.84019141977796,-2.29841633607415,-0.829671068515814,-1.40189606254555,-1.21987644353412,-1.10065532071028,-2.79901131875387,-1.73616380935663,-2.9905066875631,0.601560560473169,-1.67851128522116,-1.27334649828918,-1.60749074991991,-2.18799678707549,-1.13459122640452,-1.06986075737537,-0.296168372841809,-0.0172818147312506,-1.79306519464104,-2.66080994981941,-1.53067115728048,-2.70121210692969,-3.68569643817636,-1.46531776790107,1.82450890734055,-1.97856729540951,-1.7289674173711,-0.779369401156797,-2.79440227607816,-1.63995355559468,-0.6487068664128,-1.63711806587024,-0.685203519178486,-1.29781484191429,-1.60521298693004,-0.216511042934899,-2.21668191888317,-1.00296652803338,-2.01695745835431,-3.14353902637364,-1.71125617880256,-0.958083577580284,-2.80689601662105,-2.41104238552672,-2.20244619712348,-1.99219784606673,-0.274445264238162,-2.83214297122519,-1.00804055346517,-4.08899505807677,-3.78782282899515,-0.900205309752466,-0.396418550592166
-1.71717171717172,-0.734900587120961,-0.875735630778309,-3.12690657282961,-1.29135167391043,-1.13077386785205,-3.44524068673958,-2.07984742581672,-0.0163645911890114,-0.372071069835399,-0.314119006151814,-2.71245373277271,-1.97732171029012,-0.913412017541633,-0.838596984204787,-0.192430278861142,-3.87907050919082,-1.96665599790773,2.21151226448693,-2.56735963917046,-0.533695030951111,-0.0608340458331285,-0.696490765463932,0.598429633648183,-0.843511041039907,-0.75831782367624,0.845843462349988,-3.03927948739503,-1.33682077124811,-0.85095855799241,-2.91226666104379,-2.56006940553635,-1.08765355121943,-2.29080310446174,-2.2437386219443,-2.30906565726191,-1.53466270693438,-2.10612590925001,-1.07807141131106,-1.02853133018223,-0.798025762478798,-0.0157780402906474,-1.14344960111587,-0.0580521946585067,-4.03618558216412,-2.72118678723883,0.238735842621132,-1.02585145547202,-0.791440092379372,-2.24042246953557,-0.780240091916097,-1.35681605276503,-1.17959191727384,-1.06169539366134,-2.75376522537119,-1.67342323939978,-2.95121168308406,0.643719230655261,-1.64693709255418,-1.22027310143683,-1.56605514547197,-2.13589188110011,-1.10057187649537,-1.0415038167125,-0.261334140909214,0.0184714017672998,-1.75806056982155,-2.6164627647215,-1.48447146061558,-2.63637218286201,-3.64223779351427,-1.42762436891555,1.8562630824452,-1.95152842571734,-1.67417532834074,-0.740982133142828,-2.73510860532329,-1.58087677299617,-0.602008842133286,-1.59184227527199,-0.639821814207011,-1.25212604003742,-1.563265484442,-0.191743577020763,-2.19733300092233,-0.961539534920649,-1.96963146521299,-3.10150098487125,-1.63439170315489,-0.92192439251897,-2.76538723928657,-2.33820487602152,-2.15604630458686,-1.95347969511837,-0.236872691832365,-2.78963203498718,-0.924978197156184,-4.03335513634557,-3.71980663316479,-0.863337897262677,-0.35892116549324
-1.67676767676768,-0.699868858218831,-0.821359729497632,-3.06258028767221,-1.25595930579258,-1.09578234299512,-3.38065887762441,-2.02866224087845,0.0231123704366091,-0.316845801939712,-0.2791661235334,-2.67105199925769,-1.93903431553187,-0.916755583686636,-0.798308522566622,-0.14423937443599,-3.81001989852547,-1.92370640525681,2.20896195471892,-2.50932357094007,-0.487856616350931,-0.026055837354069,-0.665521808418563,0.600689067965553,-0.799305451951753,-0.721644944964358,0.880569507703776,-2.98310712418569,-1.28937383966659,-0.799395754956021,-2.83059763238701,-2.5027097596383,-1.05589593697154,-2.24455790647714,-2.20563041889205,-2.26176762787078,-1.50979641394352,-2.05243018921718,-1.08856699805157,-0.996194619002913,-0.802031108404351,-0.00600015480142912,-1.10946877333826,0.0124144288207984,-3.9703340446485,-2.6757648931533,0.272966225157713,-0.978785817843563,-0.742605489004406,-2.18263716388051,-0.72752830278875,-1.30520178068835,-1.13921652465302,-1.0227771802383,-2.7101568622749,-1.61048895712148,-2.9083738656805,0.685514808891856,-1.6143318563044,-1.16526703822487,-1.52454299615011,-2.08529155129231,-1.0645327267068,-1.01218019059403,-0.228123634255543,0.054518638149178,-1.7253182753683,-2.57177741101837,-1.43827532334091,-2.57542946024301,-3.59943232031726,-1.38609284852677,1.88806789910844,-1.92312530807392,-1.61995852960778,-0.701027941691057,-2.67361529244153,-1.52219168000846,-0.555349876981885,-1.54621579664211,-0.593460995605944,-1.20399859917328,-1.52102880332812,-0.164511197044615,-2.17384659549836,-0.922209439605178,-1.9224743904889,-3.05891331811949,-1.56074810239513,-0.885400507664275,-2.71632835992652,-2.26498830211893,-2.10820126146952,-1.91073513523187,-0.199514272348921,-2.745777198833,-0.843509823878748,-3.97693103875636,-3.65197129390712,-0.826427386701158,-0.321231812888675
-1.63636363636364,-0.664267724448282,-0.75816476049774,-2.99914094676652,-1.21844399931805,-1.05973860301967,-3.31554714673607,-1.97764689520757,0.0626236236087446,-0.262961254737572,-0.244160059510249,-2.629130444824,-1.89985244242593,-0.917267016414537,-0.757325741140787,-0.0959661731022377,-3.7408782289486,-1.88100587139547,2.20983547949735,-2.44824028523302,-0.441804101765091,0.00960141748389552,-0.633912217435129,0.603744098345509,-0.755054399200997,-0.684591903492248,0.912785587103372,-2.92700395820633,-1.24691715383438,-0.747917553633594,-2.74895781864155,-2.44808266636845,-1.02243830709326,-2.19787681871558,-2.16638811554691,-2.21338648698789,-1.48519320430924,-1.99983540757585,-1.08394501702832,-0.961784332154152,-0.792992824449254,0.00303939810705866,-1.07451874991979,0.0839715803655607,-3.90402385126447,-2.62832328069966,0.307308227823338,-0.925162788015618,-0.693709767357637,-2.12506476439262,-0.671620260886976,-1.24700125460434,-1.09875004509459,-0.984088163222438,-2.66766820065699,-1.54781469858479,-2.86131974449566,0.726844450023211,-1.58103183049068,-1.108871209414,-1.48295731873779,-2.03589837194379,-1.02630657349846,-0.982373855526936,-0.196060678696679,0.0908509706698167,-1.6942730648066,-2.52677242934075,-1.39208322458567,-2.51881596081949,-3.55773276943443,-1.3412734018027,1.91992730454279,-1.89342431616258,-1.56620108939064,-0.659571268810779,-2.61053176031556,-1.46389127446379,-0.508729068837118,-1.50026660240265,-0.546161546611586,-1.15365023954021,-1.4785066133277,-0.13356910183681,-2.14485476793642,-0.884556197225964,-1.875470811453,-3.01544049950357,-1.48986379279234,-0.848531059640372,-2.66042057917146,-2.19223202770557,-2.05839930018286,-1.86370234989314,-0.16237279237177,-2.70065711186912,-0.763879552696632,-3.91979071185501,-3.58428322124082,-0.789473169206278,-0.283355873139011
