"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,0.410374552582761,-1.6297708314316,-2.99002978449258,-1.15635551321159,-1.07729577001484,-1.50112728138209,-3.40152606443888,0.69332357704051,-0.81033341896332,-1.55004929770525,-1.82737607220236,-2.44847241281147,-1.45357907477164,-1.59241916208753,-2.76598710809576,-2.0858169670901,-2.26615017615499,-1.54095007986982,-1.71563989308239,-2.63011271004452,-2.15865838531273,-1.74677991406458,-1.96714415463916,-1.91898305486044,-1.04089867773022,-1.56708670735687,-1.77327219039028,-2.09067271885461,-0.121369210862067,-1.81710711541686,-0.973902965088655,-2.48422040369192,-3.10369541174859,-1.99011283425643,-2.21834735544858,-0.926975516177725,-1.9515856524721,0.101528236439568,-1.82351527849466,-1.61938831188602,-1.68448033038345,-0.414159602513086,-1.72005159270423,-3.12518245599906,-2.61462133958447,-1.47200246017183,-1.08699798633713,-2.86346415925855,-0.730229248778306,-1.97661503416531,-3.40948562392556,-1.9663280120259,-1.05154239816774,-0.891132041118432,-1.58940826924089,-2.4728799384417,-1.9683147196991,-2.50798537260033,-3.04653394752036,-1.771949497296,-0.349440458475076,-3.01969978392684,-0.185982557892331,-2.36966820015914,-3.41044895601367,-1.82484505625797,-1.52990658950057,-0.868425500242801,-2.79586943758675,-1.46348594424133,-0.956962360180432,-0.23488526291803,-2.30788932517787,-3.13771018366339,-1.35609045048222,-1.07905179267095,-4.15923643223674,-2.10724904851674,-1.91656155595094,-2.44551535409744,-2.38349879322598,-2.42145436408786,-2.5686430817172,-0.813645614060501,-2.76409005048682,-1.22664717593148,-2.52915572764295,-1.43557964111444,-1.67146644203589,-1.86095202473636,-3.27867905914674,-1.04042074087848,-1.96373215909771,-3.80711149409289,0.0480113822461473,-2.35245985904896,-1.72420033730648,-1.23628365149494,-1.57763534167332,-0.526811935580452
-1.95959595959596,0.425813055795884,-1.48634410257444,-2.9173680438496,-1.0870448621445,-1.02387920913353,-1.49697887744413,-3.32216343213104,0.731765523452044,-0.731079740207163,-1.5016539953256,-1.77065046845646,-2.42462039235225,-1.43329938895939,-1.53187754165554,-2.72297543965139,-2.03445467076274,-2.21703005019103,-1.49167523787724,-1.66706549147165,-2.58513779857982,-2.06764762818643,-1.70336414304116,-1.91501424684252,-1.88276999527447,-0.994004283618844,-1.50665919783247,-1.74263784655891,-2.04877205103793,-0.0824304101534463,-1.77052141944182,-0.93273616981653,-2.43652509263225,-3.05229809835632,-1.9634067514419,-2.18165101935565,-0.845492230897107,-1.93316795257572,0.131687539206278,-1.76390169487217,-1.54752468659685,-1.63067100460093,-0.40341231501225,-1.66812983514946,-3.06986010751782,-2.55902166335775,-1.43349138301761,-1.04607624623262,-2.82110762607154,-0.701720652634183,-1.89807333995149,-3.18602735116566,-1.93011468821295,-1.00958739948076,-0.846885062652295,-1.56496624974004,-2.41884814124737,-1.9195346543309,-2.46742812376061,-3.00053537041552,-1.73728444625454,-0.315537516108253,-2.9104728883463,-0.173923568205507,-2.32151955393601,-3.35732506469389,-1.75593327561687,-1.4883483621771,-0.821994133035863,-2.74783146302242,-1.42474779694962,-0.912819486464061,-0.218740213598031,-2.24774788207993,-3.06579717578339,-1.25769110117805,-1.03654833732109,-4.09726157236343,-2.05546966192817,-1.86789203896635,-2.40243579939586,-2.33876712071666,-2.37310485001625,-2.56243753468369,-0.776706471947847,-2.68567826518981,-1.20695070871053,-2.44414689354812,-1.38711477648134,-1.60609071846132,-1.8271114780517,-3.22364713720063,-1.0029298345261,-1.92218778574149,-3.74282505960365,0.0945983171292157,-2.27102736536933,-1.67124986561005,-1.16543846522951,-1.54055564463501,-0.477937463909924
-1.91919191919192,0.441388646681611,-1.33997002926832,-2.84506545486938,-1.01805955665174,-0.968976185846912,-1.49361070935767,-3.24323498082991,0.770177639757554,-0.664242851689287,-1.45355343608028,-1.71349022022287,-2.3970359928879,-1.41137646391189,-1.46736781593551,-2.67968888354748,-1.98320062438882,-2.16793786752778,-1.44238641218919,-1.61847919135103,-2.54005601657356,-1.98009702918765,-1.65993361245985,-1.86286650407563,-1.84614644340046,-0.948133896386014,-1.44704157776984,-1.71158650942608,-2.00658686701765,-0.0434775033936941,-1.72442834819928,-0.891576285555751,-2.38840899155484,-3.00092362411198,-1.93648978864478,-2.14526181092604,-0.766709727212836,-1.91676744025928,0.161193361887437,-1.70445413334977,-1.46523708113341,-1.57713397956521,-0.391592084854797,-1.61598626478459,-3.01322931951878,-2.50354220776656,-1.39938789923403,-1.00503612358458,-2.77816600689471,-0.675429245088181,-1.81989210154662,-2.96754337141081,-1.89373859928847,-0.967833078884456,-0.80324700639332,-1.53822626747074,-2.36500200918661,-1.8707048800379,-2.42660279798145,-2.95448631444832,-1.70386406952842,-0.281668448960993,-2.77232422292162,-0.16096172597295,-2.27340056456011,-3.3033549219846,-1.68838397504496,-1.44521158437914,-0.775756281850597,-2.69985009480612,-1.38607977368491,-0.868374297594922,-0.202496064608635,-2.18756548919221,-3.0053687341669,-1.16028626393371,-0.994089725013491,-4.03547752683711,-2.00368133315837,-1.8189686738285,-2.35928352693545,-2.29398378688068,-2.32475250663743,-2.55394889402455,-0.739806160561218,-2.60271227383333,-1.1868909334391,-2.3586863037057,-1.33670993783537,-1.54216083339595,-1.79267925212727,-3.1686276979176,-0.965299715243695,-1.88047263991647,-3.6786598438157,0.14116952121833,-2.19374990624487,-1.61561741904243,-1.10330019576711,-1.50250728699149,-0.428894778155438
-1.87878787878788,0.457096630220085,-1.19231916793732,-2.77314660592933,-0.949689640805446,-0.912708023818024,-1.49055574533243,-3.16521925693466,0.808558577829111,-0.614350215438252,-1.40572708669489,-1.65605298403809,-2.36523876674327,-1.3877536707885,-1.39955916559571,-2.63613364828745,-1.93205464965413,-2.11887674690845,-1.39308431173604,-1.56988255239223,-2.4948791501231,-1.89738211291311,-1.61648914744815,-1.8107014135363,-1.80907210303626,-0.903281480849166,-1.38826326055686,-1.68011912334277,-1.96413858389645,-0.00450796950417111,-1.67881773719161,-0.850422492935955,-2.33989515244251,-2.94957187737381,-1.90931504422405,-2.10924014788361,-0.691130251166109,-1.9030162225769,0.190094403189364,-1.64517065170921,-1.37829924128886,-1.5238656622687,-0.378731799987456,-1.56376894009844,-2.95524979601131,-2.44818744103131,-1.36965944222321,-0.963877452308549,-2.73469110393165,-0.650895658261492,-1.74210680716963,-2.75607248812281,-1.85719019495914,-0.926287362752764,-0.760216214220426,-1.50932063204337,-2.3113263713369,-1.82184667578897,-2.38552677739704,-2.90838772970077,-1.67161498797777,-0.247839591327192,-2.61582970292472,-0.147122411052419,-2.22530989543689,-3.24857319983709,-1.62215612364314,-1.39989353079904,-0.729696594212821,-2.65192872125326,-1.3474813975366,-0.823609033582633,-0.185988870699667,-2.12735013130465,-2.95569440893345,-1.06398214451939,-0.951675658846262,-3.97388782845542,-1.95189063900857,-1.76979065804031,-2.31606026046859,-2.24915177277493,-2.27639622206926,-2.54325396689467,-0.702941932697734,-2.51799026770522,-1.16648741737407,-2.27324018518611,-1.28443882203881,-1.47984584535562,-1.75767391233286,-3.11362288297837,-0.927533634856894,-1.83861835264584,-3.61462239402014,0.18773866250156,-2.12022729057583,-1.55864490717717,-1.04970969541815,-1.46351429948805,-0.379694074402311
-1.83838383838384,0.472932496963805,-1.04478177842517,-2.70159533942955,-0.881914878304107,-0.855159726243747,-1.48719583049759,-3.0885328197788,0.846907621545698,-0.581956582616841,-1.35815918077303,-1.59854149962492,-2.32841587179084,-1.36258275738403,-1.32818625209147,-2.59230903719915,-1.88102085141228,-2.06984845791433,-1.34377001375446,-1.52127768213113,-2.44961776087402,-1.81988751993306,-1.57303206961324,-1.75852161327404,-1.77157620570196,-0.859438584241003,-1.33034096784537,-1.64825595094033,-1.92144782866835,0.0344805878663228,-1.63367885360657,-0.809274219689613,-2.29100767360231,-2.89824130738505,-1.88179124798786,-2.07353707114182,-0.619264026973234,-1.89283888455005,0.218421950180183,-1.58604920813097,-1.29400692549638,-1.4708569961645,-0.364859998970238,-1.51161928627501,-2.89582798239412,-2.39296183461286,-1.34370181705488,-0.922600103712055,-2.69070794739335,-0.627680885088112,-1.66473714566467,-2.55325815403561,-1.82048168838182,-0.884948492390657,-0.717708473945169,-1.4784743153621,-2.257817800954,-1.77297740213073,-2.34420926950434,-2.86224056983605,-1.64034884696687,-0.214057282296706,-2.44980072798677,-0.132430522407183,-2.17724613254548,-3.19302857924197,-1.55724087409487,-1.35199361547847,-0.683818828565732,-2.60406710829154,-1.30895215750186,-0.778571852826724,-0.16922994064388,-2.06710989921073,-2.91563051598415,-0.968786000825565,-0.909308200959388,-3.91249605329818,-1.90010436349454,-1.72036362713598,-2.27276562085206,-2.20427140546083,-2.22803467279867,-2.5304282552272,-0.666110978302494,-2.43588985595002,-1.14573365987282,-2.18809310399983,-1.23036245482295,-1.41930545367152,-1.72209209398881,-3.05863496951805,-0.889638943707603,-1.7966017937136,-3.55071973966848,0.234270837796449,-2.0496158244599,-1.50190788203522,-1.0032465958191,-1.42360548107631,-0.330349213791576
-1.7979797979798,0.488893798065285,-0.898395219363234,-2.63043823057954,-0.814860760636052,-0.796556114356565,-1.4828801323863,-3.01352157166366,0.885224513044381,-0.564755691059484,-1.31082937188663,-1.54106474897101,-2.28676536118377,-1.33576842791054,-1.25366385422929,-2.54822741328659,-1.83010099754472,-2.02085593791795,-1.29444509905786,-1.47266639221901,-2.40428241837929,-1.74718953830474,-1.52956352407307,-1.70632833202959,-1.7336200662435,-0.816594887266448,-1.27329842386186,-1.61600689390285,-1.87853444231875,0.0734904394804183,-1.58900042986351,-0.768130785271477,-2.24176159582443,-2.84693092953833,-1.85384346182944,-2.0380478931016,-0.551490931496746,-1.88705366687766,0.246206664558029,-1.52708766449146,-1.22033211890196,-1.41810412910598,-0.349995078422273,-1.45970830024264,-2.83476913597918,-2.33786986149801,-1.3211300125491,-0.881203984989285,-2.64623824233693,-0.60533670618721,-1.58780154214719,-2.36116452089877,-1.78360763877249,-0.84381056499908,-0.67579121376638,-1.44592193139161,-2.20447742388671,-1.72411606631233,-2.30267200994778,-2.81604579241471,-1.60992280423624,-0.180328143420369,-2.28209609476357,-0.116910478077937,-2.12920778650774,-3.13677031285835,-1.49360196070833,-1.30132470669522,-0.638119837919867,-2.55626567505239,-1.27049150809154,-0.733238140917601,-0.152185858451238,-2.00685298542126,-2.88391199812469,-0.874823408228451,-0.866984800432489,-3.85130582609436,-1.8483294695488,-1.67069395195799,-2.22940510308054,-2.15934337010003,-2.17966693287373,-2.51554591373125,-0.629310817230878,-2.36120345101365,-1.12464126540609,-2.10363229229036,-1.17466526708886,-1.36069587129919,-1.68590274726983,-3.0036662587392,-0.851623050453632,-1.75442142390719,-3.48696799657768,0.280772652060608,-1.98133607390587,-1.44724903216797,-0.961625553560182,-1.38281023389636,-0.280845773303117
-1.75757575757576,0.50497579275263,-0.754285225609434,-2.55968260830329,-0.748881901381074,-0.737029972290539,-1.47695583646005,-2.9404521582245,0.923508469079177,-0.559493433819559,-1.26370846219186,-1.48370533021305,-2.24024274258519,-1.30747015702474,-1.17640659981839,-2.50389567700736,-1.7792889163292,-1.97190131943787,-1.24511064268631,-1.42405050590795,-2.358883690886,-1.67852125798127,-1.48608456928596,-1.65412323950781,-1.69523635906877,-0.77475746034149,-1.21708293940286,-1.58338173068987,-1.83541748425749,0.112523729665795,-1.54477069823779,-0.726991634343482,-2.19215522918314,-2.79563985868732,-1.82540814350006,-2.00285280224671,-0.488192517819124,-1.8862334676055,0.273497740344204,-1.46828378968816,-1.16472187181325,-1.36560328753555,-0.334212444195718,-1.40815239306145,-2.7721613597497,-2.28291599442697,-1.30153203011105,-0.839689037775171,-2.60133390776683,-0.583411635848479,-1.51131577887409,-2.18269779418857,-1.7465745733306,-0.802885823434757,-0.634427810519883,-1.41175793884567,-2.15130587764489,-1.67527562438146,-2.26093407056174,-2.76980435922769,-1.58020745895432,-0.146659588671909,-2.11948996533414,-0.10058621567935,-2.0811932947898,-3.07985234321987,-1.43116172475309,-1.2477584656687,-0.592591473337698,-2.50852546877589,-1.23209886896657,-0.687619473290478,-0.134832958983039,-1.94658768017889,-2.85939321715108,-0.782177796179202,-0.824705068462221,-3.79032082594928,-1.79657314301593,-1.62078541927265,-2.18598090721459,-2.1143707902549,-2.13129201073897,-2.49867971183869,-0.592539027179938,-2.2981912549404,-1.10322512321023,-2.02019588089293,-1.11741202466709,-1.30414672958881,-1.64914525907057,-2.94871900189612,-0.813491155128995,-1.71206478609399,-3.42336421154211,0.327218127724239,-1.91489614844815,-1.3964265523375,-0.922242364127627,-1.34115215873497,-0.231225051588979
-1.71717171717172,0.521142848292549,-0.613202104486309,-2.48935202421744,-0.684201131380962,-0.676722684400849,-1.46883030542824,-2.86952774701866,0.961758692917053,-0.562479678399824,-1.21677490498757,-1.42654783762802,-2.18880160335609,-1.27755598678595,-1.09638771643105,-2.45931974030193,-1.72858460271367,-1.92298724168429,-1.19576772223684,-1.3754318879302,-2.31343213642312,-1.61303929618374,-1.44259625169558,-1.60190841096055,-1.65639456446623,-0.73388947013115,-1.16166769617347,-1.55039011214734,-1.79211523707484,0.151582705784135,-1.50097742638334,-0.685856405799115,-2.14222216183236,-2.74436719867706,-1.79638932722299,-1.96722517862872,-0.429682130226488,-1.89035466205033,0.300323428950517,-1.40963526298759,-1.13080261263784,-1.3133507756813,-0.317551154521593,-1.35710951767058,-2.70799596937329,-2.22810470406283,-1.28446602147191,-0.798055236761198,-2.55602330026324,-0.561463142547151,-1.43532578651394,-2.01931223754799,-1.70938268574835,-0.762163222164645,-0.59360664469894,-1.3762626156592,-2.09829024719163,-1.62646668775802,-2.21901044544403,-2.7235172366446,-1.55107310523381,-0.113056898188649,-1.9669631302671,-0.0834811934001806,-2.03320102403263,-3.02232836738676,-1.36988265638704,-1.19129133194538,-0.547242042652455,-2.46084938978852,-1.19377362460597,-0.641723680692229,-0.117098282960474,-1.88632265896532,-2.84086304345021,-0.690863884954072,-0.782469930374272,-3.72954479244725,-1.74484337561103,-1.57064186603056,-2.14249361678306,-2.06935432412967,-2.08290891654649,-2.47990099955749,-0.555793242196766,-2.24930821422102,-1.081475819755,-1.9380301317627,-1.05868268779889,-1.24972381766501,-1.61182293927214,-2.89379539961678,-0.775248155378917,-1.66953337640896,-3.35991455185175,0.373611118869296,-1.84991684820307,-1.35104187128916,-0.882698496062347,-1.2986721618699,-0.181463825142715
-1.67676767676768,0.537449100616644,-0.475990645255534,-2.41944822859943,-0.621027082207648,-0.61572891521739,-1.45792310965699,-2.8009034265478,0.999974374599388,-0.569398454820275,-1.17001232753257,-1.36965551589235,-2.13255681607545,-1.24617416424637,-1.01434295257356,-2.41450544393889,-1.67799648650187,-1.87411629408128,-1.14641707072506,-1.3268122570959,-2.26793829422543,-1.5499409603935,-1.39909960470698,-1.54968499980169,-1.61712423867068,-0.693973225968834,-1.10701717088824,-1.51704155739893,-1.74864521160982,0.190669174985643,-1.45760795357512,-0.644724845136405,-2.09197681113812,-2.69311244245812,-1.76674349859865,-1.93112557829032,-0.376278896830799,-1.89871807952027,0.326728026767879,-1.3511396773914,-1.11562757609595,-1.26134297465123,-0.300043812060261,-1.30669588978334,-2.64213209523437,-2.17344045710369,-1.26941254476703,-0.756302588374936,-2.51031751938755,-0.539084652512361,-1.3598546473701,-1.87246384110848,-1.67203308648247,-0.721644312355021,-0.553301190409918,-1.33956802436269,-2.0454270165565,-1.5776958391622,-2.17691014909703,-2.67718539597606,-1.52239078396062,-0.0795264024556813,-1.82712897665811,-0.0656183914859778,-1.98522927250788,-2.96426327472108,-1.30972807910056,-1.13209607433222,-0.502057270225905,-2.41323770181995,-1.15551512400704,-0.595557103597162,-0.0989506374625872,-1.82606664030212,-2.82730661733459,-0.601041115813303,-0.740279137298955,-3.66898153214256,-1.6931470408954,-1.52026717493819,-2.09894559801267,-2.0242940549254,-2.03451652021403,-2.45927967717637,-0.519071151240551,-2.21567151370519,-1.05941078252931,-1.85739062212099,-0.998520568872214,-1.1975481665439,-1.57394553451432,-2.83889802242541,-0.736898652950749,-1.62682657216225,-3.29662508451567,0.419941887728097,-1.78619598713632,-1.31239976016472,-0.841062612020843,-1.25539366239929,-0.131593880424824
-1.63636363636364,0.553864805761615,-0.343756188520502,-2.34997865540717,-0.559554933105495,-0.554273853426428,-1.44375319417529,-2.73471191689527,1.03815469119344,-0.575620757210028,-1.12339408661567,-1.31310363350257,-2.07212361977224,-1.21328996485291,-0.930472905295484,-2.36945855798576,-1.62751825282396,-1.825290696941,-1.09706019645864,-1.27819334387695,-2.22241267652572,-1.48843793110532,-1.35559564769458,-1.49745531499355,-1.57740064863629,-0.654988947687861,-1.05308074079372,-1.48334545001574,-1.70502415232041,0.229784789056202,-1.41464922749792,-0.60359694258759,-2.04142668950075,-2.64187448089702,-1.7363936092916,-1.89439177281535,-0.328244241250579,-1.90980629406012,0.352766329980441,-1.29279454301608,-1.11207735848073,-1.20957634142498,-0.281702361896321,-1.25709483092811,-2.57470397391015,-2.11892771433791,-1.25563592960744,-0.714431129525165,-2.46426661330865,-0.515874201133124,-1.28496771064431,-1.74342774895335,-1.63453132803544,-0.681336187779168,-0.51346626826671,-1.30183434168819,-1.99271804520735,-1.52897409191059,-2.13465102753258,-2.63080981384879,-1.49401934062616,-0.0460744225554244,-1.70109301118738,-0.0470132986449786,-1.93727627269483,-2.90571919111958,-1.25066214718314,-1.07041831539244,-0.45704109283754,-2.36569013405334,-1.11732268041883,-0.549125779291826,-0.0803479769992813,-1.76582818373495,-2.81752449530284,-0.512761313656367,-0.69813120690504,-3.6086367497413,-1.64149153060305,-1.46966527009953,-2.05534067359634,-1.9791932034343,-1.98611372444895,-2.43688416875249,-0.482370496798244,-2.19710904703745,-1.03704070220683,-1.77849423485704,-0.936962326299949,-1.1476826926063,-1.53552253275368,-2.78402952867192,-0.698446960441107,-1.58393211971879,-3.23350965572365,0.466196840296234,-1.72357785049654,-1.28121421040241,-0.795939832265373,-1.21135670803295,-0.0816123920810899
