"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-0.302939253009913,-1.55755794909941,-4.52764679772791,-0.896740528058429,-0.533280115075234,-2.18729528392911,-3.48604492620934,0.493261997848466,-1.29878522322535,-1.75044491335822,-1.29606451522486,-2.14760069046785,-0.424155107498902,-2.19683257770447,-2.56882072621976,-2.06626667444027,-2.02304835400498,-1.70002576997596,-1.65434364004309,-2.71595022728478,-2.20141275472944,-1.82445395197469,-1.97242787804526,-1.9651743538191,-1.34148747729014,-0.745812749819982,-1.84440611502046,-2.42043462263029,0.0712507860923517,-1.67765645083926,-1.26122412472603,-2.36839114055003,-3.02310149871369,-1.91558508056985,-1.95989935543053,-0.735567077999985,-1.70062453103614,0.445688074972791,-1.18127200364261,-1.41469398832888,-1.33741124928722,-0.557977902494535,-1.22074164092832,-3.22276747701033,-1.98985801057725,-1.74762132593842,-0.846847085093431,-3.03695581597612,-0.711486832160229,-1.56739344220457,-2.30069153598496,-2.00679077885442,-1.00123105964287,-0.725613845799252,-1.8633768047812,-2.30759760693095,-1.98222723992771,-2.99532370590065,-2.68933434411536,-1.75441527792341,-0.218013706511679,-2.58205207202784,-0.101102332987748,-2.49632086840758,-3.23045776909585,-1.96331330795951,-1.53690485005163,-0.573576812227458,-3.52968793630225,-1.52176658082798,-1.32765356965844,-0.190578515997031,-1.7177610027642,-3.11792612414553,-1.14163556779726,-0.783229647906261,-4.36710830013505,-1.78977090573827,-0.425268032580362,-2.55207594612721,-2.37427002179985,-2.29796383703386,-2.7461868278009,-0.877718046786244,-2.9559705658365,-1.49648887694338,-1.88323661907253,-1.2451402356201,-1.66500570759781,-1.66453756685123,-4.11239096277047,-1.00504840621944,-1.72741050667315,-3.44135275220116,0.0142285743167642,-2.0271244504243,-1.62573053442328,-1.17344684391779,-1.52132051577358,-0.233126981214589
-1.95959595959596,-0.274345970017664,-1.44773922228433,-4.41961614507842,-0.838466483075205,-0.49422998060022,-2.14879475386355,-3.40968120273779,0.532333435726114,-1.17738441704645,-1.69491591325713,-1.25998645007494,-2.10615147883137,-0.427487620155533,-2.14671967829526,-2.53202337881311,-2.01645685352672,-1.98122294143773,-1.64848163053643,-1.60772585434463,-2.66984892321947,-2.14674623052821,-1.78019544704597,-1.92173108983936,-1.92022920663376,-1.29535165819977,-0.692123712248067,-1.81168566656507,-2.36821058770146,0.103268283110571,-1.6371747989414,-1.21051910231053,-2.31728351842479,-2.97715657511837,-1.88133419653874,-1.93043462204993,-0.710473127824089,-1.65238662695246,0.469423461633737,-1.14462635401095,-1.36233366700224,-1.2464945431994,-0.548114374965907,-1.18828741813042,-3.17090639893578,-1.94719754032111,-1.70626087863852,-0.808127773835474,-2.97019802886764,-0.671221251382763,-1.50991130303875,-2.24846357629271,-2.02663599851142,-0.961801550341823,-0.686179645557619,-1.8485752644938,-2.25889797188581,-1.9470001931447,-2.94400423031682,-2.65272852831082,-1.71802680422511,-0.186612095725146,-2.52656589754026,-0.0760580480097009,-2.41759045237842,-3.18348936075466,-1.8981159948066,-1.50245813622435,-0.536465043430938,-3.4491741031324,-1.4579669721885,-1.26527856920298,-0.182008403448758,-1.69198933112292,-3.01313600224474,-1.06364989672875,-0.746085531218532,-4.27321568090628,-1.74501988206674,-0.414136029588193,-2.50809693851973,-2.32080371676061,-2.24899518321455,-2.72384759422254,-0.808690715824153,-2.86651427716839,-1.46615575236819,-1.82026705567937,-1.19148697399336,-1.59025285306834,-1.63096826795002,-3.99722363284114,-0.971835421074976,-1.68583128545729,-3.38802080633373,0.0601782772871914,-1.97179444826166,-1.59487797910238,-1.12468899622048,-1.48248749038436,-0.192378297935821
-1.91919191919192,-0.245642591928033,-1.33607387583911,-4.31112643902014,-0.780690839447756,-0.455152130130551,-2.10931065307372,-3.33269885895969,0.571407021880023,-1.05897711008999,-1.63950637771347,-1.22362060900571,-2.06400916421778,-0.427794039331148,-2.09121128001477,-2.49467914120418,-1.96672612129843,-1.93940122604491,-1.59697946943527,-1.56105088135871,-2.62346335341539,-2.09213031127915,-1.73592072199724,-1.87101563287281,-1.87524979570764,-1.24991110291207,-0.640964250525002,-1.77856289547325,-2.31610988626148,0.135406440101258,-1.59695473131737,-1.16009194087452,-2.26617812705851,-2.93102982988788,-1.84957422313202,-1.91205948607214,-0.685306559352159,-1.60406426581532,0.492113854207253,-1.10745574933914,-1.29928433724575,-1.15906876951929,-0.537109830266451,-1.1559335307314,-3.1172257925315,-1.90436871510714,-1.66485567243905,-0.769310645595444,-2.90341148785948,-0.632619729471012,-1.45276404861073,-2.19618902426358,-2.03025056880401,-0.922510148820419,-0.646801978029114,-1.82478540426111,-2.21060266035414,-1.91029685459503,-2.88604934900975,-2.61573409645474,-1.68348906048435,-0.155252437831494,-2.47110260217995,-0.0509525214512494,-2.32520539261798,-3.13569724302501,-1.83387726275886,-1.46538252105775,-0.499421932867988,-3.36688086612083,-1.39472264466467,-1.19738621972156,-0.174565746801246,-1.66579806229887,-2.92292778944054,-0.985835798746858,-0.709009682992687,-4.17999596853124,-1.70036369502474,-0.402506542030113,-2.46413225029507,-2.26781399688723,-2.2000667009549,-2.70027300517912,-0.744708244477736,-2.77782872615775,-1.43577499230262,-1.76075299999722,-1.13564132759593,-1.5172059700659,-1.59719876757995,-3.8861834502792,-0.938258080044615,-1.64426883116658,-3.33474288400226,0.106242669385511,-1.91646156956445,-1.56296986696615,-1.07601466408386,-1.44303532282809,-0.150980362232184
-1.87878787878788,-0.21683217191772,-1.22337083630872,-4.2022152775948,-0.723446968474181,-0.416048898397194,-2.06884293198922,-3.25574921306669,0.610481403007282,-0.952808129758454,-1.58421292437572,-1.1869826343187,-2.021153708579,-0.42494560057998,-2.03117058899933,-2.45680272827096,-1.91707626885168,-1.89758268749567,-1.54552077859104,-1.5143191333544,-2.57680937204579,-2.03756428103273,-1.69163050292304,-1.82028436211808,-1.83023449733029,-1.20515713658376,-0.592201100435054,-1.74503914015925,-2.2641397531407,0.167667582118203,-1.55698612724983,-1.10993504193074,-2.21508199409187,-2.88471364295268,-1.82012248721945,-1.90435240385084,-0.660064234004045,-1.5556610429279,0.513779548233349,-1.06977742504444,-1.22852873906616,-1.07610577240299,-0.525007275092828,-1.1236641144182,-3.0615788494688,-1.86137288071625,-1.62340566277054,-0.730396561329554,-2.83671938074051,-0.595496756822375,-1.39595766676213,-2.14387004867067,-2.01708136321651,-0.883361685187538,-0.607479362546545,-1.79086018087993,-2.16267693635945,-1.87205146689689,-2.82205681733704,-2.57836344457202,-1.65060397802028,-0.123938264184944,-2.41566771722174,-0.0257856085429359,-2.21932951974358,-3.08713564232732,-1.77056631549551,-1.42551043016067,-0.462439542917084,-3.28289622454496,-1.33204404275191,-1.12449278307581,-0.16811032810247,-1.63918661282255,-2.84689515147329,-0.908245957892614,-0.672000810349879,-4.08756077378937,-1.65580099355286,-0.390338815986139,-2.42018239190392,-2.21528398131082,-2.15119067073169,-2.67550399941983,-0.686217480538152,-2.69172498738871,-1.40534830394685,-1.70429323291257,-1.0778479912961,-1.44638666499237,-1.56323220861711,-3.77908941523343,-0.904319648744117,-1.60272382816378,-3.28152032860512,0.152406534258129,-1.86112651453069,-1.53195034648388,-1.02742545465385,-1.40297396385419,-0.10893213218892
-1.83838383838384,-0.187917665693395,-1.11043070780726,-4.09295604186043,-0.666811691263919,-0.376921668939482,-2.02739245411074,-3.17943037843935,0.64955513149212,-0.863077628163719,-1.52903455246895,-1.1500815712774,-1.977508567989,-0.419325304630104,-1.96618120118519,-2.41839521089549,-1.86751240453219,-1.85576670295454,-1.49410626476981,-1.46753409127029,-2.52990548093936,-1.98304912781666,-1.64732607230838,-1.76954203203474,-1.78518700528361,-1.16107964906994,-0.545631604534784,-1.71113436800308,-2.21230705405586,0.200053917672451,-1.51725901556647,-1.06004805927649,-2.16400143186287,-2.8382121915352,-1.79282565219849,-1.9063186943426,-0.634743055926239,-1.50718051823154,0.534525617956,-1.03160825841275,-1.15415729709669,-0.998630281184881,-0.511808329280102,-1.09146818584048,-3.00377381852097,-1.81821142871641,-1.58191651161989,-0.691386416736212,-2.77021835369708,-0.559632881674874,-1.33949786778739,-2.09151326957067,-1.98998408090438,-0.844354322962589,-0.568212873248329,-1.74725443909147,-2.11511174283231,-1.83228734715635,-2.75273883251872,-2.54062895276243,-1.61918693159525,-0.0926731429871685,-2.36026730289667,-0.0005571581669674,-2.10150272880993,-3.03786563843715,-1.70817493281353,-1.38269640038899,-0.425516615759756,-3.19745428423896,-1.26994301084814,-1.04714332448284,-0.162507940434221,-1.61215431930418,-2.78393626005675,-0.830994201167812,-0.635061080319673,-3.99602881059494,-1.61133042543331,-0.377594279159129,-2.37624838230706,-2.16322262243803,-2.10236581823503,-2.64958080005806,-0.633169182135154,-2.61198643897799,-1.37487392222333,-1.65063853694096,-1.0182006995352,-1.37827460609308,-1.52906726532767,-3.67585906043468,-0.870034671856837,-1.56119588306163,-3.22835470506779,0.198622411033875,-1.80581672568469,-1.50423163946208,-0.978922952601657,-1.36232186925043,-0.066298262465793
-1.7979797979798,-0.158900399084587,-0.99800870129019,-3.98339936582452,-0.610324745511528,-0.337773930005295,-1.98495893303985,-3.10426447754138,0.688626800402047,-0.789544134853128,-1.47396867907481,-1.11292448073449,-1.93312642939065,-0.410971409043988,-1.89662529287913,-2.37948332550152,-1.81803804250249,-1.81395277168046,-1.44273458748682,-1.42069760503572,-2.48276543423123,-1.9285857991777,-1.60300852824844,-1.71879211653321,-1.74010586940947,-1.1176674613949,-0.501024060214411,-1.67685856058805,-2.16061828687489,0.23256753844464,-1.4777635791195,-1.01042026684325,-2.11294260944609,-2.79152516161426,-1.76748451984842,-1.91670007691004,-0.609339974154748,-1.45862432962568,0.554413252654012,-0.99296476591424,-1.08121884472976,-0.92771629124221,-0.497511526680885,-1.05933157830765,-2.94346053710481,-1.77488579662901,-1.54039090977487,-0.652281141012785,-2.70402732334537,-0.524815249624351,-1.28339007809466,-2.03912332493596,-1.95092043216932,-0.805483435602694,-0.528998668164683,-1.69539727882804,-2.06790772812831,-1.79102946269543,-2.67932080676451,-2.50254297661744,-1.5890494592856,-0.0614609430521234,-2.30490733436668,0.0247329853124412,-1.97451726240301,-2.98794725291205,-1.64667564321892,-1.3369781532367,-0.388649520208468,-3.11078287790447,-1.20842938729848,-0.965987617486216,-0.157491372725912,-1.58470043277692,-2.73263155346185,-0.754114681476698,-0.598185816019701,-3.90553474790615,-1.5669506367106,-0.364281442195983,-2.33232991882533,-2.11163312014266,-2.05361326873094,-2.62254289214461,-0.585260476019177,-2.54316587569541,-1.34435252919829,-1.59940117908789,-0.957015974238023,-1.3132992890816,-1.49470533040597,-3.57639536224251,-0.835418635826406,-1.51968470611703,-3.17525123166827,0.244894122421332,-1.75054692536327,-1.48292418545588,-0.930508718501105,-1.32109808815133,-0.0230743635580257
-1.75757575757576,-0.129783646452427,-0.886837981838517,-3.87360324750911,-0.553780334379493,-0.298607842904468,-1.94155809995337,-3.03068308591963,0.727694992997153,-0.729975856567413,-1.419008411595,-1.07551827342209,-1.88802387479733,-0.400216396476334,-1.8229605243581,-2.3400828595474,-1.76865021320876,-1.77214038528655,-1.39140610866004,-1.37381176087384,-2.43540515003861,-1.87417520222761,-1.55867887893729,-1.66803840870204,-1.69499451932108,-1.07492097863511,-0.45802898844455,-1.64222158979418,-2.10907958306474,0.265210419011134,-1.43849015905946,-0.961040362082721,-2.06191314574951,-2.74465129936284,-1.74374894547327,-1.93400047616223,-0.583851984703097,-1.40999702792987,0.573497766068697,-0.953863101040398,-1.01524069007971,-0.864258471166915,-0.482168046510955,-1.02724190536518,-2.88073655628317,-1.73139746805572,-1.49883157945451,-0.613081695656427,-2.63821579982283,-0.49079651222077,-1.22763943399841,-1.98670346081873,-1.90320040133937,-0.766756684379611,-0.489835032180515,-1.63711941344392,-2.02106424136724,-1.74834966956932,-2.60312399461174,-2.46411783873419,-1.56002094876647,-0.0303062524373227,-2.24959608539522,0.0500849802408358,-1.8423624584844,-2.9374379327086,-1.58601224524822,-1.28822500164808,-0.351833214796386,-3.02314182122016,-1.14750968802563,-0.881441190526744,-0.152957942623273,-1.55682313534589,-2.6915128596278,-0.677735761292084,-0.561373596294964,-3.81620506066475,-1.52266051868923,-0.350377462088099,-2.28842738546062,-2.06049288714434,-2.00491892960705,-2.59442900244353,-0.542081947732099,-2.48969000651582,-1.31378533851025,-1.55020830605805,-0.894466018337752,-1.2518382216479,-1.46015152896849,-3.48060830678915,-0.800481643580136,-1.47819120062316,-3.12220732164275,0.291206221083803,-1.69532312979875,-1.47096052366594,-0.882184287206342,-1.27932223982578,0.0207122829618282
-1.71717171717172,-0.100571236215893,-0.777512272738976,-3.76364212901589,-0.497153152489089,-0.259425203118639,-1.89718768969613,-2.95903476215401,0.766758270285166,-0.681344252151079,-1.36415036770938,-1.03786128460024,-1.84223355700026,-0.387209713115814,-1.744960940808,-2.30020755830487,-1.7193506172322,-1.73032908975988,-1.34012122946204,-1.32687960463799,-2.38784093579653,-1.81981936432978,-1.51433812596786,-1.61728460741774,-1.64985188164819,-1.03281173622282,-0.41640725404618,-1.60723321278948,-2.05769670932043,0.297985533496349,-1.39942925890083,-0.911901417441002,-2.01091749100796,-2.69758933708321,-1.72135760819147,-1.95639913114808,-0.558276132574302,-1.36130318637995,0.591832390762639,-0.91431905264809,-0.960496908487201,-0.808841992778664,-0.465823536619802,-0.995184756829048,-2.81555544152212,-1.68774797276461,-1.45724070236824,-0.573789073310085,-2.57286830451004,-0.457323842394183,-1.17225077566919,-1.93425945920277,-1.85033278542047,-0.728165978911665,-0.450721260488208,-1.57524499583848,-1.97455181277366,-1.70438074672199,-2.52550338885992,-2.42536582032685,-1.53192256920105,0.000788312149571981,-2.19433889149223,0.0754989858907326,-1.70992697771101,-2.88639419212974,-1.52615674267599,-1.23652759407035,-0.315067427111393,-2.93480030310165,-1.08719652355849,-0.79464385970315,-0.148705699306467,-1.52850908400511,-2.65893473806744,-0.601938023692126,-0.524624859862277,-3.7281452889438,-1.47846054805987,-0.335835268240967,-2.24454161377914,-2.00980143472098,-1.95628569007276,-2.56527708138542,-0.503166562616737,-2.45410495654351,-1.28317010599615,-1.50277969332848,-0.830774790057607,-1.19423280226813,-1.4254070078095,-3.38836107940631,-0.765233465015877,-1.43671495955179,-3.0692242810698,0.337546946081867,-1.64016590112942,-1.47103445397586,-0.833951166232406,-1.23701341123185,0.0650197633975234
-1.67676767676768,-0.0712657425844807,-0.67061543162743,-3.6535866879779,-0.440198554062586,-0.220227952107764,-1.85186313357799,-2.8895977857202,0.805815172042868,-0.639983355223754,-1.30939470154802,-0.99996759859466,-1.79563224715078,-0.372327986364064,-1.66353851479707,-2.25987093399059,-1.67014809953148,-1.68851846991816,-1.28888292942718,-1.27990205235613,-2.34008943742792,-1.76551965109961,-1.46998726347148,-1.5665345481965,-1.60468101446894,-0.991324179558852,-0.375970734699227,-1.57190306729177,-2.00647506937265,0.330894077383129,-1.36057154837737,-0.862996669070735,-1.959961070698,-2.65033340269646,-1.69991988398875,-1.98159023752072,-0.532609513695491,-1.31254619895247,0.609526947025023,-0.874348043795166,-0.917799929978672,-0.761565918131607,-0.448493280761816,-0.963141999947742,-2.74766315369659,-1.64393888673419,-1.41562067762355,-0.534404296654701,-2.50808283461848,-0.424136557492052,-1.11722864126524,-1.88179619412311,-1.79674227214038,-0.689711755856406,-0.411657052675288,-1.51212656967688,-1.92836116371529,-1.65925231892535,-2.44786223289312,-2.38629915293789,-1.50460292577346,0.0318190589003549,-2.13914040075972,0.100975160707213,-1.58265942962815,-2.83487331538791,-1.46708179797469,-1.18208595340365,-0.278345539990404,-2.84608964058206,-1.02750168267681,-0.706179509866259,-0.144598264006245,-1.499770562651,-2.63327641978226,-0.526731677120162,-0.487938339105071,-3.64147092978858,-1.43434720902876,-0.320654850035183,-2.20067299831715,-1.95956381677027,-1.90771559105885,-2.53512428716579,-0.467999587546791,-2.43788123114518,-1.25250845790048,-1.45683580019219,-0.766099162601373,-1.14075115531133,-1.3904726884735,-3.2995198336858,-0.729683542259187,-1.3952558982722,-3.0163034091824,0.383891110975016,-1.58510343800753,-1.4852973209676,-0.785810834141275,-1.19417109777553,0.109842026810483
-1.63636363636364,-0.041869650176751,-0.566802075260264,-3.54350973762746,-0.3827694248905,-0.181018534964241,-1.80559542566351,-2.82260278236449,0.84486421781978,-0.602133095381812,-1.25473576023077,-0.96184513486696,-1.74834287756529,-0.355771351077427,-1.57868170384508,-2.21908626722352,-1.62103919478395,-1.64670814039288,-1.23768976868936,-1.23288311121043,-2.2921675897181,-1.71127523205055,-1.4256272772886,-1.51579150698837,-1.55948123481722,-0.950441527221412,-0.336608920131506,-1.53624066709985,-1.95541970597162,0.363937136672236,-1.3219078670861,-0.814328477240917,-1.90905023788057,-2.60288370710997,-1.67907513796971,-2.00666333273854,-0.506848513730011,-1.26372941543249,0.626632123900431,-0.833965131051942,-0.885215567133244,-0.722105171463368,-0.430172273431628,-0.93109934220712,-2.67730462036646,-1.59997183215446,-1.37397583426247,-0.494928417348375,-2.44389113809173,-0.390976537211542,-1.06257726127143,-1.82931779026587,-1.74720377409659,-0.651398119254284,-0.372639123482949,-1.45014668454889,-1.8824942188629,-1.61313770038979,-2.37153244859711,-2.34693001025469,-1.47786003819129,0.0627822724972048,-2.08400620588786,0.12651427524744,-1.46607480292659,-2.78293124354584,-1.40876072893307,-1.12511953682104,-0.241665944608787,-2.75735699140959,-0.96844500724682,-0.616794675193009,-0.140499749821049,-1.47060642999662,-2.61258498209757,-0.452318957296033,-0.451311084855347,-3.55632588578729,-1.39031913468485,-0.30481389321973,-2.15682146738505,-1.90975108698014,-1.85920328534742,-2.50400697194896,-0.435973798441988,-2.44097329521623,-1.22180112675523,-1.41213541859495,-0.70060089148387,-1.09158585118781,-1.35534928987098,-3.21392812940083,-0.693840995244706,-1.35381516414507,-2.96344895858555,0.430210490021448,-1.53011879957834,-1.51456141385452,-0.737764738936283,-1.15086017131418,0.155140301390909
