"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-2.24633824109504,-2.26610412770363,-4.45913633818468,-3.30902497121808,-3.84617180996076,-2.8097782183148,-4.13906058622141,-1.49472908593136,-2.37503693924653,-3.30948725665598,-3.36639898869192,-2.62776662695866,-2.54393293096553,-3.59168594204664,-4.20046119229245,-3.44171874511085,-2.61796548236691,-3.26469073899835,-2.17308326674426,-3.74809161841473,-4.38979704472232,-2.75096044061127,-2.87429871045914,-3.08043874732443,-3.49011774769013,-3.90299900607271,-3.31652139323251,-3.49631073798312,-1.99358071783481,-3.38872496906579,-2.51258483697478,-4.60642744476111,-3.65120739276133,-3.10001235254239,-2.68604004425615,-3.3921430086324,-3.64530443204987,-2.72704556146417,-1.88832124697606,-4.68702552025713,-3.32395966915653,-2.46354861250331,-3.86760796173694,-4.87364060918647,-4.28956676538012,-3.73016209552487,-2.94685632007466,-4.58742920349828,-3.27128314497563,-3.02405285343963,-3.42136417998712,-2.88420089503061,-2.4718558980894,-3.05318061349502,-2.28994868739817,-4.1282007348005,-3.09354062903289,-4.61197335331282,-4.6942160234552,-2.92317545703353,-2.79877500745797,-3.32454052836489,-1.77261545430028,-3.19530767112316,-4.23076280887998,-2.18316869411042,-3.80805364392213,-1.57678010063383,-4.03422346461673,-4.07620398199091,-2.5490557258338,-2.09644135748362,-4.2130135705772,-4.10430800879467,-1.96508090434107,-2.27802603256844,-5.69013872242481,-3.27793093126009,-2.83540646413646,-3.39229233766466,-2.55869319677167,-3.35719237828227,-3.51566710229503,-3.0680728379354,-3.76530441624425,-2.11096530370177,-3.27983896341097,-3.00390714248493,-3.22964868900093,-2.99197278611766,-4.42420243926661,-2.19243679943648,-2.88266737769291,-5.94836921198153,-3.50244679830353,-4.10681725162697,-4.11146003025879,-3.53004276996127,-3.62102239346871,-2.86321379095667
-1.95959595959596,-2.25794324434779,-2.22706867063852,-4.34231211327912,-3.17426443263326,-3.75925655174377,-2.74334131466566,-4.05959456258502,-1.40935264440033,-2.2471495497138,-3.20318627937894,-3.26418293108751,-2.6403935045137,-2.50999091741976,-3.50161229289436,-4.09245875365874,-3.35836526992924,-2.56399556930845,-3.1966499843408,-2.11858048855272,-3.72446464002605,-4.27616700358132,-2.69333897268093,-2.80719290987528,-3.01735858788155,-3.41056733251925,-3.81292806602782,-3.23216946605518,-3.42581050194165,-1.92148659474687,-3.31180509845283,-2.39718324555204,-4.49690209934738,-3.58888222278545,-3.03543890336,-2.60663939905403,-3.31068775340731,-3.52767273941955,-2.62830845813402,-1.84748330374835,-4.54523901086078,-3.19874034822308,-2.3937271252865,-3.76821238495371,-4.75603613346085,-4.26331036012952,-3.63909291517311,-2.89154222082888,-4.48741866662247,-3.18308361993962,-2.9289935068347,-3.29013830235638,-2.82367542761651,-2.36852528026712,-2.97337408398717,-2.24338017858295,-4.04394911322471,-3.02702513091266,-4.50852593324567,-4.65593992411978,-2.85608957107943,-2.78563628812349,-3.2483166730959,-1.72926493041959,-3.13405556515226,-4.18346699472415,-2.13537375433403,-3.70153422269077,-1.49209319826188,-3.96012267818319,-3.93487417956585,-2.52724371619227,-2.03393043304556,-4.12157314250388,-4.02729835988006,-1.87232036442684,-2.20784658583243,-5.55612871605307,-3.24903457198292,-2.73905592500617,-3.32799897478456,-2.52592893802934,-3.29291738013948,-3.4589039924853,-2.95847679686503,-3.66085283986829,-2.0870430747086,-3.21557343257365,-2.91114555255536,-3.05526842246179,-2.96260195562925,-4.35487450344535,-2.14253708558655,-2.8155068381151,-5.8181245913826,-3.40261065607425,-4.03626589717906,-3.96834331944446,-3.43875661485296,-3.65204450176275,-2.80819279643721
-1.91919191919192,-2.27694327367691,-2.16928603303576,-4.22562189600647,-3.03602928302774,-3.67072647545378,-2.67657836860485,-3.97885728404459,-1.3247538446607,-2.13802703100148,-3.09805513765543,-3.16318423659969,-2.64625519030781,-2.47305121762826,-3.40939682306856,-3.98580911967916,-3.27516675371872,-2.50953675231833,-3.12888492444062,-2.06375579951356,-3.69853841849936,-4.1752009873531,-2.63209472565609,-2.73943903897488,-2.95360405100352,-3.33097630693499,-3.72538787557553,-3.14887821062138,-3.35513860755413,-1.8496472992343,-3.23530129647684,-2.27423531782397,-4.38621693155715,-3.52999739643539,-2.97086350028209,-2.53732477541367,-3.22924125567853,-3.4154297640191,-2.53060342516736,-1.80557127219906,-4.38539250001732,-3.08301959868974,-2.32403439456783,-3.66977417454517,-4.63826855580863,-4.23882984439466,-3.55091599536043,-2.83604028760517,-4.38643224508337,-3.09477931411088,-2.8347046550811,-3.16017683969026,-2.76308420666867,-2.26720993632883,-2.89230029795541,-2.19644764340411,-3.95968676320556,-2.96084192006476,-4.40305181678229,-4.60753384968965,-2.78920860475131,-2.77523417410793,-3.17173828620418,-1.68540644668987,-3.07244408409392,-4.12848455479944,-2.08654141634783,-3.59092621661365,-1.41396843933186,-3.88588936382237,-3.80081109526489,-2.50970950017939,-1.97155655839703,-4.03026202004115,-3.95023462826429,-1.78086328230165,-2.13785004251179,-5.42187399254124,-3.21414803494527,-2.6460617726435,-3.26342614549677,-2.49184333668686,-3.22828424354887,-3.40157658081559,-2.84647323585042,-3.55488263162592,-2.0632394879793,-3.1497893860462,-2.81880959328524,-2.88602442584242,-2.92992977743818,-4.28524387744994,-2.09203242396733,-2.74832671272971,-5.68803185330224,-3.30275542831022,-3.95869118147112,-3.827540432204,-3.3475056535357,-3.66627530872987,-2.74721598784903
-1.87878787878788,-2.30111222078612,-2.09213598744552,-4.1090415665442,-2.8959908842296,-3.58085314580799,-2.60950642294479,-3.89725311572138,-1.24093283270365,-2.05140517360987,-2.994066644828,-3.06315247470839,-2.64571622913901,-2.4332254156504,-3.31516082282414,-3.88056376827563,-3.19212201587158,-2.45459191061165,-3.0616717480134,-2.00860548468224,-3.66741698362591,-4.08137399502411,-2.56740012159459,-2.67109129621928,-2.88911152719346,-3.25134629819531,-3.63970080029934,-3.06659262832845,-3.28430317920976,-1.7780527800394,-3.15919876757276,-2.14578689439083,-4.2745501177744,-3.47347134662082,-2.90628874824561,-2.47739390688066,-3.14773976102066,-3.30984236180092,-2.43390792591502,-1.76261981412066,-4.20998055646265,-2.97609150351111,-2.25447322917239,-3.57197546843451,-4.52037079094756,-4.21427994613814,-3.46534425890201,-2.78017439125253,-4.28464708361686,-3.00635667506275,-2.74118269328142,-3.03121213588006,-2.70242324536818,-2.16779014547241,-2.81009543745242,-2.14914743950438,-3.87541019256239,-2.89484840350458,-4.29624625164118,-4.54943516830151,-2.7225176960309,-2.76679834466704,-3.09483444909248,-1.64105309624679,-3.01047821071749,-4.06701153957538,-2.03671553719208,-3.47733891932121,-1.34199958929301,-3.8115199363239,-3.67649419836093,-2.48731971158594,-1.90929774420469,-3.93907748109249,-3.87311758638846,-1.69069400107158,-2.06803594166889,-5.28747356449158,-3.17338791640368,-2.55698124549522,-3.19857759643388,-2.45651530799021,-3.16329789544799,-3.34370083044035,-2.73377711087372,-3.44750193328445,-2.039131557099,-3.08255065525951,-2.72689473542959,-2.72610227913168,-2.8923461138305,-4.21532113494311,-2.04093165644778,-2.68112678572384,-5.55810048175673,-3.20289799269784,-3.87413230654942,-3.69121254850939,-3.25629273485677,-3.6653445987357,-2.68146690428294
-1.83838383838384,-2.32722093564506,-1.99777019564659,-3.99248489423702,-2.7561188404243,-3.49008094714162,-2.54214229507756,-3.81518877284058,-1.15787261605585,-1.98562226039912,-2.89121804930307,-2.96418060377849,-2.63860601998262,-2.39082081314392,-3.21841302877768,-3.77678472877115,-3.10923580339812,-2.39918525438181,-2.99443100946799,-1.95314346519271,-3.62919102686773,-3.99016918791332,-2.49964119814172,-2.60217477840633,-2.8239404628769,-3.17167888434919,-3.55504919558137,-2.98520845112062,-3.21331186495754,-1.70669330207026,-3.08348333152108,-2.01414422901117,-4.16202538182955,-3.4174749134229,-2.84171708595279,-2.42586212497898,-3.06617750129505,-3.21202801211202,-2.33819972525746,-1.71866278886465,-4.02424441547572,-2.87681957925296,-2.18504824069248,-3.47450937336898,-4.40236601687609,-4.18773972727342,-3.38182015425544,-2.72377816472429,-4.18211474688988,-2.91783610773557,-2.64842389449163,-2.90276311841644,-2.64169736701621,-2.07033279977382,-2.72685660052304,-2.10149741692802,-3.79111565737605,-2.82891490747329,-4.18877214957646,-4.48257194772638,-2.65599310911552,-2.75769895302674,-3.01761937542273,-1.59621780518459,-2.9481628757546,-4.00053142918876,-1.98591546801512,-3.36174336181915,-1.27640809964443,-3.73701900282422,-3.56410708189817,-2.45337442106844,-1.84715921398272,-3.84801677647962,-3.79594801063827,-1.60173911772005,-1.99841353096658,-5.15303453935347,-3.12699230708914,-2.47201017325862,-3.13344857607321,-2.41995578213932,-3.09794963565666,-3.28529252187603,-2.62157422608934,-3.34049109096962,-2.01396332065162,-3.01394326919677,-2.63537150246902,-2.57933569379339,-2.84888626144982,-4.14509560840202,-1.98926227270165,-2.61390815900429,-5.42834047204517,-3.10305619069955,-3.78374233781424,-3.56133432516021,-3.16512064873495,-3.64946850733071,-2.61168739939717
-1.7979797979798,-2.34628130973722,-1.88788610085811,-3.87592983804993,-2.61835469297401,-3.39932149187535,-2.47450257584296,-3.73304683323879,-1.07554648146471,-1.9360066527433,-2.78949206133642,-2.86622705132872,-2.62587543349429,-2.34582961039256,-3.11903350672221,-3.67441772784381,-3.02650931701756,-2.34332514395663,-2.92751729020184,-1.89737429266027,-3.58291442221162,-3.897985654439,-2.42926938125657,-2.53268119239549,-2.75802134480975,-3.09197557709482,-3.47043670153705,-2.90467584016075,-3.14217184350542,-1.63555944211692,-3.00814141036803,-1.88209527648802,-4.04877727204262,-3.35998174782154,-2.7771512180367,-2.38167474426224,-2.98449476802385,-3.12288355722221,-2.24345689635054,-1.67373324810701,-3.83654454569858,-2.78419530447874,-2.11576526276905,-3.37711334431073,-4.2842747560485,-4.15724677570576,-3.29998089808679,-2.66685230883959,-4.07891660973814,-2.82919642647428,-2.55642440473235,-2.7744508770692,-2.58090424180784,-1.97478081819663,-2.64282697593044,-2.05351202874567,-3.7067987769226,-2.7629402287512,-4.08135648785931,-4.40822915647358,-2.58960800932481,-2.74241496813188,-2.94010703378754,-1.5509133297204,-2.88550295667749,-3.93038338225624,-1.93418072823748,-3.24494196782947,-1.21704211262693,-3.66238937816176,-3.46494851119155,-2.40343976364904,-1.78514264786017,-3.75707713158963,-3.71872668113706,-1.51399619997149,-1.92897305737118,-5.01864403308167,-3.07534893192418,-2.39102527094343,-3.06805738674256,-2.3821847543246,-3.03225666402714,-3.22636724201597,-2.51060457649983,-3.23665332489089,-1.98648773625555,-2.94405931563567,-2.54422284296044,-2.44944920228166,-2.7998929780068,-4.0745747643535,-1.93705305654418,-2.54667184699422,-5.29877342410181,-3.00324451769756,-3.68858452696039,-3.4400680133683,-3.07399212462485,-3.61762999726885,-2.53812157711193
-1.75757575757576,-2.34888970068665,-1.76380447276748,-3.75932793028359,-2.48433447256231,-3.30957404981402,-2.40660362837472,-3.65117821836812,-0.993940689365229,-1.89721511461338,-2.68882878456636,-2.76922280106441,-2.60781637964982,-2.2985954659812,-3.01701306866266,-3.57341815012788,-2.94393265077274,-2.28703015694236,-2.86094650087659,-1.84130399111971,-3.52856411864935,-3.80264405558556,-2.35677485681577,-2.46265776936183,-2.69142181987647,-3.01223717193461,-3.38484849950404,-2.82494358353414,-3.07088983135553,-1.56464208452924,-2.933160015069,-1.75250615521775,-3.93491096224313,-3.2989471262544,-2.71259331069058,-2.34369063357229,-2.90262762371772,-3.04227751570025,-2.14966545503131,-1.62786343152383,-3.65736513745306,-2.69733137876433,-2.0466222073729,-3.27958002988114,-4.16613169159106,-4.12099698948269,-3.21949918777612,-2.608621228446,-3.97516932361917,-2.74046680335421,-2.46518023796021,-2.64570966948041,-2.52004639965618,-1.88119855580681,-2.55814959442637,-2.00518533790417,-3.62245479710405,-2.69682503320618,-3.97458266183475,-4.32772423189907,-2.52334659395677,-2.71300787467662,-2.86229914171853,-1.5051522537087,-2.82250327662737,-3.85768693285631,-1.88157951574249,-3.12756867892394,-1.16334568777273,-3.5876323595342,-3.37920869230868,-2.33651910140046,-1.72320386434271,-3.6662560146557,-3.64145438153715,-1.4274592295504,-1.85971359378604,-4.88436854501383,-3.01946768346035,-2.31364453149029,-3.00240946143321,-2.34328387050055,-2.96622600983468,-3.16694037386317,-2.40139120458046,-3.13904727355329,-1.95524495827229,-2.87300675246177,-2.45348511770606,-2.33986813362654,-2.74665762484717,-4.00375651076458,-1.88432382987669,-2.47941772260468,-5.16939646259974,-2.90348152396182,-3.58974722510941,-3.32890137640963,-2.98290982989638,-3.56846768317604,-2.4607472236296
-1.71717171717172,-2.32703431683771,-1.62872010759237,-3.64263606802866,-2.35491824806397,-3.22201227073447,-2.33846158692655,-3.56988936006882,-0.913041700717669,-1.86367052089809,-2.58920373825234,-2.67322690659789,-2.58458933779034,-2.24909719419176,-2.91191846805807,-3.47372064722156,-2.86150455035635,-2.23031346069982,-2.79452269262858,-1.78494462320966,-3.46677550640953,-3.7031593108273,-2.2827147097189,-2.39214356955411,-2.62409340861387,-2.93246586325051,-3.29737282839052,-2.74594631953307,-2.99947209006852,-1.49393408836924,-2.85852673188783,-1.6286128128544,-3.82059711039665,-3.23264465317282,-2.64804629374197,-2.31070869844961,-2.8204874446903,-2.96920225492587,-2.05682127205009,-1.58108476334378,-3.4965312604521,-2.61555288039093,-1.97762167166918,-3.1817952267677,-4.04796009739163,-4.07738441628165,-3.1400876054229,-2.54921109704335,-3.87096830401338,-2.65163857619171,-2.37468727100806,-2.5162803678599,-2.45912379461052,-1.78940900305126,-2.4728953403176,-1.95654414229621,-3.53808155343614,-2.6305408891252,-3.86897922932038,-4.24238969004067,-2.45718236776294,-2.66273669094778,-2.78421691732959,-1.45894698649788,-2.75916860349222,-3.78333759980552,-1.82814942950064,-3.0101951882604,-1.11506873157028,-3.51274550598081,-3.30540324723567,-2.25382305423281,-1.66135363936978,-3.57555388069073,-3.56413189881091,-1.34204336592875,-1.79063966321616,-4.75029392783163,-2.95978221926171,-2.23921890336251,-2.93650347357749,-2.30327189147103,-2.89986281422393,-3.10702708698536,-2.29420269956276,-3.04968183115273,-1.91833080137877,-2.80088285195246,-2.36314432111101,-2.25310717646522,-2.69116240171482,-3.93263763867518,-1.83109378927544,-2.41214707473862,-5.04021825031332,-2.80378249234425,-3.48826204872494,-3.22895119977848,-2.89187636812833,-3.50105942586385,-2.37981398156491
-1.67676767676768,-2.27927098787092,-1.48566309321768,-3.52581447434093,-2.23036904182001,-3.13720126051097,-2.27009235568003,-3.48944742738307,-0.832836176729952,-1.82946102639222,-2.49062975916918,-2.5780060871544,-2.55640526546653,-2.19756977328832,-2.80401961534905,-3.37522940850988,-2.77923508183325,-2.17318862576308,-2.72819114672377,-1.72829502651344,-3.39847473961994,-3.59938362681684,-2.20764409422635,-2.3211256476857,-2.55608787659511,-2.85266303430858,-3.20718447508582,-2.66762223605451,-2.92792443364948,-1.42342589856341,-2.7842297085839,-1.51456536622186,-3.70596191459851,-3.15993257682551,-2.58351228201768,-2.28140534103046,-2.73798326976091,-2.90208878052494,-1.96487719925164,-1.53342784974291,-3.35854982035452,-2.53840769215393,-1.90876723842458,-3.08366923128378,-3.92978941717155,-4.0250656081119,-3.06139221867867,-2.48859026902762,-3.76638754067561,-2.56272739989173,-2.28494123850325,-2.38664257928942,-2.39813675054301,-1.6994937098202,-2.38716492404197,-1.90758952313974,-3.45367574565043,-2.56404653862737,-3.76505829265326,-4.1533901024372,-2.3910887296945,-2.58835034348921,-2.70587984303509,-1.41230976112169,-2.69550364913309,-3.70792223040708,-1.77392670138589,-2.89333936651028,-1.07120984844937,-3.43773173130636,-3.24025942716914,-2.15774146323851,-1.59957613826724,-3.48496416552551,-3.48676002304283,-1.25776226827635,-1.72175090284646,-4.61647070396098,-2.89688799625531,-2.16691002309895,-2.87034516694107,-2.26215290824794,-2.83316681780472,-3.04664232869405,-2.18929966297281,-2.96955772594108,-1.87481968860277,-2.72776036067212,-2.27317885616994,-2.18936992719823,-2.63578700635796,-3.86121881990252,-1.77738151300178,-2.34486088468867,-4.91124728486499,-2.70415858339365,-3.38500989050059,-3.14113425988436,-2.80089427731443,-3.41544337180831,-2.29561561636401
-1.63636363636364,-2.2108427868388,-1.33844269762664,-3.40882797372696,-2.11029973907998,-3.05457740413973,-2.20151160753593,-3.41008227670467,-0.753310978276306,-1.78883209916337,-2.39306101170802,-2.48361939932971,-2.52383179440551,-2.14407046406196,-2.69303118883692,-3.27783144200058,-2.69711403640476,-2.1156729698421,-2.66194711951599,-1.67137402259493,-3.32456466546175,-3.49204039770808,-2.13214912185481,-2.24966354300664,-2.48736797114219,-2.77283002192366,-3.11363094496603,-2.58993225483882,-2.8562522360481,-1.35310846649332,-2.71025764041916,-1.41548211444251,-3.59113673161683,-3.08100480245584,-2.51899377155652,-2.25439731839718,-2.6550110562548,-2.83890594699883,-1.87381262945736,-1.48492247704656,-3.24293593273564,-2.46550514687381,-1.8400666256276,-2.985218040923,-3.81165447429763,-3.96315002674646,-2.98306932116625,-2.42629657816238,-3.66153614625945,-2.47372706153113,-2.1959377277724,-2.25829672062655,-2.33708740568829,-1.61147548197847,-2.30110591257269,-1.85832977056547,-3.36923270246948,-2.49730163072942,-3.66313696103364,-4.06162520391212,-2.32503268000211,-2.49144154354749,-2.62730084080805,-1.3652486193394,-2.63151306875739,-3.63179765606334,-1.7189462393374,-2.77737107537419,-1.0311786146233,-3.36259474697995,-3.17934818065684,-2.05133178155194,-1.53785182867872,-3.39448400821174,-3.40933954722379,-1.17460815073337,-1.6530417377423,-4.48291727304087,-2.83192320914471,-2.09574801526425,-2.8039464702094,-2.22000997421472,-2.76613983108833,-2.98580081594627,-2.08687339678587,-2.89865448703477,-1.82466217377851,-2.65371406512589,-2.18356438274542,-2.14591580151896,-2.58286755210315,-3.78949611731198,-1.72320496853407,-2.2775591604838,-4.78250216799195,-2.60462837144615,-3.28071457025653,-3.06570567264884,-2.70996602798128,-3.31192575501916,-2.20834459374534
