"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-1.23313980344044,-1.38306299049313,-3.00769663915156,-2.07765255154708,-1.66398044491626,-1.79439202657463,-3.38973397007989,0.530468518916155,-1.51418806259493,-1.63629751095781,-1.71333574944784,-2.55331008198595,-1.57721920284248,-1.8309408436011,-2.91781890753814,-2.27768595478109,-2.18093022446187,-2.27857546722522,-1.73377724737193,-2.91019090697217,-2.37838810356857,-1.86500189060988,-2.04703958930674,-2.0270581879483,-1.98798845486025,-1.75025363689515,-2.18505972333814,-2.83946403721161,-0.52149222903328,-2.21479018568097,-0.885851286501564,-3.50678306914648,-3.1187807704506,-2.29442401508872,-2.15290561983726,-1.37274005417028,-1.8081205246435,-0.713809981209555,-1.92308849833791,-1.86695471781179,-1.83128300502805,-1.16040506172836,-2.4181866764918,-3.48105496831998,-3.12129003622359,-2.28298460803526,-1.72354593942633,-3.1166763527999,-1.3924114092153,-1.83140716534669,-2.44317112342438,-2.31394437161848,-1.45578519373832,-0.782138965729512,-1.971684278617,-2.62430910660667,-2.29231097139111,-3.17618121416182,-3.30707957747734,-1.97107120049472,-1.04497579454814,-2.53883673847052,-1.12201792585943,-2.46398903239729,-3.60046697634428,-1.34080830175585,-1.77369501823651,-1.04993964139358,-2.99331265408491,-2.30124221470288,-1.43845422176848,-0.132155991008953,-2.99978388406753,-5.59503366999701,-0.722770347596384,-1.0550780244165,-4.08106394443572,-2.60922488344591,-1.51239983876039,-2.48647195932304,-2.75752670667389,-2.62914875990774,-3.5323982191396,-1.56658596538293,-2.83963969530305,-1.79611128297444,-2.33648484286968,-1.48919370486322,-1.69159683756255,-1.87487875297023,-3.89192008725216,-1.52888056297312,-1.841664212557,-4.50018386852752,-1.26908666195185,-2.33213581749059,-1.40794966420779,-2.1081277647738,-1.45067977488854,-0.0195104184423677
-1.95959595959596,-1.20924802894686,-1.32663180292917,-2.94932085669351,-1.96083115766283,-1.60496179412027,-1.7767020738113,-3.34645631445726,0.563857434600547,-1.38959133144701,-1.589668555016,-1.67785301156255,-2.52242785628779,-1.56135326870011,-1.77644393264809,-2.8691122022615,-2.22240021651319,-2.10652527865757,-2.19271129584118,-1.68884420568403,-2.87543614199818,-2.32368903168895,-1.82696912515597,-2.00230905110641,-1.99679101976816,-1.94654000843824,-1.70749803311502,-2.14946303212771,-2.76420460156509,-0.485589341419544,-2.17430404058211,-0.853734145732087,-3.42008024106082,-3.05559795061119,-2.25146149884169,-2.11205445763435,-1.30881014552641,-1.78224485240724,-0.67059561217698,-1.85516400063516,-1.82679177280047,-1.7796211841329,-1.13202157951188,-2.3688023938318,-3.4315916257883,-3.09462018976006,-2.22260775830934,-1.70601710596865,-3.05845590498682,-1.33038007269827,-1.75631507722817,-2.36593598776826,-2.28900990705176,-1.38863654320226,-0.751812167375,-1.94867743924828,-2.58566477113802,-2.25723075586904,-3.14171938206046,-3.27425714439362,-1.93601989847373,-1.0164183951416,-2.48604439717574,-1.08779061456868,-2.42673402918918,-3.54526105847718,-1.31386824385049,-1.71958562985251,-0.973746019790972,-2.95167683635763,-2.23620259655484,-1.39392549852319,-0.135270450297356,-2.96881553728072,-5.0708738106254,-0.665508316203244,-1.01983977155355,-4.01265956233057,-2.56570815378125,-1.45462039748948,-2.46102537857587,-2.71665797702132,-2.58068060379825,-3.47471640015603,-1.534512729372,-2.79829276200025,-1.75100539782287,-2.27688834808741,-1.43099883179025,-1.64088734337997,-1.84582442480776,-3.83771040858855,-1.48963067344252,-1.79784630040406,-4.4297678667327,-1.17604313943783,-2.2795136785097,-1.38547566568691,-2.03185317516527,-1.4318568189093,0.00161364442485046
-1.91919191919192,-1.18375309218607,-1.26635320347078,-2.88983836765861,-1.85023498927985,-1.54517674631894,-1.75765047022702,-3.30252914564465,0.59748153103856,-1.27467035035041,-1.54465287932562,-1.64335478290182,-2.4902420412077,-1.54559644220638,-1.72137964884625,-2.81995903877826,-2.16741700129479,-2.04332076234521,-2.11481836738888,-1.64395277596368,-2.83853112497303,-2.26767067244866,-1.78772720031693,-1.95696482619812,-1.96580682434413,-1.90165817987787,-1.66900230881621,-2.11397803159469,-2.68803942338286,-0.44938111595419,-2.13300943050227,-0.820909818769917,-3.33400775634806,-2.99744366709987,-2.20822688710682,-2.07298522727631,-1.24630011871514,-1.75689484205749,-0.62738057571771,-1.78777392750051,-1.78331070844254,-1.72783400999355,-1.10291136510901,-2.32008984635403,-3.37917404600845,-3.07043045077628,-2.16428891728725,-1.6863024297545,-2.9995295462602,-1.27012134226189,-1.67708603533787,-2.28909965182305,-2.25843651197819,-1.32340072114435,-0.721170999523194,-1.92396495297858,-2.54669246504973,-2.22063531858078,-3.10336117039551,-3.23812488838528,-1.900712643598,-0.987669537679922,-2.4329686800919,-1.05305039674309,-2.37817070137656,-3.48736911566806,-1.28585811949969,-1.66565608077217,-0.901279751603776,-2.91232527466583,-2.17200123840023,-1.34560906495838,-0.137958476891134,-2.94348480169672,-4.63401370041025,-0.608447896692737,-0.984144602659001,-3.94419913034228,-2.52004801204063,-1.39882302386833,-2.43431122233339,-2.67860349013949,-2.53207735061711,-3.41681686396917,-1.49988820627186,-2.74901424896032,-1.70805458649091,-2.21976737960323,-1.37275343651129,-1.59018977027852,-1.8159581522671,-3.78322439432721,-1.4491747565654,-1.75431247167225,-4.35565382548455,-1.07720718541481,-2.22672603774964,-1.36426186811073,-1.9611722855476,-1.41132727818705,0.0248682395419395
-1.87878787878788,-1.15611351584203,-1.20265935199316,-2.82928819608481,-1.74609959988714,-1.48516559565698,-1.73697712650891,-3.25809999211328,0.631398091750632,-1.16921494812626,-1.50162254059125,-1.60922584256711,-2.45640409873407,-1.52888733680951,-1.66583380353983,-2.77037128138684,-2.11284099175368,-1.99208212468564,-2.0450517211496,-1.59913448977358,-2.7992784937416,-2.21042487945262,-1.74656020987298,-1.91096734644382,-1.93401576054071,-1.85345009157825,-1.63328906701883,-2.07833491815117,-2.61160516234798,-0.412870176283776,-2.09095757111657,-0.787486201429327,-3.24855843603053,-2.94370987376368,-2.16473716098669,-2.03546596576393,-1.18561217228714,-1.73191942593472,-0.584165721788495,-1.72090881784152,-1.73635066867176,-1.67601061604529,-1.07309100843024,-2.27069850871879,-3.32436249838958,-3.04751694739396,-2.10804543480171,-1.66420050202455,-2.94002490133826,-1.21150621733789,-1.59501012250557,-2.21280741183143,-2.221784859461,-1.26009050316435,-0.69020821829549,-1.89720106616909,-2.50741988361675,-2.18253961589468,-3.06121983156246,-3.19855944938755,-1.86496699621045,-0.958434944264397,-2.37963673981395,-1.01781814845528,-2.31808369721626,-3.42722124377156,-1.2568164631337,-1.61208119639515,-0.832105368412823,-2.87443270578602,-2.10860386794157,-1.29368579353351,-0.139310685036439,-2.92323030715518,-4.27264597483299,-0.551666529868256,-0.948006948110701,-3.87569049911884,-2.47228849122995,-1.34547848708285,-2.40627230340879,-2.64106574598456,-2.48338554358859,-3.35871807202112,-1.46294674062623,-2.69275877961254,-1.66717739610778,-2.16472315405095,-1.31446260226049,-1.53958874378554,-1.78526541944135,-3.72881212241676,-1.40760233579506,-1.71103817426462,-4.27780326890207,-0.978496586788776,-2.17377515405058,-1.34391649430908,-1.89761947724611,-1.38914255221453,0.0501651648346512
-1.83838383838384,-1.12565007071553,-1.1362611027707,-2.76776812953524,-1.64817852731263,-1.42587384600989,-1.71448446148644,-3.21330142203062,0.665530926404021,-1.07231792420863,-1.46075490688983,-1.5748514794633,-2.42038334220634,-1.51011818063688,-1.60974716062257,-2.72035331485612,-2.05877956254116,-1.95143326307696,-1.98302775953094,-1.55446794353734,-2.75770569555945,-2.15200224993106,-1.70281899068398,-1.86436364721681,-1.9014428351504,-1.80213344303594,-1.59896949043697,-2.04218053364247,-2.53543021293462,-0.376059183355942,-2.04821963080485,-0.753577808460751,-3.1636993187998,-2.8930443060711,-2.12100320183959,-1.99920512997939,-1.12712106376359,-1.70708545444529,-0.540951856331592,-1.65458244528327,-1.68573382137294,-1.62421618950062,-1.04256847637933,-2.21951927069574,-3.2674355202357,-3.02473054110144,-2.05361756538393,-1.63956045145934,-2.88002928829629,-1.15442344331042,-1.51117265582039,-2.13715014209188,-2.17981903865067,-1.19853275636887,-0.658901929445055,-1.868152184554,-2.46785379268847,-2.14295388520283,-3.01545118479995,-3.1556225953093,-1.82867732255528,-0.928454902939575,-2.32606411390442,-0.982121496025158,-2.24716283183023,-3.36536021662908,-1.22675671227374,-1.55896283277959,-0.766187406420251,-2.83701460208518,-2.04595833358624,-1.23840098658793,-0.138540924534047,-2.90708237762411,-3.97543038349789,-0.495138953789542,-0.911423312886162,-3.8071415442194,-2.4225314029496,-1.29482034432562,-2.37681424867215,-2.60156404318318,-2.4346193697813,-3.30043804793464,-1.42395706790265,-2.63232870330878,-1.62821547577273,-2.1113823478231,-1.25613014750271,-1.48916570383139,-1.7537232533443,-3.67501961057089,-1.36484617289391,-1.66798209808366,-4.19622166780432,-0.883862298268314,-2.12067705513313,-1.32416257608539,-1.8413499585586,-1.36527113082507,0.0773589700275291
-1.7979797979798,-1.09132244651852,-1.06759509589372,-2.70533459387942,-1.55615362099562,-1.36864575534851,-1.69000146295565,-3.16825451045481,0.699867574339999,-0.982866194739027,-1.42209142394036,-1.53967711661205,-2.38207332205047,-1.48803588504567,-1.55315437849207,-2.66993262655067,-2.00531436463807,-1.91902993555295,-1.92772390644592,-1.5101490771337,-2.71404257108854,-2.09246805249512,-1.6558517859919,-1.81714330818836,-1.86796813912797,-1.74796529785673,-1.56469682150681,-2.00510604402057,-2.46006900619386,-0.338950834801594,-2.0048547803256,-0.719316629275708,-3.07948496809301,-2.84412280056342,-2.07702808808877,-1.96394099387756,-1.07115418328546,-1.6819968991352,-0.49773974178791,-1.58878335644362,-1.63133698821001,-1.57249690097647,-1.01134770270325,-2.16558639870999,-3.20836899619926,-3.00120822202487,-2.0008362069941,-1.61226857852088,-2.81962015743934,-1.09874181107114,-1.42674225449589,-2.06228148430236,-2.13298595942804,-1.13853834667183,-0.627264576897452,-1.83659026334687,-2.42799289055377,-2.10192530994608,-2.9664653916304,-3.10947990127813,-1.79182030272595,-0.897230153283612,-2.27226654667639,-0.945992887871696,-2.16665189095016,-3.30231694733737,-1.19571368111152,-1.50627496918359,-0.703277748069204,-2.79898113646658,-1.983835091753,-1.17993056069754,-0.13490180218425,-2.89398026974913,-3.7321990514471,-0.438882815230629,-0.874430976457537,-3.7385609911901,-2.37097513614265,-1.24690134425579,-2.34597136974463,-2.55761742056338,-2.38581177943856,-3.24199436941559,-1.38315681627343,-2.57154506048674,-1.59049720838084,-2.05943244444818,-1.19776229272781,-1.43898857983056,-1.72131723440548,-3.62248196563428,-1.32096427462278,-1.62510494264823,-4.11089177540945,-0.794730366723912,-2.06743997485674,-1.30473151296122,-1.79092519309954,-1.33966209266631,0.106351640067493
-1.75757575757576,-1.0528666227248,-0.997021811128345,-2.64202996730336,-1.46947534314719,-1.31510799678522,-1.66342284785551,-3.12306245281397,0.734399828501057,-0.900230803783723,-1.38532937558402,-1.50315753480808,-2.341298939871,-1.46208480870262,-1.49611752296339,-2.61912726058488,-1.9524268548972,-1.89207299940221,-1.87827607822738,-1.4664520894468,-2.66866800512261,-2.0318708736788,-1.60506460520407,-1.76931030708186,-1.83361817354104,-1.69132135747104,-1.52949071703485,-1.96677451769795,-2.38591878516175,-0.301547864317498,-1.96092122854974,-0.684837802918388,-2.99592602982009,-2.79567521571593,-2.03283257501975,-1.9293652327295,-1.01797982832601,-1.65616676750532,-0.45453012379717,-1.52350445661006,-1.57302960203228,-1.5208707040816,-0.97947107302201,-2.10820901610869,-3.14720864367216,-2.97638808324521,-1.94950816102175,-1.58225864931852,-2.75889845016294,-1.04432146279358,-1.34291120864546,-1.98837180809876,-2.08226030515198,-1.08005973432021,-0.595289648592829,-1.80215992046183,-2.38783583584475,-2.05948358536931,-2.91472962777903,-3.06036044895934,-1.75438390816836,-0.864065368646626,-2.21824922324199,-0.909446786050169,-2.07838156713954,-3.23855516409066,-1.16375340487352,-1.4537073988684,-0.643070135363649,-2.75908816083679,-1.92189824288761,-1.11867895025105,-0.127673368835416,-2.88278145650358,-3.53429712756853,-0.382900911321842,-0.837046173854737,-3.66995675660125,-2.31796281380045,-1.2016388416944,-2.31371936990549,-2.50754511236312,-2.33696560463536,-3.1834041612865,-1.34075466006547,-2.51410754406446,-1.55298405127987,-2.00853041048594,-1.13936447559221,-1.3891160723986,-1.68805032371579,-3.57167626692348,-1.27574120787377,-1.58239028553024,-4.02247811917341,-0.711925453267235,-2.01407214080469,-1.28538130500327,-1.74379770272984,-1.31218821865219,0.137033196244911
-1.71717171717172,-1.01102215487656,-0.9251126036028,-2.57784206693957,-1.38737456238221,-1.2666496416701,-1.63462855996468,-3.07780596708871,0.769097696122109,-0.823743270696303,-1.35004412395747,-1.46476596389931,-2.29788712702582,-1.43153487489591,-1.43858179664728,-2.56795102717976,-1.90009082099563,-1.868046441543,-1.83373902438163,-1.42361192083686,-2.62200300723879,-1.97025618381334,-1.5500734377258,-1.72089403117975,-1.79828514674717,-1.63276486310014,-1.49262125551952,-1.92697138994281,-2.31304218283041,-0.263850612770817,-1.91647487231457,-0.650274005053868,-2.91299150180644,-2.74676624828386,-1.98841624877898,-1.89516868745672,-0.967824801007557,-1.62910913612477,-0.411323767564246,-1.45873411475361,-1.51074560381858,-1.46932439161265,-0.946957054733647,-2.04687141980779,-3.0836974499754,-2.94975732648466,-1.89941883783998,-1.54949829035845,-2.69794241252087,-0.991016215151865,-1.26123710224646,-1.915485508641,-2.02867516717442,-1.02290370192435,-0.562969631724866,-1.76487286086468,-2.3474067272568,-2.01570577062253,-2.86068623367643,-3.00852641390695,-1.71638808689693,-0.828404323733189,-2.16403685902527,-0.872511950378293,-1.98465311597536,-3.17447083286679,-1.13091052323201,-1.40074490215973,-0.585575935628355,-2.71576606829338,-1.85971964334149,-1.05500017567296,-0.116285136883172,-2.87223377455418,-3.37425787737517,-0.32720263000664,-0.799272296504008,-3.60133784309213,-2.26370878816284,-1.15882800530499,-2.27999622336441,-2.45011817842602,-2.28810184638007,-3.12468408962886,-1.29688545278987,-2.46253749620993,-1.51450441392611,-1.95838713561413,-1.08094163941487,-1.33959375930429,-1.65390873798429,-3.52276781623224,-1.22882827635659,-1.53979821099285,-3.93148108360712,-0.634932783510638,-1.96058176945169,-1.26592720981093,-1.69717708485603,-1.28268490010224,0.16930952973956
-1.67676767676768,-0.967620024802477,-0.852365140154243,-2.51280400703781,-1.30897199583084,-1.22326724505376,-1.60354907819957,-3.03254468236856,0.803974238859531,-0.752673552843084,-1.31564331580314,-1.42409608760884,-2.2517327625805,-1.39652792350688,-1.38064695674295,-2.51641948541901,-1.84828321167736,-1.84442425426203,-1.79343934468537,-1.38165635387822,-2.57442468863266,-1.90770043998953,-1.4908895727347,-1.67186829335256,-1.76198548475969,-1.57303374575458,-1.45351952130403,-1.88567614043797,-2.24126848144781,-0.225863202948516,-1.87157325814332,-0.615751246647225,-2.83068234848728,-2.69684855221699,-1.94379682367406,-1.86099572794116,-0.920834531685408,-1.60028985934393,-0.368121233946358,-1.39446591181319,-1.44463655125914,-1.41781097555461,-0.913820197273371,-1.98130523297789,-3.01727523340574,-2.9207284210607,-1.85030333453277,-1.51397953644777,-2.63681233476143,-0.938672680994027,-1.18386677216803,-1.84372597690475,-1.97371966641984,-0.966953217241073,-0.530275323921116,-1.72457050596759,-2.30670891371845,-1.97065641208095,-2.8047440126131,-2.95425095449914,-1.67784925557215,-0.789691199611784,-2.10965306929821,-0.835218471141116,-1.88808598977844,-3.11036205579941,-1.09721879582519,-1.34672374959386,-0.530391350115846,-2.66740792918836,-1.79680620426972,-0.989283844401662,-0.100382687987637,-2.86000358429126,-3.24479831234234,-0.271789343816119,-0.761125200796947,-3.53271320935556,-2.20843040201703,-1.11815187828224,-2.24479215841102,-2.38484103933606,-2.23921959396859,-3.06585035700854,-1.2516152854944,-2.41790105859705,-1.47427749026696,-1.90877023796362,-1.02249844728632,-1.29045481053252,-1.61888386013192,-3.4752110181791,-1.17972818517494,-1.49729882963294,-3.83852416644197,-0.562771507685846,-1.90697507091319,-1.24619897727075,-1.64865409920326,-1.25099204827003,0.203076678266213
-1.63636363636364,-0.924580426844467,-0.779493552587579,-2.4469367524509,-1.23332155626279,-1.18291929432793,-1.57010689329335,-2.98732399363112,0.83904687675287,-0.686206694443071,-1.28127608760545,-1.38067063013655,-2.20306396393094,-1.35707594037373,-1.32231641198053,-2.46454826117629,-1.79685566523322,-1.81904090934267,-1.75634298875039,-1.34019611858086,-2.52622489703934,-1.84430895035333,-1.4281155261737,-1.62227972347379,-1.72460763687346,-1.51295170255569,-1.41188470661901,-1.84305940231968,-2.17016419196048,-0.187589656280462,-1.82626797029811,-0.58138175207702,-2.74901319262726,-2.64583959512319,-1.89898250576801,-1.82647293014352,-0.877146472974196,-1.56928402833867,-0.324923113170546,-1.33072447422159,-1.37482238805311,-1.36625574421936,-0.880057321288813,-1.91156726504034,-2.9474737224417,-2.88840294626087,-1.80178898516424,-1.47577054567368,-2.57558360636641,-0.887134919281433,-1.11299564042136,-1.77323318117959,-1.91929325621111,-0.912109347974626,-0.497235759876869,-1.68129735507574,-2.26572514837021,-1.92443301686615,-2.7474844073232,-2.89780015227272,-1.63882687263033,-0.74768556249742,-2.05511018380763,-0.797579966050272,-1.79162629133269,-3.04644174095721,-1.0627111192096,-1.29104243453493,-0.477414063991968,-2.61274183357485,-1.7326807047721,-0.921943218641909,-0.0797784355530138,-2.84242094570634,-3.13956721623371,-0.216689519470649,-0.722634526270949,-3.46409294654329,-2.15267207487427,-1.07920571495057,-2.20814181531871,-2.31271246584245,-2.19032800249129,-3.00691869875538,-1.20492681734272,-2.38015199572222,-1.43213895497736,-1.85946478033615,-0.964039811299449,-1.24171349057614,-1.58296756236243,-3.42789797232957,-1.12795576690685,-1.45486654645568,-3.74410723170917,-0.494643701966798,-1.85325930952708,-1.22605138735358,-1.59652455587087,-1.21701113693041,0.238259349336549
