"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,0.10807506915681,-1.75679155751134,-3.62999191031326,-1.15221169272934,-1.23753273774037,-1.8548005326774,-3.94186077419181,0.634339824150311,-0.921772277445034,-1.77544306931034,-2.44773772247171,-2.77359498251004,-1.69201661291887,-2.13400678543957,-3.43215766444122,-2.33999940383309,-2.69131387869663,-2.09425611147551,-2.26544796073175,-3.16402913073441,-3.03777623754331,-1.68543241874251,-2.33454865596138,-2.31179291213392,-1.27741097395753,-1.78395100627613,-2.04959109600547,-2.37181274061321,-0.181050592711123,-2.11348800443009,-1.10257402642287,-2.51743951182368,-3.53908756937568,-2.49729649747571,-2.28644686116298,-1.25340046405512,-2.21843926278488,0.350373209763425,-2.04492729272619,-1.85842447632043,-2.27021692993246,-0.542745923587217,-2.279066775806,-4.10669852771689,-3.1552197689523,-1.86806094212854,-1.24493496026227,-3.02430550016458,-0.85849626949855,-2.17953461803213,-3.4949887850318,-2.11831946282023,-1.38803585018159,-1.92935460102363,-2.03248396305845,-3.07371400569123,-2.99252866936417,-3.27457913393132,-3.28074498209235,-1.84461921599412,-0.188656985479018,-3.45141970749144,0.180097467400171,-2.96963625276525,-4.04181931078425,-2.00419149557073,-1.98177989470393,-1.01354875802053,-3.46232753545422,-1.84739948043696,-1.16074419039538,-0.607044255077937,-2.83561711254115,-3.63643868149744,-2.69244051423039,-1.47834125071628,-4.56284995467532,-2.32176981033351,-2.19707536275672,-2.79970982958281,-2.86630827363735,-2.823665226984,-2.76810482069085,-1.03320823317683,-3.40744552120246,-1.43205571966229,-3.01606576389075,-1.88402624534006,-2.2187417029656,-2.12584247608223,-3.70713642740744,-1.25923522282021,-2.34069804875975,-3.08931007003763,-0.516466693557323,-2.98363173448258,-2.29804232401857,-2.94069371493315,-1.83111666304895,-0.778968449550757
-1.95959595959596,0.128229280311736,-1.65133029463988,-3.53374212616401,-1.11679943959602,-1.16893105524701,-1.83731421678996,-3.84175400614662,0.674665485796567,-0.841084656629811,-1.72561750969005,-2.36382814563468,-2.72648182630491,-1.65832991340433,-2.05968278980327,-3.37637530179336,-2.28393802246002,-2.63262653055084,-2.03154652411396,-2.20033614546681,-3.10588699752449,-2.92945198040472,-1.64231059814472,-2.27410919255279,-2.26283827234149,-1.20865843964296,-1.71414316965894,-2.01529912185046,-2.32772351311867,-0.140567959974723,-2.06086344570484,-1.05846792254305,-2.473523119965,-3.47836374076886,-2.45048394992547,-2.24501605486981,-1.16530098143194,-2.16230407769976,0.3690934885703,-1.9811440683173,-1.77683184637052,-2.20111972607993,-0.53981998668309,-2.20374453775272,-4.01405986828754,-3.08475462340359,-1.81559304714414,-1.20103726127538,-2.98882847759778,-0.82604529899741,-2.05337453789291,-3.33665042780325,-2.08046988526839,-1.33307999820621,-1.82975265707831,-1.99656578172494,-3.00744043461903,-2.91424122912272,-3.22146428632952,-3.23215010490772,-1.81551064366173,-0.157875183765733,-3.31697120812549,0.18801434497192,-2.89360538132411,-3.96866384202595,-1.92692362772607,-2.01160757256777,-0.964431328540106,-3.39286977008542,-1.80460511275923,-1.11162977243181,-0.577878817146193,-2.76355987282655,-3.54690151021708,-2.49615338295119,-1.42322443662631,-4.48819985627655,-2.26608902104372,-2.14639194382357,-2.75017111415814,-2.80735084172204,-2.76696903269005,-2.76994789974972,-0.991220737157028,-3.27977765826173,-1.40855764473009,-2.9126688164373,-1.81989389113705,-2.16737183268569,-2.08464689329324,-3.63289912763123,-1.2229656292006,-2.28902769338959,-3.05047942264666,-0.45533278780425,-2.79868386665039,-2.21086121915283,-2.83393356559577,-1.78783539069501,-0.739362455881535
-1.91919191919192,0.148491151453657,-1.54447287727271,-3.43816812171996,-1.08105048946428,-1.09899083468403,-1.81991342870731,-3.74222332280642,0.714913697253784,-0.773011745518431,-1.6757894314732,-2.2804018398483,-2.67698540077477,-1.62342724173111,-1.97961047315019,-3.32040078647896,-2.22797124882721,-2.57373249940853,-1.96891102402611,-2.13544726543738,-3.04762776885267,-2.82188336325601,-1.59916650694558,-2.2136859999181,-2.21372588937878,-1.14175352131465,-1.64535819525169,-1.98056652633353,-2.28315771934123,-0.100106727722449,-2.00877080344869,-1.0144111923587,-2.42887665136991,-3.41767080452899,-2.40344068446343,-2.20324614533729,-1.07931497379752,-2.10610993979409,0.387635380837815,-1.91755753109052,-1.68426403975509,-2.13250923345987,-0.53468009116133,-2.1294190250282,-3.92114824034967,-3.01454141766382,-1.76792237108325,-1.15702807454881,-2.95213009342791,-0.794923733439074,-1.9277961177256,-3.17739167719385,-2.04240887330217,-1.27853182002664,-1.73258212387026,-1.95759946182678,-2.94154601518423,-2.8361799232678,-3.16065160261621,-3.18335824765541,-1.79235782652529,-0.127113866590131,-3.15372211739025,0.196846686517643,-2.818202772572,-3.89453771834447,-1.85149569209672,-2.03726167256206,-0.91553253529673,-3.32226775186333,-1.76191274318683,-1.06227317319337,-0.548481544429212,-2.691525925782,-3.46875424309911,-2.30501341312169,-1.36842498216558,-4.4138930928249,-2.2102538300144,-2.09518183397459,-2.700311991912,-2.74862728205738,-2.7103537202577,-2.7686541520109,-0.949357646441985,-3.15058095672104,-1.38472217950232,-2.80868683949522,-1.75397914506843,-2.11613309547624,-2.04303764938183,-3.55897884627372,-1.18627212238469,-2.2373152113566,-3.01164325747901,-0.394041545403508,-2.64156255049544,-2.1225943317315,-2.72854630686813,-1.74355994042985,-0.687917666199992
-1.87878787878788,0.168859284437764,-1.43664125701804,-3.34331286847915,-1.0449679688378,-1.02782666000682,-1.8022556309459,-3.64380567208655,0.755081405618634,-0.722071583773313,-1.62595393149758,-2.19759206903016,-2.62504990836392,-1.58727476756394,-1.89460241753342,-3.26424375606235,-2.17210076851484,-2.51462419330052,-1.90637899459107,-2.07079663417194,-2.989271936294,-2.71632943999645,-1.55600233862652,-2.15328636947582,-2.16444840866457,-1.07678971511582,-1.57764144755911,-1.94539562474831,-2.2381461384276,-0.0596653478872834,-1.95720296116448,-0.97040355546294,-2.38353909262874,-3.35701092955774,-2.35616687771115,-2.16114650206672,-0.996046203601872,-2.04986061754011,0.406024248255061,-1.85416836574431,-1.58705169841502,-2.064384761422,-0.527470870071126,-2.05608637893023,-3.82795541575984,-2.94458961065377,-1.72503025962588,-1.11290737957671,-2.91430775680829,-0.764831766120031,-1.80308021282271,-3.01874545013923,-2.00412580016683,-1.22441685264786,-1.63782284199358,-1.91590432692831,-2.87600450862959,-2.75838069654469,-3.09281853119429,-3.13437571368075,-1.77391229276337,-0.0963808105855496,-2.97311381850341,0.206564409214429,-2.74346620720499,-3.81948693869476,-1.77785585929696,-2.05436980416699,-0.866836540301567,-3.25061864292639,-1.71932291737548,-1.01268196786504,-0.518844517367021,-2.61952170941988,-3.40145534979302,-2.11946064083425,-1.31394931229092,-4.33992813776763,-2.15430080395367,-2.04344998974743,-2.65014647439756,-2.6901348706357,-2.65381997694087,-2.76433921138371,-0.90761732736683,-3.0236208407354,-1.36056848657281,-2.7046960674077,-1.68649665371996,-2.06502479671309,-2.00102838550576,-3.48538748597409,-1.14916674237866,-2.18555783431155,-2.97280166686162,-0.332658195415924,-2.50985409657712,-2.03453356994238,-2.62481157950468,-1.69834964628399,-0.626402308692584
-1.83838383838384,0.189332340364612,-1.3283701543833,-3.24917930348722,-1.00855519095339,-0.955562576305439,-1.78396594800961,-3.54697552432021,0.795167266412618,-0.688696654676707,-1.57610573502148,-2.11554627833681,-2.57024679297458,-1.54997661807939,-1.80420978696536,-3.2079093173348,-2.11633221408452,-2.45534297724318,-1.84394803493227,-2.00638655208522,-2.93083837672024,-2.61338332855224,-1.51282097931174,-2.09291481218503,-2.11502320418419,-1.01383991470665,-1.51102468027016,-1.90980897758193,-2.19271853650345,-0.0192423799412959,-1.90615231538495,-0.926446177056259,-2.33755129628013,-3.29638418255538,-2.30865928059093,-2.11872651475255,-0.915974781036985,-1.9935598646484,0.424276880704767,-1.79097707722392,-1.49312938089549,-1.99673544653213,-0.51825316373927,-1.9837406883004,-3.7344593321638,-2.87490870337169,-1.68626904816707,-1.06867515915201,-2.87540314477749,-0.735426220355954,-1.67952593177254,-2.86261605704824,-1.965638055985,-1.17074090972682,-1.54560056786933,-1.87178654858519,-2.81081324697534,-2.68087034028178,-3.01866420107164,-3.08520867705954,-1.75870529643177,-0.0656837849296376,-2.78463868258456,0.217138060724036,-2.66943969023441,-3.74356512973758,-1.70599598821732,-2.05703787934084,-0.818349129619806,-3.17807704226776,-1.67683615820252,-0.962863538688647,-0.488960634441446,-2.54755374664904,-3.34399772323464,-1.93930467285472,-1.25981252264711,-4.26630351955345,-2.09823987986747,-1.99121473493811,-2.59968042494333,-2.63188266697025,-2.59737178218069,-2.75711659984971,-0.86599758061083,-2.90371452878293,-1.3360915658073,-2.60104900299014,-1.61742297309108,-2.01404623445733,-1.95862576994059,-3.4121346174353,-1.11167438013191,-2.1337560506173,-2.93395472623425,-0.271225909504501,-2.39661879532675,-1.94823625832828,-2.52284182603346,-1.65223896711614,-0.558191324329758
-1.7979797979798,0.209910635170442,-1.22009372214516,-3.15578144657872,-0.971815644373184,-0.882512231570047,-1.76461297985767,-3.45212820857159,0.835171148018619,-0.670440133574946,-1.52623945781558,-2.03434069928529,-2.51283760876742,-1.51150451249683,-1.7088155349013,-3.15141107681954,-2.06066931196948,-2.39589984534302,-1.78162530953584,-1.942226163554,-2.87234577703608,-2.51306078630347,-1.46962500048653,-2.03257812951866,-2.06544433892622,-0.952953386574192,-1.44555447239709,-1.87381810119285,-2.14690367035899,0.0211635080259392,-1.85561080041041,-0.882538388038001,-2.29093838065283,-3.23579133330787,-2.26090853243624,-2.07599226687608,-0.839591918981661,-1.93721024329891,0.44243825294178,-1.72798399390463,-1.41110723971938,-1.92955964031892,-0.50707983598451,-1.91238942860099,-3.64059854952383,-2.8055082357002,-1.65123154039614,-1.02433139707675,-2.835450411326,-0.706341560783182,-1.55777531181481,-2.71060250591965,-1.92694037149232,-1.11750036321889,-1.45585636817874,-1.82555763578755,-2.7459793196878,-2.60367282484442,-2.93932086326041,-3.03586318384862,-1.74563228049921,-0.0350307924748989,-2.59664167068676,0.228538818587714,-2.59618486060624,-3.66683612767844,-1.63587094918117,-2.03924829723453,-0.770068213670735,-3.10479028450383,-1.6344529648944,-0.912820988347296,-0.458825917101197,-2.47562864192776,-3.29519171965259,-1.76477933624256,-1.20599577673691,-4.19301783184242,-2.04209097779144,-1.93849569720591,-2.54894461641742,-2.5738780195415,-2.54100701152749,-2.74709766804276,-0.824497068245446,-2.79556288275677,-1.31130312895717,-2.49822967472405,-1.54693513382976,-1.96319670205412,-1.91584225354307,-3.33923975843348,-1.0738203022497,-2.08191061814799,-2.89510220559335,-0.209754695077502,-2.29611839167547,-1.86561591280944,-2.42263554301649,-1.60527072199921,-0.486916776291585
-1.75757575757576,0.230592484474684,-1.11230566843976,-3.0631408815662,-0.934752981900552,-0.808758820552461,-1.74377291193308,-3.35957007825794,0.875091613292452,-0.663925531241283,-1.47635062091734,-1.95410568640975,-2.45284936525632,-1.47196473035443,-1.60888781400815,-3.09475871704435,-2.00510820527932,-2.3363271524292,-1.71942113970453,-1.87832324509282,-2.8138126184256,-2.41512366344016,-1.42641681842854,-1.97228260566386,-2.01572841657902,-0.894252012433563,-1.38117316619802,-1.83743428296666,-2.10072929152161,0.0615535382125968,-1.80556991385502,-0.838679402642106,-2.24369617475739,-3.17523326759074,-2.21293540965474,-2.0329499416634,-0.767342569352247,-1.88081625432213,0.46055687250619,-1.66518927089318,-1.34891896082226,-1.86285574810443,-0.494132518911282,-1.84202780447315,-3.54638697531859,-2.73639778289697,-1.61948022578267,-0.979876075924812,-2.7945495530977,-0.677208097161955,-1.43870049378497,-2.56461404953599,-1.88804264456609,-1.06473130310781,-1.36847257389503,-1.77738477277265,-2.68150932735028,-2.52681366160301,-2.85596176636177,-2.98634515340168,-1.73381235373236,-0.00443057486008721,-2.41631577119061,0.240738488980562,-2.5237248261788,-3.58936837702468,-1.56737905751825,-1.99629465769136,-0.721985811622778,-3.03089840793548,-1.59217381216428,-0.862564842312939,-0.428424262991057,-2.40375320825521,-3.2539217310703,-1.59605308150251,-1.1524972935113,-4.12006974374427,-1.98587402311428,-1.88530723852491,-2.49795583685087,-2.51611464249285,-2.48472585924417,-2.73439154188498,-0.783114444533771,-2.70306696479196,-1.28621780791256,-2.39665619167093,-1.47515863054456,-1.91247549072795,-1.87269722492382,-3.266711345901,-1.035623387656,-2.03001974540704,-2.85624457608448,-0.148306568468154,-2.2036477042757,-1.78843064741008,-2.32413079147024,-1.55748109370841,-0.415722714636804
-1.71717171717172,0.25137554002353,-1.00537372454571,-2.97130518265184,-0.897371009830092,-0.734479961683606,-1.72103632098552,-3.26953866346242,0.914927239461624,-0.665350738506405,-1.42643435759721,-1.87489568151926,-2.3902456667583,-1.43128477242408,-1.50434934127499,-3.03796113772268,-1.94965059887175,-2.27665387489036,-1.65733923334681,-1.81468000064565,-2.75525716134051,-2.31922771036351,-1.38319880186705,-1.91203263139019,-1.96587188178237,-0.837711219843582,-1.3178598183416,-1.80066857651228,-2.05422215070225,0.101928706757738,-1.75602074287915,-0.794869305307076,-2.19588211846383,-3.11471082488532,-2.16472405344203,-1.98960581303466,-0.699602482564052,-1.8243823262741,0.478580653610408,-1.60259289343862,-1.31031874578834,-1.79662222634388,-0.479516857954322,-1.77263777066549,-3.45181223731633,-2.66758695175161,-1.59055017049809,-0.935309174858242,-2.75275054486619,-0.647697974441654,-1.32374548991044,-2.42582817003987,-1.84894672715727,-1.0124182487444,-1.28346760200675,-1.72760098025216,-2.61738024786968,-2.45030575007997,-2.76971965015682,-2.93666037974592,-1.72253080450825,0.0261100181216863,-2.24871972144719,0.253709504851276,-2.45210484512612,-3.51123759794068,-1.50047300581787,-1.92658136440944,-0.674113136236396,-2.95653697379295,-1.54999914936086,-0.812102824774591,-0.39774469219883,-2.3319360843134,-3.218965964378,-1.4329614420732,-1.0993180956595,-4.04745801008666,-1.92960858062321,-1.83166383993225,-2.44672332310678,-2.45859857139224,-2.42852896575715,-2.71910507519928,-0.741848354604871,-2.62803158062039,-1.26082795078325,-2.29664436114323,-1.40223801815099,-1.86188189217012,-1.82920217234731,-3.19456859784131,-0.997101889191644,-1.97808557159226,-2.81738194337435,-0.0868647056336599,-2.11602553769206,-1.71833022664414,-2.22717524615053,-1.5089216247953,-0.346820133455852
-1.67676767676768,0.272258704371832,-0.899691684125099,-2.88028001447257,-0.859673677540298,-0.659852168242296,-1.69603600759854,-3.18221992763285,0.954676616756722,-0.670302543927709,-1.37648444726173,-1.79674626791795,-2.32507461683553,-1.38957998084817,-1.39625612021454,-2.98102706036347,-1.89430655535511,-2.21689866975292,-1.59538367485029,-1.75131032230375,-2.69669743131903,-2.22502935985808,-1.33997327073005,-1.85183787274657,-1.91588998308427,-0.783358907871826,-1.25558187095585,-1.76353179721387,-2.00740800260172,0.142290091601825,-1.70695399098709,-0.75110826338277,-2.14752021450413,-3.05422569250079,-2.1162880834792,-1.94596623675218,-0.636715981993581,-1.76791213032613,0.496587587702641,-1.54019468044362,-1.29197204915049,-1.73085757984341,-0.463312330019496,-1.70421443969656,-3.35684702457576,-2.59907650966806,-1.56389697746384,-0.890630667498224,-2.71006437687336,-0.617490653743475,-1.21508569799796,-2.29515826564429,-1.80965559601571,-0.96057324805266,-1.20085040211527,-1.67642196956287,-2.55358894558129,-2.37417863878047,-2.68167688043629,-2.88681453301536,-1.71112996761315,0.0565832784096974,-2.09638789453374,0.267424923473347,-2.38134819317336,-3.4325234173835,-1.43510655165838,-1.83219976793991,-0.626434888751567,-2.88188257786076,-1.50792939962939,-0.761441606965259,-0.366788701348485,-2.26018252188764,-3.18926265012428,-1.27555561018934,-1.04642871847191,-3.97518148171438,-1.87331615595989,-1.77758008235296,-2.39526877980484,-2.40133927987684,-2.3724184056796,-2.70134280819986,-0.700697433183117,-2.57094835357433,-1.23515042123427,-2.19851024623952,-1.32823084226983,-1.81141520111419,-1.78536807594507,-3.12282857095552,-0.958273439249844,-1.92610986629771,-2.7785144149724,-0.0254967151602461,-2.03155254994645,-1.65669698265794,-2.13158591386101,-1.45963516629224,-0.281227912761852
-1.63636363636364,0.293240939019747,-0.79571923252353,-2.79007464998547,-0.821665067435762,-0.585043375673541,-1.66844999436552,-3.09777410481515,0.994338347007647,-0.674075503514789,-1.32649644112528,-1.71964971212314,-2.25762742712255,-1.34682071842734,-1.28475664437161,-2.92396502906503,-1.83907175138104,-2.15710126751645,-1.53356421414023,-1.6882087964218,-2.63815120571472,-2.1320897685959,-1.29674249495337,-1.79170071300516,-1.86578159850813,-0.731221184479404,-1.19428880540183,-1.72603451813311,-1.96031161106306,0.182638634197572,-1.65836000527166,-0.707398532863631,-2.09862228585164,-2.99377834860948,-2.06762989314876,-1.90203369653806,-0.578998740596727,-1.71140931294496,0.514594369869227,-1.47799428806787,-1.28612740721375,-1.66556035886124,-0.445568727466875,-1.63674360097047,-3.26150518067013,-2.53089357323943,-1.53874025631098,-0.845840519851754,-2.66659006552526,-0.586287100311164,-1.11543087499435,-2.17350744035507,-1.77017765034236,-0.909221517118414,-1.12047826481864,-1.62404361804388,-2.49014450634755,-2.29844429338273,-2.59290323193905,-2.83681316093698,-1.69899662024757,0.0869815208696479,-1.96027608468192,0.281865233404296,-2.3114850330267,-3.35331690025631,-1.37123451232255,-1.71830582029759,-0.578957166528944,-2.80709690206237,-1.46596495908603,-0.710587704946337,-0.335548767582343,-2.18849942004909,-3.1635467090573,-1.12406569294824,-0.993893662088962,-3.90324186995047,-1.81701649068706,-1.7230706278732,-2.34361396376599,-2.34432707124522,-2.31639581805894,-2.68120693174351,-0.659660303371472,-2.53117103938222,-1.20919582409685,-2.10252835965673,-1.25318994704163,-1.76107471789524,-1.74121193970963,-3.05150960584089,-0.919155056066293,-1.874092114731,-2.73964188778087,0.0357240830075017,-1.94949565263431,-1.60431357859839,-2.0373749175809,-1.40966081390075,-0.219318567918001
