"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-1.07992437863128,-2.14750283714823,-6.29362077501388,-1.07010072321239,-0.676441513018706,-2.54393306446836,-3.97058813781204,0.37303442649603,-1.46005958042974,-1.8662321998466,-1.60426114373013,-2.59335533910126,-1.51996288155661,-2.61476783614786,-3.00891350665471,-2.22015330099662,-2.23315799906789,-2.32227338924484,-1.79214500481552,-3.18793293774552,-2.58673377679685,-2.07678500134246,-2.47062112227607,-2.40887907108883,-1.58062276819927,-1.35158006423364,-1.9689813817437,-2.87661445067235,-0.107564912970388,-2.04421759146299,-1.33633873146199,-2.43663610631534,-3.45588092686871,-2.3517847762444,-2.46142235015825,-0.995678702305263,-1.80510959366106,0.232655092373193,-1.25630679707836,-1.67245565631908,-1.95651627829564,-0.584787933618433,-1.69761542091185,-3.52680011167739,-2.82406755361164,-1.97669149163769,-1.27600951496781,-3.45108175521087,-0.84241960904379,-2.21474910978793,-2.57138702893895,-2.38711286999808,-1.09461103021775,-0.854884265446444,-2.29320370429394,-2.76492828715586,-2.31668036400208,-3.57996262485666,-3.03738172838567,-1.85250835875841,-0.411908549357587,-2.70972900363283,-0.596693406295519,-3.00377691371099,-3.82133612833986,-2.16791589454714,-1.83063437536012,-0.722069345995208,-3.60660960416926,-2.21025027018714,-1.74557533703996,-0.444812373826832,-2.85228846969909,-3.66649214149924,-3.12180604294504,-1.05042932866079,-5.11205903064643,-1.97124535217489,-0.704410632233062,-2.95267825048166,-2.75485940844802,-2.68875890073392,-2.90702948306267,-1.13155654590849,-3.42962821554416,-1.75847317874841,-2.2640911621551,-1.70748326544705,-2.15148040374467,-1.82669000671444,-4.62225449403254,-1.23864496068228,-1.91588130663417,-3.68301286051458,-1.02112554169327,-2.40067289710387,-2.26098272324822,-1.51619065264973,-1.73034603594604,-0.150871233077123
-1.95959595959596,-1.05890855831415,-1.97132455956359,-6.13650431024407,-1.01695925507273,-0.633354546924301,-2.49676240170084,-3.87130335112282,0.415110450305582,-1.32990095502185,-1.81003637587227,-1.56146796453377,-2.56022436977134,-1.48508244289464,-2.57266306087283,-2.96620484564749,-2.16627070016102,-2.18688261614911,-2.25810572949833,-1.74434203950266,-3.12985725356882,-2.52068642289423,-2.02671618976899,-2.41208764322375,-2.35272840777032,-1.52255391645883,-1.27805875026306,-1.93749644371418,-2.81454375871509,-0.0708521432445547,-1.99236551040757,-1.28438684180054,-2.38745350769933,-3.40057018967356,-2.30483745066229,-2.42849343413835,-0.96485767353273,-1.79714062125712,0.253901155331864,-1.22215650364011,-1.61214510947706,-1.88556643352721,-0.587586567629603,-1.6498127220411,-3.45662057937867,-2.76383958949407,-1.93281284888179,-1.23143547635899,-3.38349515541509,-0.796470819856006,-2.13269629361171,-2.51388182484992,-2.39673676782728,-1.05204277685475,-0.813151052697841,-2.26362872907239,-2.70485559159956,-2.26988265667687,-3.50601559674617,-2.9941634257639,-1.81732692742044,-0.375883772204868,-2.65688777339737,-0.562694368308714,-2.90283455076222,-3.7565146639892,-2.10074316104905,-1.78382973727404,-0.682063728402441,-3.53567375195521,-2.12159386434349,-1.67688681121819,-0.432046521556717,-2.79391844694063,-3.53965468099033,-2.8752395748037,-1.00725528433731,-4.98704310315068,-1.92305752488497,-0.652563732249857,-2.89872521675043,-2.68746476431298,-2.62627847364789,-2.893792843145,-1.06267972423588,-3.31641406059548,-1.72297138671871,-2.18858388721363,-1.64657700373166,-2.05797990560956,-1.84945465271599,-4.50026760198828,-1.19990368898277,-1.87050773662925,-3.6209307925682,-0.877513555560597,-2.337533240032,-2.19803873831537,-1.46072380727225,-1.68758156733957,-0.113939160276449
-1.91919191919192,-1.04001811234179,-1.79410510052029,-5.97830148834455,-0.961376482481091,-0.590326894571398,-2.44869315311185,-3.77167836437342,0.4571232796596,-1.20250013984892,-1.75398279950733,-1.51852390901903,-2.52544132825487,-1.44781842947548,-2.52122205831883,-2.92277933538546,-2.11433231609557,-2.14063162821025,-2.19414234768064,-1.69642537362988,-3.07125014912703,-2.45485144472843,-1.97666545075339,-2.35260789144561,-2.29663502724678,-1.46560446546767,-1.20813370641978,-1.9054380864941,-2.75263320659341,-0.0340887257814828,-1.94108623367634,-1.2327186847468,-2.33803127279954,-3.34510716143785,-2.2599509991777,-2.3950703485413,-0.934004414553974,-1.79412958459253,0.275148174059164,-1.18726750548165,-1.54050434569098,-1.81532258362026,-0.588100757987814,-1.60206367400868,-3.38571339172779,-2.70374623217955,-1.89210524510374,-1.18675659862359,-3.31463694769138,-0.751348632023535,-2.05148158385474,-2.45631287844653,-2.3872333767885,-1.00969930447308,-0.771497887185257,-2.22468896076974,-2.64520307346592,-2.2225571409527,-3.42564638084808,-2.9506194240967,-1.78707956377528,-0.339992901780427,-2.60381535437984,-0.528693289498078,-2.787890289048,-3.69094192251192,-2.03436489949991,-1.73454117390658,-0.642163734060993,-3.46474134770097,-2.03482840836112,-1.60078171693642,-0.420027182814432,-2.73547644559888,-3.42773214131884,-2.63210593880457,-0.964277889808617,-4.86239063726373,-1.8749836001918,-0.605961172737431,-2.84487601569241,-2.62086396254379,-2.56407968706869,-2.87834915295509,-0.996516433452917,-3.20575696404185,-1.68745746123405,-2.11718797462126,-1.58277582102493,-1.96640508449345,-1.86987145782396,-4.38156074110517,-1.16086270276473,-1.82518615036545,-3.55909231035753,-0.721451324468128,-2.27436176636907,-2.13537799670011,-1.40541606496396,-1.64405046255356,-0.0765198646069472
-1.87878787878788,-1.02136076908445,-1.61754954614176,-5.81905874252115,-0.903765341024244,-0.547361202754007,-2.39973152866548,-3.67256027567032,0.49907002606061,-1.08753990618371,-1.69806937628107,-1.47544117350002,-2.48848160231229,-1.408199372356,-2.46189968282644,-2.87866057230949,-2.06462731664352,-2.09440572421387,-2.13040070818335,-1.64839630335797,-3.01217066168699,-2.38922387372866,-1.9266398692124,-2.29222288853727,-2.24060636731955,-1.40979063227757,-1.14171489683159,-1.87281098102431,-2.69089415004769,0.00272700339483001,-1.8903648156461,-1.18132773539543,-2.28838752496408,-3.28948661741851,-2.21702305288493,-2.36105999792401,-0.903117441534334,-1.79749578890188,0.296406397258104,-1.15166642747666,-1.46076133756861,-1.74581464044241,-0.586391123749331,-1.55436813477798,-3.31395323611754,-2.64379254191393,-1.85445682279904,-1.1419750260196,-3.2447923988033,-0.70691977461534,-1.97111929607132,-2.39868729549367,-2.35867902287561,-0.967589134633412,-0.729923785433702,-2.17519282845129,-2.58593761748447,-2.17470294773741,-3.33948806855905,-2.90676367736383,-1.76064191720585,-0.304240482861114,-2.55053326212145,-0.494690445298797,-2.65924219439934,-3.62469493224141,-1.96875895523492,-1.68291200242047,-0.602359626925341,-3.39386224781451,-1.94999641966067,-1.51769057756305,-0.408624297837372,-2.6769622793357,-3.33045625368262,-2.39303524239165,-0.921495991660206,-4.73827133021047,-1.82702321200948,-0.56581175004373,-2.79113274879019,-2.55503455252019,-2.50216428097898,-2.86079016764196,-0.933376588848197,-3.099034198044,-1.65193310729154,-2.04939749042195,-1.51643953881262,-1.87731651303826,-1.88508047644304,-4.26601093818346,-1.12153054016899,-1.77991985411476,-3.49749616321371,-0.565616336977742,-2.21117550140565,-2.07488202977982,-1.3502693256763,-1.59977750431178,-0.0381032801709734
-1.83838383838384,-1.00096019767227,-1.44302698166646,-5.6589057590645,-0.844543667421172,-0.504462892678464,-2.34987898645443,-3.57469780654184,0.540949183379366,-0.989393746886059,-1.6422969462384,-1.43222823381427,-2.44856231856112,-1.36645121343109,-2.39399083469815,-2.83385446489631,-2.01744902265256,-2.04820451052399,-2.06688055085542,-1.60026218504295,-2.9526544768915,-2.32380593095669,-1.87664557235625,-2.23103798208903,-2.1846402845286,-1.35512415241033,-1.07861503287158,-1.83964614674748,-2.62933746754505,0.039596596457691,-1.84018634659762,-1.13021494335759,-2.23854045088455,-3.23371314591466,-2.17590155330711,-2.32638560063598,-0.872195251547202,-1.80904676535565,0.317685946523171,-1.11537934871999,-1.37730636016899,-1.67702583370866,-0.582482433903593,-1.50672598590216,-3.24121317100108,-2.58398366619808,-1.81934276903109,-1.09709288400565,-3.17417244287911,-0.663069553561526,-1.89162308797791,-2.34101794165987,-2.31479761198319,-0.925709938758995,-0.688431522197647,-2.11564107272603,-2.52705255871079,-2.12632363415214,-3.24829508589645,-2.86260994051568,-1.73682574709013,-0.268631074261569,-2.49705322553185,-0.460686063451205,-2.51860255736961,-3.55785595122937,-1.90392201656181,-1.62884289782526,-0.56265202848809,-3.32308191729701,-1.86708456235991,-1.42848550033054,-0.397709141955024,-2.6183757455138,-3.24682089589456,-2.15891633057161,-0.878918769942667,-4.6149116638647,-1.77917596751767,-0.532577879946883,-2.73750099987328,-2.48999953740615,-2.44054629294348,-2.841205670099,-0.87331195863425,-2.99975927121018,-1.61639920090715,-1.9847628895726,-1.44774576118068,-1.79123001120684,-1.89231641465141,-4.15357777189394,-1.08192478022131,-1.73470865232319,-3.43614214533735,-0.418736219698501,-2.14799205490261,-2.01896422900333,-1.29528544135746,-1.55479347485124,0.00123263496359671
-1.7979797979798,-0.979048139354546,-1.27166546173026,-5.49795768254171,-0.784100775254719,-0.461631065994021,-2.29915408607724,-3.47874370657714,0.582760257388657,-0.90780766207688,-1.58666449335403,-1.38889243822725,-2.40550091804558,-1.32267503395199,-2.31801236801224,-2.78840001003556,-1.97293716271481,-2.00202846732449,-2.00357204545055,-1.55202713507749,-2.89274996866126,-2.25859963076377,-1.82668860776873,-2.16909341875496,-2.12874464203381,-1.30161286827023,-1.01859541910739,-1.80596031129626,-2.56797356231548,0.0765214932017323,-1.79053596835665,-1.07937056097499,-2.18850291118729,-3.17778755023287,-2.13647990815203,-2.29095992036385,-0.84123632557289,-1.83042424061746,0.338996806328274,-1.07843179815258,-1.29554102664401,-1.60896093360999,-0.576414327894436,-1.45913762880557,-3.16726354414042,-2.52432483815844,-1.78637693037129,-1.05211227760359,-3.10297189307139,-0.619656199792771,-1.81300593595895,-2.28331493548884,-2.25815081888696,-0.884054781481567,-0.647016692945883,-2.04755784496504,-2.46855163463519,-2.07742718878229,-3.15331205280417,-2.81817176884034,-1.71487050533681,-0.233169965152223,-2.44338683106957,-0.426680326413452,-2.36897794567644,-3.49050354311421,-1.83983476512337,-1.57213423194294,-0.52303781483542,-3.25244514979244,-1.7859528688985,-1.3337969974577,-0.387197632366753,-2.55971662559882,-3.17545320677175,-1.93060140596646,-0.836535114106312,-4.49258868864978,-1.73144144674157,-0.506164328329369,-2.6839770550555,-2.42577236218366,-2.3792202671688,-2.81968341490074,-0.816229732908218,-2.91233451905846,-1.58085710976701,-1.92292165532265,-1.37705524860902,-1.70860938790596,-1.88935527587369,-4.04421751017168,-1.0420632283491,-1.6895524879551,-3.37504468918881,-0.28416667086752,-2.08483442442919,-1.97084374401935,-1.24046621378761,-1.50911993379724,0.0414826866592357
-1.75757575757576,-0.956578795593898,-1.10465651903703,-5.33632180745412,-0.722752722310084,-0.418867817868949,-2.24756654979838,-3.38522875194818,0.624501678086466,-0.840468788050445,-1.53116553396367,-1.34544096974206,-2.35896506041426,-1.27729611852467,-2.23461665642467,-2.74232172840418,-1.93085291857596,-1.95587752391785,-1.94046995470181,-1.50369571754961,-2.83250534058887,-2.1936067804891,-1.77677502979167,-2.10648198481285,-2.07291711715072,-1.24928365618125,-0.961187148006659,-1.77176998202483,-2.50681236460898,0.113503020468308,-1.74139888967043,-1.02878414314125,-2.13827913822824,-3.1217098447859,-2.09846520998113,-2.25468105497407,-0.810239131432783,-1.86251302221306,0.360349236413929,-1.04084875099272,-1.22132809544321,-1.54161609990768,-0.568316134698045,-1.41160302916299,-3.09211880463335,-2.4648213746857,-1.75514357993518,-1.00703528983172,-3.03140656728506,-0.576544808071843,-1.73528011046398,-2.22558744965757,-2.19264487391416,-0.842636938161526,-0.605677913249159,-1.97289377788801,-2.41043758939957,-2.02802009865078,-3.05587642941701,-2.77346251746444,-1.69418230582382,-0.197864161542802,-2.38953827186041,-0.392673373765608,-2.21460444442243,-3.42271719288097,-1.77645339768178,-1.5128597597856,-0.483511317356385,-3.18199763651848,-1.70639428934127,-1.23469963703497,-0.376932967452305,-2.50098451673634,-3.11490754241328,-1.7089202684498,-0.79434337280077,-4.37154647181808,-1.68381951652354,-0.486125627411215,-2.63056208236167,-2.36233091596901,-2.31818370020962,-2.79630907942724,-0.761985391035584,-2.84112292293614,-1.54530817028668,-1.86333795206371,-1.30465154724014,-1.62986186482868,-1.87474596254793,-3.93788654440736,-1.00195913925829,-1.64445513235053,-3.31418623324175,-0.164394465256847,-2.02171311223855,-1.93347364694543,-1.18581339242552,-1.46281035657571,0.0825876586310158
-1.71717171717172,-0.936493516757245,-0.942746679618244,-5.17412558029247,-0.660830401378362,-0.37617659265454,-2.1951261155021,-3.29459085210561,0.666171883782512,-0.784255804340375,-1.47579786316478,-1.30187720560618,-2.30867350627657,-1.23050635458173,-2.14347338940029,-2.69564135039404,-1.89099735681494,-1.90975194815361,-1.87755903689859,-1.45527434619499,-2.77196076886052,-2.12883359199839,-1.72691075805205,-2.04329352215946,-2.01716553216762,-1.19810993972816,-0.9060480548218,-1.73709143907637,-2.44586333416925,0.150542887200789,-1.69276040127873,-0.978449720573087,-2.08789135834203,-3.06548002363217,-2.06167755551537,-2.21748578215252,-0.779202126656569,-1.90494682891843,0.381754309840663,-1.00265462595097,-1.15919406003111,-1.47500854048809,-0.558260110280463,-1.36412160484983,-3.01574006126518,-2.4054786743338,-1.72517959584091,-0.961863980207368,-2.95965003173592,-0.533603397218868,-1.65845715049138,-2.16784687180678,-2.12232197771898,-0.801443757271102,-0.564415317604909,-1.89461814533505,-2.35268200418324,-1.97812428310526,-2.95735935689541,-2.72849534098169,-1.67434623302674,-0.162715313463183,-2.33552392341551,-0.358665304600419,-2.06065017131011,-3.3545729146878,-1.71375757435046,-1.45120602418138,-0.444075235928177,-3.11179545086234,-1.62817929115186,-1.13217798786317,-0.36673366258211,-2.44217702538168,-3.06353556360586,-1.49461049032379,-0.752347641280928,-4.25208739328618,-1.63631206719252,-0.47167790631224,-2.57726021403226,-2.29968218495958,-2.25744019208033,-2.77116622202231,-0.710379291919084,-2.78855119176358,-1.50975320403921,-1.8057844882721,-1.23074526440263,-1.55535796844044,-1.84775682936044,-3.83451201485244,-0.961625292771981,-1.59941588068169,-3.25356594372449,-0.0591678159905895,-1.95863132123332,-1.90961963156592,-1.13132867227032,-1.41588648939241,0.124505085110955
-1.67676767676768,-0.922168032907552,-0.786696832198767,-5.01150709593356,-0.598587707970626,-0.333560347229522,-2.14184622574232,-3.20710966339142,0.707769320709588,-0.735425348696101,-1.42056394428186,-1.25821151222987,-2.25444105453896,-1.18265535271892,-2.04613946860405,-2.64838015866827,-1.85319314428052,-1.86365199794929,-1.81484703397599,-1.4067652827207,-2.71116928548475,-2.06428344398719,-1.67710157362389,-1.97955412490338,-1.96148771280758,-1.14808545034109,-0.852855697259699,-1.70194072890112,-2.38513546291904,0.187641956747326,-1.64460589064118,-0.928361458662597,-2.03735145176987,-3.00909439507032,-2.02580860077126,-2.17930269256433,-0.748123761280248,-1.9561907313354,0.403220358216416,-0.963873283204659,-1.10998380647922,-1.40914131988911,-0.546323559083057,-1.31669333241894,-2.9380124295984,-2.34630221497203,-1.69595062836411,-0.916600383317804,-2.88785643626357,-0.490696527288988,-1.58254783737082,-2.11010344050075,-2.05217174638894,-0.760476616950845,-0.523229717863212,-1.81521298370853,-2.29527790655673,-1.92776177624746,-2.85918604941417,-2.68328319320289,-1.65505278518644,-0.127728005256769,-2.28135878415632,-0.324656179896535,-1.9128561265687,-3.28614440650681,-1.65172738802788,-1.38724315732907,-0.404720860300062,-3.04187642813066,-1.55099677465175,-1.02720799995778,-0.356484659477658,-2.38329618420385,-3.01968512081443,-1.28856788644394,-0.710546822892173,-4.13447220978588,-1.58891588754802,-0.461817221318918,-2.52407254593844,-2.23784603755193,-2.19699477029415,-2.74433624700561,-0.661177792552085,-2.75607675105364,-1.47419349611611,-1.74991801712419,-1.15559735432,-1.48539072305286,-1.80865922981658,-3.73402686285136,-0.921074000481732,-1.55443493124725,-3.19318309281059,0.0325332277994891,-1.89561348960169,-1.90148273362598,-1.07701369174186,-1.36838087108766,0.167182628368263
-1.63636363636364,-0.913660133434882,-0.637533553910132,-4.84862684254009,-0.536266652102374,-0.291018491890852,-2.08773170425541,-3.12299804545044,0.74929244260652,-0.690180327046721,-1.36545868119254,-1.21445122760402,-2.19653974458294,-1.13399552209213,-1.94233970248933,-2.6005589913246,-1.81686041776228,-1.81757772133956,-1.7522927612708,-1.35817673543618,-2.65017607526659,-1.99995102869138,-1.62735311538463,-1.91537519033866,-1.90589126570431,-1.09919964136288,-0.801352764799615,-1.66633365822105,-2.32463727785232,0.224800974754725,-1.59692085628729,-0.878523172358944,-1.98666793400545,-2.95255416874352,-1.99057597337366,-2.14004679217917,-0.717002128548627,-2.01312778639106,0.424756707145982,-0.924528023107433,-1.07164531440216,-1.34401378675306,-0.532519763660249,-1.26931821155238,-2.85897290628,-2.28729755118336,-1.66682607404618,-0.871246507458252,-2.81617200682372,-0.44769254252095,-1.50756216807106,-2.05236782464695,-1.98747494378187,-0.71974302168449,-0.482117232884179,-1.73718526525931,-2.23823080212695,-1.87695802994323,-2.76268390440126,-2.63783882702181,-1.63610830070216,-0.0929068193835314,-2.22705380644615,-0.290646014670639,-1.77701757211376,-3.21750481654928,-1.59034336419315,-1.32116351518672,-0.36544858888901,-2.97227732961083,-1.47452818369347,-0.920789021515463,-0.346075354859365,-2.32434171497692,-2.98135270749767,-1.09177022632933,-0.668934369471072,-4.01901724018169,-1.54163044298688,-0.455404422050801,-2.47099711679326,-2.17678102513302,-2.1368485305955,-2.71589837633561,-0.614088732106734,-2.74349531831411,-1.43863010431141,-1.69543847618238,-1.0794330475035,-1.42017441577745,-1.7588240020704,-3.6363446553223,-0.880317112843615,-1.50951655291785,-3.13304781785277,0.110542684962612,-1.83267542354161,-1.90986113959174,-1.02287003058379,-1.32032623479209,0.210655844976881
