"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-2.64886660579611,-2.55205135362287,-5.12731229685432,-3.8241206607419,-4.38845962902125,-3.17905229627722,-4.74100031370171,-1.03830284254818,-2.78889300180619,-3.29977896938435,-3.84615811488362,-3.99465782314327,-2.97442946912143,-4.20862200124099,-4.80319093359568,-4.1383251406516,-3.13193620719901,-3.72662554583753,-2.21844249916699,-4.29587393529033,-5.0145243748522,-2.52513159797127,-3.31444578371909,-3.65109941736535,-3.98607977660943,-4.46738912644724,-3.43427709270269,-3.75015858764837,-2.08669835827012,-3.46986229039517,-2.8703638130639,-5.30322283404227,-4.20968842777443,-3.58913973189412,-3.20120997535881,-3.91661218468346,-4.19322507506137,-3.05073698542719,-1.90286008057607,-5.32841744170542,-3.8402147939237,-2.84468889575685,-4.4892359629066,-5.78363442894263,-4.90318879646764,-4.30195806796986,-3.40685494100735,-5.16363888989564,-3.85406363733946,-3.72589511384049,-3.94818924883716,-3.25522194200828,-2.62945741002355,-3.41287289141969,-3.09808653962553,-4.80566271665438,-3.58850747587915,-5.23386809399839,-5.30197179897223,-3.42119202046887,-3.28034706677189,-4.06397172237239,-1.97116508983656,-4.30160430825457,-4.86906396221211,-2.27534007796054,-4.55621658366164,-2.26671275321025,-4.47805975005266,-4.81352802601271,-2.96987355941189,-2.46300847252796,-5.09511872661251,-4.72236189636805,-2.2898003688489,-2.6815365611503,-6.44649708913743,-3.18685421425419,-3.32377646538784,-4.08502336605049,-3.01816771593051,-3.92190902740956,-4.68500355060284,-3.55510928657944,-4.31996334537205,-2.47990768430822,-3.72960829632791,-3.34617224786628,-3.72939747953933,-3.49748517091202,-5.09107332396978,-2.70609924650653,-3.08657442339075,-7.01770303065439,-5.02946420355096,-4.70186295972627,-4.6849122680802,-4.07710484352378,-4.15885326185533,-3.35256019624283
-1.95959595959596,-2.65360942802296,-2.47166401431755,-4.98323975146427,-3.66725095173505,-4.27666824935509,-3.10591234407421,-4.63642290210201,-0.977277556193859,-2.63960608061799,-3.20398767347543,-3.73064182436915,-3.90602581938798,-2.93573687497505,-4.08909580568644,-4.66233058621503,-4.00342794572154,-3.09130688438712,-3.64248537065474,-2.17938950118285,-4.24963360490999,-4.8713794628155,-2.47621851093298,-3.24323089287159,-3.56687865521742,-3.89631508392211,-4.35503260341166,-3.37830843559031,-3.67903272572546,-2.01512742425446,-3.39797806693913,-2.78731260379497,-5.16394535399551,-4.12313392473272,-3.51210914462514,-3.10061751208536,-3.81201165522503,-4.04942321373708,-2.94397290459306,-1.91566480207855,-5.1551947658826,-3.68919181553483,-2.765923909334,-4.3626678657597,-5.63403083193596,-4.80721049221038,-4.18497867626738,-3.33471123268636,-5.04836883045192,-3.74623924764833,-3.59837362835133,-3.78873260883253,-3.1864825177838,-2.46937328618416,-3.32078608572978,-3.04605096187809,-4.70516412456752,-3.50773799988575,-5.10377426168647,-5.24196847715184,-3.32741557835643,-3.24886471637116,-3.96690476190385,-1.94944244971085,-4.202614265022,-4.78699786879135,-2.23741129632248,-4.39816307607483,-2.1904974924783,-4.39562453498426,-4.67883296329339,-2.93365614104643,-2.39339980570556,-4.95757052152311,-4.60623517015923,-2.18666190484958,-2.59790662702891,-6.28676528665053,-3.12272454241297,-3.20319103966869,-3.98686934124983,-2.97516472145061,-3.84290878369668,-4.54429341710264,-3.42226946805376,-4.19042223373325,-2.42861282118809,-3.64811022605146,-3.24611222898657,-3.62361081970104,-3.44946407190512,-4.99890909063979,-2.63980480531376,-2.92427688107041,-6.86193659932051,-4.77127226295887,-4.6140198350745,-4.51762047121401,-3.97285472424925,-4.17444210162245,-3.27630460210387
-1.91919191919192,-2.66555336839651,-2.38434078372533,-4.8398457269592,-3.50440028890275,-4.16392405599899,-3.03241299884,-4.53113188769448,-0.915923846384415,-2.51136304760235,-3.10871213193914,-3.61291548603854,-3.81775273195213,-2.89280721826545,-3.96862206199729,-4.5248696200128,-3.86390742485049,-3.04627988740753,-3.5590116322226,-2.13868028556152,-4.20162171587085,-4.74323291150733,-2.42678468952812,-3.17044027766064,-3.48239371048997,-3.80655563074986,-4.24534817036275,-3.31852242821269,-3.60746605790988,-1.94370077888338,-3.32611664575812,-2.70485101257313,-5.02343251176748,-4.04047787101097,-3.43510416200153,-3.00988806640557,-3.70894898818545,-3.91162639277039,-2.83826278592901,-1.92046546795392,-4.96334274104953,-3.54865037073937,-2.68741058877497,-4.23755334011327,-5.48463237193919,-4.71017444244908,-4.0718448928022,-3.26154556215837,-4.93109394635923,-3.63875434084305,-3.47261748390198,-3.63140187225309,-3.11776269955325,-2.32279293312729,-3.22811401427592,-2.9914930489664,-4.60491840681158,-3.42693138327995,-4.97197255897369,-5.17186538189288,-3.23341898157311,-3.22010155673723,-3.86989828250818,-1.92380163303148,-4.10428124388817,-4.69969207102756,-2.1975588357519,-4.23974693389684,-2.11482911933245,-4.31308066091797,-4.54348068868353,-2.9022942852548,-2.32374996309682,-4.82208769552768,-4.49429299869746,-2.08504072336688,-2.51473652523475,-6.12704248492706,-3.05817138585161,-3.08714977181988,-3.88671704378494,-2.93095154622567,-3.76378260066556,-4.408428136104,-3.28745454705459,-4.06029903297278,-2.3770920434575,-3.56568450917037,-3.14630606119,-3.51798680198932,-3.39841699141002,-4.90687128943525,-2.57331690066197,-2.78212485648121,-6.70666582623223,-4.5030024509105,-4.51669899467688,-4.3523545313506,-3.86882654509218,-4.17210131074253,-3.19462541142102
-1.87878787878788,-2.68257057674325,-2.29006439018757,-4.6971228713911,-3.33813809556397,-4.05050556382924,-2.9585774623696,-4.42554234431887,-0.854262867995398,-2.40784118629567,-3.013948917158,-3.49252214248998,-3.72980783816916,-2.84590587044432,-3.84706453781817,-4.39096922325873,-3.72306651143406,-2.99707551473863,-3.47632463928812,-2.09631899406171,-4.14889390290311,-4.62383238212202,-2.37684082794308,-3.09603314057112,-3.397647781988,-3.71680877621592,-4.13777379926492,-3.25529412882542,-3.53547873245374,-1.87241397291186,-3.25427909789291,-2.62298218187079,-4.88188741771125,-3.96066643479526,-3.3581364880381,-2.92836332027371,-3.60727270477202,-3.78129605599893,-2.73359405010287,-1.91780886245997,-4.75546116050318,-3.41794696594896,-2.6091517952172,-4.1137196368753,-5.33546582656613,-4.61210648069146,-3.96223086079691,-3.1893368625309,-4.81207747558635,-3.53161362977099,-3.34860549026541,-3.47588703795563,-3.04906583588573,-2.19154002593333,-3.13495135027791,-2.93286321398273,-4.50490566125031,-3.3459768067681,-4.83922307748548,-5.09205175957759,-3.13965193356262,-3.19331448660733,-3.77295906591505,-1.89453644850949,-4.00659049229597,-4.60817734223754,-2.15586911878565,-4.08174654536874,-2.03965540376826,-4.23042858872273,-4.40758911728737,-2.8662445400654,-2.25405774232603,-4.68862403574595,-4.38678474382457,-1.98492361746911,-2.43202604830886,-5.9674635875988,-2.99320998509261,-2.9761611988832,-3.78554876211018,-2.88560591275825,-3.68453514586177,-4.27785688160071,-3.15249076645454,-3.92961092701974,-2.3253593769328,-3.48237176582786,-3.04671730804027,-3.41255872808746,-3.34259555453162,-4.81495572882616,-2.50664832673772,-2.6614608884124,-6.55189744137829,-4.2343146156873,-4.4100410827786,-4.19145388789818,-3.76502264800118,-4.15357245830349,-3.10879859410672
-1.83838383838384,-2.70120927319067,-2.18969491332314,-4.55500192608587,-3.17166962109703,-3.9369301585542,-2.88442858247415,-4.32006773857974,-0.792322431865309,-2.32689464403572,-2.91970578341381,-3.36994724741913,-3.6421870154583,-2.79552643018874,-3.72396345837949,-4.26083140334676,-3.58449597689352,-2.94404351899161,-3.39426360253782,-2.05239997852377,-4.08953156073634,-4.50810185332095,-2.32641542882131,-3.02015828099814,-3.31266144890748,-3.62708160673791,-4.03158889229127,-3.18907062491466,-3.46309012843909,-1.80126274671559,-3.18246688713647,-2.54171441278333,-4.73950484439257,-3.88184635044603,-3.2812178348848,-2.85517819790633,-3.5067143976066,-3.65972246915937,-2.62993879319372,-1.90826522532913,-4.53708767516633,-3.29596168976438,-2.5311538384061,-3.99096454527193,-5.18656012149304,-4.51303949062505,-3.8554472281675,-3.1178537037517,-4.69147299100449,-3.42478921392783,-3.22631696106744,-3.32163299903178,-2.9803923772776,-2.07601565202193,-3.04129368462369,-2.87056438970926,-4.40512197924653,-3.26480595885324,-4.70628805645084,-5.00343431621783,-3.04655721903282,-3.16588173482575,-3.67609576984433,-1.86194117992904,-3.90952738167477,-4.51366883502074,-2.11238337369133,-3.92486623684311,-1.96497810534833,-4.1476752588362,-4.2712841183293,-2.81845333499252,-2.18432193821564,-4.557130869855,-4.28355219419134,-1.88622958235673,-2.34979930638411,-5.80814533034724,-2.92785540306654,-2.87032898386007,-3.68425279041497,-2.83914330173107,-3.60516655792916,-4.15266982150044,-3.01862328846133,-3.80003264041298,-2.27341273314692,-3.39826156271265,-2.9473529512013,-3.30737126432543,-3.28092349460435,-4.72316380679166,-2.43981732046996,-2.56026408660523,-6.39764004984617,-3.97324802531999,-4.29578417039257,-4.0370796441666,-3.66144528574323,-4.11909789024913,-3.01954741137411
-1.7979797979798,-2.71203099622692,-2.08402304019382,-4.41343860865464,-3.00777120834285,-3.82416920375023,-2.80998885210203,-4.21510036644232,-0.730132233684959,-2.26330396877229,-2.82598416894792,-3.24636472271517,-3.55483324586978,-2.74184296688132,-3.5991122932055,-4.13424274960166,-3.4516281347201,-2.88746783035887,-3.31291719762043,-2.00697088864286,-4.0225993097953,-4.39201297100634,-2.27553099944362,-2.94287461907073,-3.22742178693201,-3.53738095621765,-3.92588909816377,-3.12026919298997,-3.39031886249889,-1.7302430258471,-3.1106818501622,-2.4609608658684,-4.59647287232069,-3.80197531634863,-3.2043624565538,-2.78939591092285,-3.4070524169035,-3.5479782737379,-2.52729457549019,-1.892374144176,-4.31713144420477,-3.18169085705798,-2.4534252404329,-3.86929402691748,-5.03798452618586,-4.41302153368077,-3.75107109979387,-3.04681650827391,-4.56946704062336,-3.31824112789272,-3.10573168213999,-3.16837345392319,-2.91174528084217,-1.9754370459014,-2.94724090977516,-2.80434864137737,-4.30556979525045,-3.18333817114089,-4.57395486626882,-4.90733416419726,-2.95459103470474,-3.13229662795232,-3.5793169557214,-1.82630426189595,-3.81307741018418,-4.41724873610615,-2.06718018519301,-3.76994120928794,-1.89078007069169,-4.06482592571512,-4.13469873582942,-2.75424933416599,-2.11454134542468,-4.42755861118682,-4.18425179067811,-1.78896047806047,-2.26803223903399,-5.649157746405,-2.86212252476721,-2.76944137426653,-3.58358458119028,-2.79158759922124,-3.52568558918531,-4.03249397041451,-2.88661632657696,-3.6742706885362,-2.2212611026535,-3.31339524116455,-2.84824864494764,-3.20247207629125,-3.21369371903828,-4.63150026688792,-2.37284150053397,-2.47568775450567,-6.24393409126381,-3.72410668498665,-4.17561198702436,-3.89159125109749,-3.55809661997045,-4.06759455874112,-2.92703279584154
-1.75757575757576,-2.70501198078944,-1.97375187193181,-4.27238527782261,-2.84905297002073,-3.71330833376317,-2.73528040846603,-4.11099560746331,-0.667716080726055,-2.21127949024178,-2.73276521914471,-3.12319885706094,-3.4677225109363,-2.68535382110412,-3.47242064849386,-4.01102856186215,-3.32617676624402,-2.82767278027,-3.23225184239918,-1.96008703046539,-3.94806821448043,-4.27310187478509,-2.22420680564632,-2.86424735559684,-3.14197378051532,-3.44771420216568,-3.81967631862854,-3.04921259774254,-3.3171827957685,-1.65935091661169,-3.03892617686039,-2.38074440176128,-4.45297849922094,-3.71900147708169,-3.12757940063655,-2.72997869704344,-3.30808276066656,-3.44599663525162,-2.42565693693386,-1.87061155341481,-4.10681675923893,-3.07422284762044,-2.37595958395025,-3.74846459933836,-4.88975516554162,-4.3120790458956,-3.64873108918843,-2.97585526336579,-4.4463793691355,-3.21204088446748,-2.986829878207,-3.01568384146467,-2.84312562234016,-1.88987862044231,-2.85287602641605,-2.7341167538011,-4.20625105054654,-3.10157534955203,-4.44286737340019,-4.80512144996442,-2.86409741655953,-3.08463241846349,-3.48263569845895,-1.78790153101791,-3.71722620544628,-4.31979815742459,-2.02039030244643,-3.61736038709281,-1.81703154364726,-3.98188455157526,-3.99795959083274,-2.67257154416074,-2.04471412990598,-4.2998659805329,-4.08849955530046,-1.69311411044508,-2.18672282375327,-5.49059791077895,-2.79602507634472,-2.67304464200921,-3.48424308770115,-2.74301793771615,-3.44609737588454,-3.9166456043459,-2.75699538338847,-3.55534035079536,-2.16891528481958,-3.22788868062319,-2.74948575797433,-3.09791976971576,-3.14218802308544,-4.53996679739048,-2.30573532010404,-2.40551920858225,-6.09075070761189,-3.49136323000576,-4.05129608124487,-3.75666071489666,-3.45497871923235,-3.99768822111252,-2.83112051509162
-1.71717171717172,-2.67165894647211,-1.86006509780128,-4.13180274469299,-2.69724009211653,-3.60562696909824,-2.66032503217851,-4.00806365679187,-0.605096958774207,-2.16488551717906,-2.64004610804214,-3.00209395489448,-3.38083919139604,-2.62610450707713,-3.34348521420905,-3.89092980156059,-3.20907027549353,-2.76491255352365,-3.15222047956958,-1.91183270238979,-3.86657055766145,-4.15024453320573,-2.17246165114914,-2.78438895880721,-3.05630086722413,-3.35808704203259,-3.71205428522037,-2.97622062643661,-3.24369904105683,-1.58858371205358,-2.96720239091768,-2.30103200047835,-4.30929358840847,-3.63121166049012,-3.05088468444383,-2.67581005784951,-3.20956896910638,-3.35275533198777,-2.32503188617537,-1.8434642406715,-3.91670641566556,-2.97281260310476,-2.29875944846192,-3.62842770699651,-4.74190389059541,-4.21026495460861,-3.54812370845744,-2.90462567917278,-4.32229614373151,-3.10616522416514,-2.86959217810117,-2.86342392359147,-2.77453550725528,-1.81713865115336,-2.75824151456407,-2.65987182034016,-4.1071489328173,-3.01948335832332,-4.31361810456011,-4.69820216618139,-2.77542713111816,-3.01621892893177,-3.38605910545855,-1.74696928679143,-3.62195952726243,-4.22200075870236,-1.97208786226854,-3.46746063571539,-1.74374604998763,-3.89885248675072,-3.86122437307376,-2.57468344434597,-1.97483938182214,-4.17406004888941,-3.9955881143504,-1.59858896485872,-2.10588262593995,-5.33252230129264,-2.72957056650335,-2.58039802513904,-3.38703614685505,-2.69345658653177,-3.36640634577145,-3.80422098431692,-2.63003256026251,-3.44521611442487,-2.11637152288981,-3.14178504493804,-2.65099989655868,-2.99374268086836,-3.06842751783898,-4.44856301634645,-2.23851260566267,-2.34656925914873,-5.93809593430233,-3.27728687633191,-3.92452927070754,-3.63356991636329,-3.3520935569337,-3.90860001286753,-2.73196602882346
-1.67676767676768,-2.61044750077648,-1.74413461183324,-3.99164131639493,-2.55273632270315,-3.50172530110097,-2.58514414639685,-3.90657595913296,-0.54229704828655,-2.11791122018359,-2.5478424457506,-2.8844152312042,-3.29416531192718,-2.5645018943108,-3.21240966085718,-3.77359266630805,-3.10096596781989,-2.69947464839378,-3.07281085199076,-1.86222968568027,-3.77902275473668,-4.02322654692282,-2.1203138846771,-2.70331392019075,-2.97043603281278,-3.26850548990695,-3.60220740025793,-2.90156249978644,-3.16988397022592,-1.51793727128585,-2.89551333067184,-2.22176482070512,-4.16554600981718,-3.53750769075081,-2.97428750991375,-2.62570379085335,-3.1112397996185,-3.26660707177353,-2.22537882038271,-1.81138865607185,-3.75169766331161,-2.87693259139509,-2.22182924681211,-3.50915837103884,-4.59450100441402,-4.10760987225072,-3.44889447538301,-2.83271466010858,-4.1974755926885,-3.00060289196724,-2.75399957871524,-2.71220685137883,-2.70597688408518,-1.75574121822649,-2.66338821364727,-2.58161196217427,-4.00825960265166,-2.93706732827684,-4.18680536843295,-4.58782043496094,-2.68899343474768,-2.92390622731224,-3.28959332895284,-1.70373025235226,-3.52726327031028,-4.1242647227718,-1.92234427675667,-3.32048584927791,-1.67087907336653,-3.81573482233477,-3.72464294262435,-2.46309295686781,-1.9049162096829,-4.05003457728861,-3.90493966997916,-1.50541717420899,-2.02551065266457,-5.17501641614161,-2.66278207103693,-2.49058233067576,-3.29288138986558,-2.64291298119763,-3.28661527328928,-3.69426345205593,-2.50599821507239,-3.34490244419128,-2.06364198806895,-3.05512840115089,-2.55282791201794,-2.88996028478236,-2.99485565492749,-4.35729309243322,-2.17118656995164,-2.29637685235379,-5.78597567078815,-3.08317435139882,-3.79658927355518,-3.52341355920754,-3.24944300923776,-3.80075140692274,-2.62977772593962
-1.63636363636364,-2.52695210280065,-1.62716845055321,-3.85180465616237,-2.4148812182492,-3.4009373053316,-2.50975881598118,-3.80675905060349,-0.479337740930254,-2.06436802894849,-2.45614111630031,-2.77159058262694,-3.2076692977062,-2.50065481190356,-3.07903227862302,-3.65857902063803,-3.00063777995283,-2.6316241290106,-2.99391458522206,-1.81139209651491,-3.6863040879541,-3.89279160753895,-2.06778140727526,-2.62119720061292,-2.8843795158441,-3.17897530525523,-3.48947215889133,-2.82550557945084,-3.09575322176772,-1.44740772139341,-2.82386213027329,-2.14299078245314,-4.02201756774693,-3.43814181769278,-2.89780039044525,-2.57844969327761,-3.01281839395216,-3.18540080673156,-2.12668479509935,-1.77480497881408,-3.61138415160603,-2.78611235506935,-2.14518089106855,-3.39065982043431,-4.44758211562706,-4.00416322376794,-3.3506655786123,-2.75963377472886,-4.07218429598285,-2.89535840528292,-2.64003340789474,-2.56368334065946,-2.63745074957611,-1.70382395143949,-2.56842558019256,-2.49954477748009,-3.90958685636899,-2.85433811708314,-4.06278443727208,-4.47494650728699,-2.60506414161742,-2.80941217880398,-3.19324649199464,-1.65838558259486,-3.43312346681686,-4.02679747886764,-1.87122830367523,-3.17656419476457,-1.59843314751316,-3.73253693969758,-3.588365441764,-2.34100388399436,-1.83494343483643,-3.92774671619937,-3.81571775020704,-1.41358885197307,-1.94559254343506,-5.01813483614184,-2.59567375066665,-2.40256132622405,-3.20275843725209,-2.59146630524018,-3.20672761567691,-3.5860284194104,-2.38509783772634,-3.25438526729524,-2.01073467166735,-2.96800158815882,-2.4549925015747,-2.78660385750528,-2.92389257261428,-4.2661575687317,-2.10376982534591,-2.25336841246826,-5.63442059718425,-2.91234975069893,-3.66860470980378,-3.42661137285158,-3.1470288529154,-3.67498552968747,-2.52470103434478
