"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-1.52801159202778,-1.81833523251962,-3.53348818082009,-2.84092765648875,-2.06455644996425,-2.13725976108246,-3.96603373925722,0.48155140434947,-1.74680861780161,-1.98983967297232,-2.12712174511596,-2.99854605716004,-1.98178239158828,-2.12871964332683,-3.58377531999654,-2.74645973256288,-2.60645172105017,-2.77041722823942,-2.32698636846773,-3.40650884917313,-3.01335691401454,-2.05039467282634,-2.52840829375968,-2.49413738399962,-2.48599178014246,-2.44946328812158,-2.60760727776977,-3.32713764560719,-0.633546935994346,-2.71844181446854,-1.29106315325723,-4.00471546719437,-4.07558723879134,-2.72727951445413,-2.3242727312603,-1.80106863984862,-2.18352702302091,-0.940011179456097,-2.42788288379462,-2.51718421884323,-2.37741262475736,-1.54087625584468,-2.93423522449931,-4.12815194128324,-3.6695755171694,-2.71523174145722,-2.10928501159874,-3.66109723990272,-1.87826110471734,-2.32479079569993,-3.00888251225354,-2.76494841545471,-1.96004632615822,-1.1012845093233,-2.39852618805887,-3.10547550675512,-2.93967368770278,-3.8110441574171,-3.90836051147754,-2.4494556454079,-1.25423102047162,-2.98329070674956,-1.46450230206991,-2.94427131243875,-4.13123764001128,-2.26468575448369,-2.31172729031486,-1.33039928959933,-3.56866098798695,-2.71970103132275,-1.66598586475075,-0.429170183402153,-3.47365234367494,-6.96394425420494,-1.08658242215628,-1.44019494299337,-4.7439934208558,-2.65930230095591,-1.90073240861531,-3.03808947978343,-3.25265208620046,-3.03592012111464,-4.04765910216194,-1.93832809863854,-3.27468310015833,-2.11804118523966,-2.67416212857668,-1.77417582563879,-2.08032839429905,-2.26104386402098,-4.53037934106814,-1.91782786573644,-2.3142916627226,-5.40002781971324,-1.74255210425731,-3.18684009534761,-2.85477603460787,-2.73455280680407,-1.91733127052464,-0.26916129598853
-1.95959595959596,-1.50082170726498,-1.74544351220954,-3.45352071234341,-2.69272956128023,-1.99143523708865,-2.12257849657542,-3.90192556149017,0.514498308883017,-1.56762766987053,-1.93858710537979,-2.08078745354036,-2.96839978629044,-1.95699571902255,-2.06343910585949,-3.51323963070026,-2.68071810406035,-2.50961072383143,-2.65788711019043,-2.24610545545816,-3.34748477845043,-2.92777458011253,-2.00857084385545,-2.47411114655533,-2.44377958523022,-2.42561078804522,-2.35960963446312,-2.56684110241997,-3.23076536011818,-0.594931933103708,-2.65879775128099,-1.24691457790836,-3.90831793747728,-3.99487778780525,-2.6771499806188,-2.28155743680956,-1.69156656299226,-2.14819901317547,-0.891937391984174,-2.33341519222166,-2.480072700941,-2.29703666762985,-1.50023288850785,-2.88173873036167,-4.04874023516632,-3.62784276956705,-2.64150326420076,-2.06507055241458,-3.58539694094043,-1.80494289720099,-2.2176290197011,-2.90216407476038,-2.72508664463748,-1.86261397490805,-1.06113004285965,-2.36978397255394,-3.05881526225412,-2.89681479569521,-3.75328955433374,-3.85809778448283,-2.40478614564744,-1.22292978922424,-2.91672376884123,-1.42142607262459,-2.88397561629536,-4.05571074227013,-2.20552087153866,-2.23234197003198,-1.24606003228003,-3.48861564053958,-2.64253896378683,-1.62330895926929,-0.428006010043201,-3.40711386193614,-6.29482398009464,-1.0141830549485,-1.39226340750539,-4.65170128759778,-2.60208452734878,-1.83143423295074,-2.99715950550738,-3.18955542704284,-2.97940192406191,-3.97585675023439,-1.90066520511117,-3.19361904613571,-2.07317814824433,-2.61464230845107,-1.71079719614196,-2.01984948166266,-2.22191554212891,-4.43298971217212,-1.86932837875916,-2.25309081400506,-5.29850195314046,-1.59212295676998,-3.11094057327989,-2.7462358145362,-2.64945778808638,-1.89091508964755,-0.25249476467001
-1.91919191919192,-1.47169306023533,-1.66874182820518,-3.37270682195384,-2.54943448153419,-1.91735180488579,-2.10603014914919,-3.83719080607986,0.547700422128635,-1.41436675679059,-1.88747259243892,-2.035792100583,-2.93570611206238,-1.93190613343869,-1.99775845644939,-3.44279587183,-2.61457598681309,-2.42683609092861,-2.55417073596502,-2.1666362647812,-3.28791934283854,-2.8422807082682,-1.96581699391428,-2.41884422925839,-2.39297221017319,-2.36274300883215,-2.27783427345415,-2.5233874591092,-3.13405259278655,-0.556080357359132,-2.59891592062431,-1.20228169432584,-3.81246767461728,-3.91454341509772,-2.62619651829273,-2.23832764039731,-1.58189370023392,-2.11335604536341,-0.843915072261655,-2.24054756485505,-2.43935392657194,-2.21739263949168,-1.45913623416251,-2.82786917217325,-3.96641950731204,-3.58846543491465,-2.57039166943374,-2.01934136536149,-3.50891615253418,-1.73230741576637,-2.1054824756141,-2.79673770055998,-2.67955248626806,-1.76844534463119,-1.02080976473772,-2.33812993998029,-3.01177813511292,-2.85036667117072,-3.69219049909527,-3.80480552613308,-2.35880913001172,-1.19140155765277,-2.85015774886897,-1.37796927554718,-2.81234577414097,-3.97888980475026,-2.14458126856949,-2.15341204797342,-1.16526693802509,-3.41522623274871,-2.56659558625544,-1.57571737666862,-0.426382447441955,-3.34404860178954,-5.7279866194434,-0.942282989087066,-1.34407522281892,-4.55976346600181,-2.54477262282906,-1.76394596649034,-2.95387581598231,-3.12987775294641,-2.92244965758004,-3.90375295435783,-1.85923649916176,-3.10673150216109,-2.02826405684897,-2.55599586018667,-1.64739704376976,-1.95911714138639,-2.18191340577648,-4.33813520287868,-1.82003121786592,-2.19266443450156,-5.19024537837967,-1.44787480197851,-3.03358052619361,-2.64455592947289,-2.56479834109326,-1.86170311140109,-0.232504529209917
-1.87878787878788,-1.44016646731955,-1.58835083364109,-3.291053369076,-2.41100476901526,-1.84285778675104,-2.08712409524071,-3.77211094043523,0.581156019598429,-1.28682464489064,-1.83692150870112,-1.99159813212126,-2.89997828476974,-1.90537204057949,-1.93172596144812,-3.37246249886291,-2.54816781126412,-2.35879077721073,-2.45977203946059,-2.0885376424598,-3.22780780543412,-2.7569752700949,-1.92219808895332,-2.36256802107756,-2.34168191435995,-2.29760953952019,-2.20267845054355,-2.47747231580419,-3.03799809518496,-0.516995648664345,-2.53888035171663,-1.15729872562216,-3.71718046425265,-3.83460007087963,-2.57449951555307,-2.19460684528375,-1.47387713785059,-2.07881160964282,-0.795946902385691,-2.14933513786823,-2.39539143674621,-2.139006483393,-1.41759757552651,-2.77120821331525,-3.88135825488364,-3.55024724273584,-2.50181286673751,-1.97215919498367,-3.43183308398115,-1.66034662064392,-1.98995665234443,-2.69281939016939,-2.62799975186707,-1.67745395496285,-0.98030567764459,-2.30313883102463,-2.96440661291357,-2.79996141252505,-3.62777997398106,-3.74829576085365,-2.31147402103121,-1.15929218306029,-2.78361384749259,-1.33416121876067,-2.72938844556052,-3.90112040541085,-2.08133972688768,-2.07519403340709,-1.08764466396177,-3.34757906812022,-2.49176885422028,-1.52345590801045,-0.423336313973228,-3.28427598917837,-5.24993017790985,-0.870887924228286,-1.29567090622499,-4.46819643643463,-2.4873757133674,-1.69876585045738,-2.90831319161739,-3.07127327578604,-2.86513182244733,-3.83141562451404,-1.81450736450324,-3.01599873528727,-1.98330369755263,-2.49802361633979,-1.58398304238352,-1.89825453729142,-2.14105781715452,-4.24637020042878,-1.77023777657545,-2.13298433330248,-5.07491873760309,-1.31366417918786,-2.95491143878427,-2.54917666628855,-2.48059942573826,-1.83002048753631,-0.209346360928332
-1.83838383838384,-1.40557314300648,-1.50461190210414,-3.20864299221027,-2.27733964898345,-1.76892335096147,-2.06550548255436,-3.70694820536259,0.614857982343047,-1.18143321654615,-1.78722706571975,-1.94761930727884,-2.86044763292435,-1.87627145503069,-1.8652648637386,-3.30226110276483,-2.48164301110408,-2.30366398045701,-2.37466252095343,-2.01181361663433,-3.1671645221878,-2.67159735705979,-1.87779575657413,-2.30536996049434,-2.28994297011636,-2.2304867439968,-2.13278276537699,-2.4294144433528,-2.94335959097791,-0.477681275851065,-2.47869636700892,-1.11207281367,-3.62246572451494,-3.75503908883723,-2.52211600923466,-2.15041796403207,-1.36923620077384,-2.04430582772785,-0.748035453912972,-2.05971151905309,-2.34849445066913,-2.06238221254362,-1.37563038558719,-2.71062741604685,-3.79358276286273,-3.51201546961583,-2.43536124237981,-1.92358047863028,-3.35430289785673,-1.58901830492297,-1.87244548482027,-2.59046566992164,-2.57126668062219,-1.5894986514157,-0.939612716992573,-2.26459886724824,-2.91671801154462,-2.74519605718962,-3.56016054838952,-3.68855738772215,-2.26288927210024,-1.12623468498844,-2.71711609180983,-1.29003000539479,-2.63605677728926,-3.82246864649254,-2.01519977504095,-1.99791590149112,-1.01321640990331,-3.28423056368414,-2.41787781808031,-1.46683091245954,-0.418010713692411,-3.22734487952938,-4.84784168017941,-0.80003580562008,-1.24707154288985,-4.3770144227567,-2.42990277933839,-1.63615734585927,-2.86060202323251,-3.01120430168578,-2.80747386804994,-3.7589091065951,-1.76695860071196,-2.9249082068991,-1.93829829040608,-2.44052620603703,-1.52056281759154,-1.8373814234474,-2.09927837405284,-4.15847635360461,-1.72006370168927,-2.07400671797835,-4.95228788342261,-1.18992579357229,-2.87519308868806,-2.45962326691141,-2.39687499891469,-1.79591416002274,-0.183309453656974
-1.7979797979798,-1.36684792552531,-1.41775924199607,-3.12550266792043,-2.14825640423349,-1.6969603651899,-2.041015316974,-3.64193735922281,0.648796350456762,-1.09343702409126,-1.73855299271113,-1.90328926600261,-2.81707742882627,-1.84329337889687,-1.79839554189654,-3.23220618740063,-2.41516188883997,-2.25855376595723,-2.29802416164539,-1.93638291863279,-3.1060138141375,-2.58572138202587,-1.83267156630694,-2.24726738092952,-2.23771931939711,-2.16173027026107,-2.06686043280031,-2.37946851931005,-2.85073684686905,-0.43814073643702,-2.41844279530032,-1.06673391949041,-3.52834301570181,-3.67586082170061,-2.46907507019515,-2.10577862925512,-1.26961532439609,-2.0094313703726,-0.700183188895837,-1.97163922099023,-2.29896813816716,-1.987944793648,-1.33324266711468,-2.64514691842837,-3.70279436745468,-3.47286268048678,-2.37076143644017,-1.87366746896381,-3.27646317548711,-1.51830744576545,-1.75448081594519,-2.48987868179173,-2.50986683924227,-1.50423732830788,-0.898723621313526,-2.22232799484625,-2.86872119808022,-2.68577566330161,-3.48968824284994,-3.6256822714068,-2.21316667412929,-1.09160577857251,-2.65068789895163,-1.24560254470301,-2.53388678177326,-3.74311075990064,-1.94574126262207,-1.92166827592598,-0.941750546549398,-3.22357138069443,-2.3445456720673,-1.40607352740149,-0.409557015381095,-3.17274384726693,-4.51076554717205,-0.729707154815221,-1.19828631086918,-4.2862329204661,-2.37236265540491,-1.57619181763684,-2.8111055180723,-2.94713837223725,-2.74953670515383,-3.6862942144698,-1.71700260750977,-2.8375116672093,-1.89325139688554,-2.38334200598634,-1.45714439318222,-1.77659300263789,-2.0565973738356,-4.07521030124738,-1.6696623921097,-2.01565826393119,-4.82208659102743,-1.07594175766386,-2.79459690677805,-2.37570482591071,-2.31363701041588,-1.75922500317024,-0.15459094987553
-1.75757575757576,-1.32358333528149,-1.32790672474877,-3.04169222980336,-2.02367407903013,-1.62871180114295,-2.01354219073755,-3.57728428566037,0.682965617939315,-1.01876422057033,-1.69079463423323,-1.85800361767822,-2.76969938563728,-1.80593759212262,-1.73113657886623,-3.16231343033114,-2.34885343762253,-2.22013097203307,-2.22916040384984,-1.86222054998046,-3.04434883363744,-2.49897730599153,-1.78688784049533,-2.18828588053935,-2.18505163846965,-2.09172535881984,-2.00349354643071,-2.3278510038986,-2.7604281531451,-0.398377556396777,-2.35814223441849,-1.02141169637326,-3.43486177137407,-3.59706732277689,-2.41545666584232,-2.06070635993254,-1.17658086275576,-1.9737167262197,-0.652392989046652,-1.88512494818191,-2.24693634998269,-1.91595285564793,-1.29047504866342,-2.57408693762386,-3.60928153272162,-3.43217547083031,-2.30772454230195,-1.82247082275204,-3.19846119500319,-1.44819782867421,-1.63765500621669,-2.3913064039423,-2.44482208108764,-1.42168806860884,-0.857621798363608,-2.17596026325842,-2.82042682675802,-2.62144921214149,-3.4167763366195,-3.55982192832382,-2.16242300223527,-1.05456160583799,-2.58435477566343,-1.20090456712291,-2.42501669335691,-3.66321876970797,-1.87297300535086,-1.84623677235192,-0.872991649500893,-3.16380601802082,-2.27126557586282,-1.3416777950895,-0.397129026906006,-3.11991626362445,-4.2288844926823,-0.659949732382603,-1.14933431469304,-4.19587040977081,-2.31476389051151,-1.51880291019954,-2.76013146794322,-2.87733545792865,-2.6913569867557,-3.61362827588717,-1.66499606018146,-2.75743270559059,-1.84816678005352,-2.32630485826647,-1.39373523284033,-1.71598050754651,-2.01302908316215,-3.99702490561537,-1.61882671336712,-1.95792614239945,-4.68568746856458,-0.971368603034202,-2.7132630930399,-2.29687600980685,-2.23089221634131,-1.71950226689862,-0.123378228987899
-1.71717171717172,-1.27637907434638,-1.23557347953595,-2.95723787121367,-1.90333230112529,-1.56573930799411,-1.98299185656326,-3.51314097295578,0.717360567361124,-0.954100728607371,-1.64367305715646,-1.81117372462076,-2.71813681543855,-1.76349542413735,-1.66345271941408,-3.09259825653595,-2.28279393042297,-2.18548089581742,-2.16718108220298,-1.78924357748245,-2.98217058887648,-2.41109619431139,-1.74050817907831,-2.12848556906944,-2.13191451093664,-2.02100978954759,-1.94166525451617,-2.27476996275394,-2.67232999037768,-0.358393479886243,-2.29784911314185,-0.976212109953639,-3.3420063485603,-3.51866043923189,-2.36126712302949,-2.01521854952874,-1.09164994126445,-1.93671974876416,-0.604668437514326,-1.80012220387117,-2.19212266695526,-1.84644982957057,-1.24734377350055,-2.49696424416592,-3.51304696424952,-3.38938911827418,-2.24594752382171,-1.77007169114766,-3.1204167430541,-1.37865550027569,-1.52406897244335,-2.29478157508022,-2.37722739439745,-1.34152412542125,-0.816333510343407,-2.12568165033544,-2.77186816544515,-2.55246404161692,-3.34182259930456,-3.491158953691,-2.11080704328144,-1.01443615227105,-2.51814225597334,-1.15596064312698,-2.3120559379577,-3.58294968390018,-1.7971134892617,-1.77116020357866,-0.806995189024628,-3.10278721148983,-2.19743900791948,-1.27407573760841,-0.38002228046993,-3.06838163799584,-3.99374583406404,-0.590769116590175,-1.10026543545421,-4.10593868410338,-2.25711420502122,-1.46379504577455,-2.7080058033226,-2.80052749358061,-2.63295675748401,-3.54096519083789,-1.61118181437793,-2.68669258469024,-1.80304538921942,-2.26925675699407,-1.33034264079095,-1.65561963573589,-1.96855405863488,-3.92392583671998,-1.56701279848551,-1.90074521689516,-4.54467922265439,-0.87464928770732,-2.6313281606797,-2.22282874030575,-2.14864014075295,-1.67615682226115,-0.0897593540707634
-1.67676767676768,-1.22694136741495,-1.14134671084758,-2.87219864068913,-1.78696496118936,-1.50822483532891,-1.94923906691091,-3.44962382951155,0.751976267450595,-0.896437192003819,-1.59668170266363,-1.76228266949603,-2.66232548106424,-1.71622203463816,-1.59541220987997,-3.02307541367444,-2.21704036550949,-2.15170790735996,-2.11146945150099,-1.7174478723018,-2.9195532875414,-2.32198012687121,-1.6935896659682,-2.06785344828718,-2.07833935103153,-1.95013368107467,-1.88045047952904,-2.22041800927369,-2.5861020789738,-0.318193104179955,-2.23759540123215,-0.931255016903135,-3.24979122528236,-3.44065119980376,-2.30656512858954,-1.96933245471167,-1.0161905908105,-1.89795791638777,-0.557009946451566,-1.71658447559805,-2.13384980667654,-1.7792485849555,-1.20386604312687,-2.41355271499048,-3.41395786103547,-3.34386374656102,-2.18508959662632,-1.71652759797244,-3.04243101829429,-1.3096483533423,-1.41670728018715,-2.20040569479939,-2.30864970668079,-1.26359252974938,-0.77482661524014,-2.0714190307573,-2.72306079515718,-2.47932770227363,-3.26521030788183,-3.41988603947655,-2.05845835517708,-0.9706018291464,-2.45207088932639,-1.11079420551276,-2.19792156839679,-3.50243166299924,-1.71862592053936,-1.69577965942209,-0.743387521316635,-3.0381019764872,-2.12240984811028,-1.20374544972094,-0.357770067848659,-3.01707040133346,-3.79814192146151,-0.522178421935101,-1.05107773253143,-4.01646167635743,-2.19942338096822,-1.4108544595963,-2.65508874475143,-2.71618970806312,-2.57436083234267,-3.46835550100805,-1.55572343705935,-2.62582639275027,-1.75789111211692,-2.21208064067753,-1.26697431486165,-1.59558050156171,-1.92313856733025,-3.85502202005471,-1.5133414824495,-1.84406749081345,-4.40111244294061,-0.784402731650923,-2.54894107148954,-2.15320578540133,-2.06687567489097,-1.62863168882129,-0.0540659084147437
-1.63636363636364,-1.17712138566674,-1.04619784189414,-2.78663630946781,-1.67417377356731,-1.45424049672945,-1.91209828293583,-3.3867971714655,0.786808070573791,-0.843044169673766,-1.54907016033976,-1.71071620836619,-2.60270634181188,-1.66422622868792,-1.52700868904067,-2.95375899688636,-2.15156309424652,-2.11636672082997,-2.0607132644088,-1.64673753955208,-2.85654415112788,-2.23166027613089,-1.64618423629815,-2.00649336726088,-2.0243109409544,-1.87972631615107,-1.81928331442943,-2.16495693892509,-2.50118068782642,-0.277780927678427,-2.17743182759817,-0.886629198598193,-3.158245005601,-3.36303789197119,-2.25137861721696,-1.92306009906574,-0.951402992284332,-1.85707031400609,-0.509419541481272,-1.6344566466769,-2.07078615484677,-1.71396528754635,-1.16005120994194,-2.32402794032581,-3.31217371103202,-3.29466509485957,-2.12471799336095,-1.6619024940892,-2.96461194258659,-1.24116000153671,-1.31864191292045,-2.10836931580018,-2.24108907039034,-1.18775282581645,-0.733116803063435,-2.01339498797961,-2.67401185714336,-2.4029199125507,-3.18751077153749,-3.34618743620043,-2.00554931424586,-0.922819843822039,-2.38615981579797,-1.06542581592675,-2.08580999641093,-3.4217623285263,-1.63819815166978,-1.61946578350843,-0.682100096429023,-2.96766070767122,-2.0455695602183,-1.13117520615065,-0.330102915846701,-2.96428484468668,-3.63493731005866,-0.454269107181295,-1.0017943652657,-3.92744645472849,-2.14169966020174,-1.35957380801541,-2.60172759262596,-2.62528214446076,-2.51558589169807,-3.39584646898725,-1.49869540452786,-2.57425354032758,-1.71270689927259,-2.15466629967054,-1.20363821467358,-1.5359120927032,-1.87678802466822,-3.7887450830005,-1.45675878871207,-1.787869868148,-4.2572834372689,-0.699704567688761,-2.46618614005286,-2.08767677554904,-1.98558801729358,-1.57652111921928,-0.0163679083488943
